study	disease_pool	metric	yi	vi	ci.lb	ci.ub	is_pooled	weight	I2	tau2	k
Hao_2022	GERD	Observed	0.3468587946763486	0.19000647965509018	-0.5074999661747323	1.2012175555274296	FALSE	5.262978409027171	NA	NA	NA
Hao_2022	GERD	Chao1	0.3468587946763486	0.19000647965509018	-0.5074999661747323	1.2012175555274296	FALSE	5.262978409027171	NA	NA	NA
Hao_2022	GERD	Shannon	0.045206502838229114	0.1875425755812263	-0.8035947450124318	0.89400775068889	FALSE	5.3321225695063115	NA	NA	NA
Hao_2022	GERD	Simpson	-0.16223519583961823	0.18804833872435664	-1.0121801929091276	0.6877098012298912	FALSE	5.317781623510172	NA	NA	NA
Kawar_2021	GERD	Observed	-0.2262833254000246	0.03884735918014601	-0.6125941005881481	0.16002744978809885	FALSE	25.74177553132304	NA	NA	NA
Kawar_2021	GERD	Chao1	-0.2262833254000246	0.03884735918014601	-0.6125941005881481	0.16002744978809885	FALSE	25.74177553132304	NA	NA	NA
Kawar_2021	GERD	Shannon	-0.19471088342639084	0.03879543802690613	-0.5807634118783653	0.19134164502558368	FALSE	25.77622655804173	NA	NA	NA
Kawar_2021	GERD	Simpson	-0.3427472677655226	0.039106232407515686	-0.7303430654939194	0.04484852996287414	FALSE	25.57137158034722	NA	NA	NA
Li_2025	IBS-D	Observed	-0.08193379573898214	0.12690749630124423	-0.7801657326989438	0.6162981412209795	FALSE	7.87975516927912	NA	NA	NA
Li_2025	IBS-D	Chao1	-0.08243623083484798	0.12690867609081652	-0.7806714133274525	0.6157989516577566	FALSE	7.879681916186682	NA	NA	NA
Li_2025	IBS-D	Shannon	-0.04704907557380355	0.1268432172816464	-0.7451041618737122	0.6510060107261051	FALSE	7.883748310952809	NA	NA	NA
Li_2025	IBS-D	Simpson	0.17801806130203657	0.12726431463360907	-0.521194775462616	0.8772308980666891	FALSE	7.857662243174579	NA	NA	NA
Qian_2023	GERD	Observed	0.24194940769785678	0.0671544959657112	-0.2659686090153488	0.7498674244110624	FALSE	14.8910357470421	NA	NA	NA
Qian_2023	GERD	Chao1	0.2413647450208543	0.06715214116782485	-0.26654436644527785	0.7492738564869865	FALSE	14.891557925172133	NA	NA	NA
Qian_2023	GERD	Shannon	0.32188508940490995	0.06753008342317672	-0.18745131070652493	0.8312214895163448	FALSE	14.808215084431454	NA	NA	NA
Qian_2023	GERD	Simpson	0.2801952290591766	0.06732091138656271	-0.22835173355353955	0.7887421916718927	FALSE	14.854225520773335	NA	NA	NA
Tang_2023	IBS-D	Observed	-1.391067895939912	0.1348361715784684	-2.11078078087101	-0.6713550110088139	FALSE	7.41640754326851	NA	NA	NA
Tang_2023	IBS-D	Chao1	-1.3706240847583815	0.13438085295431562	-2.089120768612454	-0.6521274009043091	FALSE	7.44153633509055	NA	NA	NA
Tang_2023	IBS-D	Shannon	-0.4692775923573915	0.12100674873632368	-1.1510836688523587	0.21252848413757564	FALSE	8.264001887853558	NA	NA	NA
Tang_2023	IBS-D	Simpson	-0.14980043422186387	0.11941173834442294	-0.8270981043964593	0.5274972359527316	FALSE	8.374386085190967	NA	NA	NA
Zheng_2024	LPRD	Observed	-0.24796407840192922	0.028587055282966598	-0.5793551337655954	0.08342697696173698	FALSE	34.98086774246535	NA	NA	NA
Zheng_2024	LPRD	Chao1	-0.2355571001531062	0.028567190922883227	-0.5668329982340686	0.0957187979278562	FALSE	35.00519188951716	NA	NA	NA
Zheng_2024	LPRD	Shannon	-0.6097358872320803	0.02961451113727446	-0.9470296849588596	-0.2724420895053009	FALSE	33.76722969913708	NA	NA	NA
Zheng_2024	LPRD	Simpson	-0.7165355945267202	0.0300835356606025	-1.0564898717373041	-0.37658131731613625	FALSE	33.240773667092704	NA	NA	NA
Ziganshina_2020	GERD	Observed	-0.009849394446185546	0.1547637703498078	-0.7809139184490874	0.7612151295567162	FALSE	6.4614605714226965	NA	NA	NA
