study	metric	p
Hao_2022	Observed	0.6681023145098576
Hao_2022	Chao1	0.6681023145098576
Hao_2022	Shannon	0.6967970185092274
Hao_2022	Simpson	0.3502789368989395
Kawar_2021	Observed	0.41439621665952514
Kawar_2021	Chao1	0.41439621665952514
Kawar_2021	Shannon	0.4992243485655196
Kawar_2021	Simpson	0.33344719585621085
Li_2025	Observed	0.8483333490971294
Li_2025	Chao1	0.8347474709631291
Li_2025	Shannon	0.9590452965647629
Li_2025	Simpson	0.9863430649918907
Qian_2023	Observed	0.41609050884823906
Qian_2023	Chao1	0.3980033437616472
Qian_2023	Shannon	0.3136246662415626
Qian_2023	Simpson	0.2728936305734941
Tang_2023	Observed	0.0059985284261697275
Tang_2023	Chao1	0.007780324823087535
Tang_2023	Shannon	0.35328293914761527
Tang_2023	Simpson	0.8707693807221619
Zheng_2024	Observed	2.951529300974241e-4
Zheng_2024	Chao1	4.0837375211513435e-4
Zheng_2024	Shannon	2.4812989093790875e-5
Zheng_2024	Simpson	1.3531461903815877e-5
Ziganshina_2020	Observed	0.9180530610753607
Ziganshina_2020	Chao1	1
Ziganshina_2020	Shannon	0.3743963883740435
Ziganshina_2020	Simpson	0.4623873178914234
