disease_pool	metric	n_case	n_control	p
GERD	Observed	96	142	0.3072487367579059
GERD	Chao1	96	142	0.28594178342606297
GERD	Shannon	96	142	0.34554350106679077
GERD	Simpson	96	142	0.8757084426615321
LPRD	Observed	56	95	2.951529300974241e-4
LPRD	Chao1	56	95	4.0837375211513435e-4
LPRD	Shannon	56	95	2.4812989093790875e-5
LPRD	Simpson	56	95	1.3531461903815877e-5
IBS-D	Observed	75	22	5.32733720110631e-4
IBS-D	Chao1	75	22	5.958968447602992e-4
IBS-D	Shannon	75	22	0.23621169364149097
IBS-D	Simpson	75	22	0.688729845890389
