feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
g__Schaalia	group	GERD	2.60265412586621	0.838862416046193	24	23	0.00519345710007729	0.285640140504251
g__Stomatobaculum	group	GERD	4.31455399598179	1.35110455410795	24	13	0.0041972770668904	0.285640140504251
g__Lancefieldella	group	GERD	1.60873673488574	0.555839259634912	24	20	0.00841573794969125	0.308577058155346
g__Haemophilus	group	GERD	-1.78432331062476	0.740432121973539	24	22	0.0247660171201022	0.398756931004061
g__Rothia	group	GERD	1.53439313438172	0.606373950406378	24	24	0.0190543697804343	0.398756931004061
g__Veillonella	group	GERD	1.61124165506572	0.60863941555649	24	24	0.0147152184937508	0.398756931004061
g__Streptococcus	group	GERD	0.937120588971523	0.399504335295387	24	24	0.0284136941037667	0.398756931004061
g__Segatella	group	GERD	1.69214503339672	0.724343735261643	24	23	0.0290005040730226	0.398756931004061
g__Leptotrichia	group	GERD	2.1660310423136	0.965262131479287	24	19	0.035224517471897	0.430521880212074
g__Ruminococcaceae..G2.	group	GERD	1.442619653413	0.708400778533193	24	8	0.0539187563913726	0.539187563913726
g__Lachnoanaerobaculum	group	GERD	1.89558503496848	0.916826748646265	24	18	0.0506436101316637	0.539187563913726
g__Absconditicoccaceae..G1.	group	GERD	-0.636508651926985	0.340496487187739	24	4	0.0749434643896389	0.570904952519747
g__Actinomyces	group	GERD	2.16123762356497	1.19017705276908	24	20	0.0830407203665087	0.570904952519747
g__Kocuria	group	GERD	0.970660876835499	0.500541318772223	24	6	0.0654055249293442	0.570904952519747
g__Nanosynbacter	group	GERD	1.43597682623159	0.752418178787842	24	15	0.0694619570709204	0.570904952519747
g__Mogibacterium	group	GERD	1.23949126757887	0.672204889260684	24	18	0.0787061304993793	0.570904952519747
g__Oribacterium	group	GERD	1.50823840481189	0.858085534476943	24	21	0.0927101598991976	0.599889269935984
g__Treponema	group	GERD	-0.666588841472874	0.395259642323822	24	4	0.105838823523666	0.612751083558064
g__Filifactor	group	GERD	-1.12951687365094	0.667010012325342	24	6	0.104492618634939	0.612751083558064
g__Aggregatibacter	group	GERD	-1.19474161679906	0.741617176636651	24	17	0.121436351530038	0.667899933415208
g__Riemerella	group	GERD	-1.07404596256972	0.736907431624815	24	16	0.15910460869001	0.784619164771072
g__Paludibacteraceae..G1.	group	GERD	-0.597820218734432	0.438459793267611	24	6	0.186530113961894	0.784619164771072
Unclassified_NA.7	group	GERD	0.429687391521664	0.290230914901931	24	4	0.152919338052369	0.784619164771072
g__Nanogingivalis	group	GERD	-0.478276882689794	0.344122802365205	24	6	0.178481330723475	0.784619164771072
g__Megasphaera	group	GERD	1.19899611866565	0.891990584068225	24	18	0.192588340443809	0.784619164771072
g__Lactobacillus	group	GERD	0.881072494500577	0.633676041918309	24	4	0.178310242490731	0.784619164771072
g__Fretibacterium	group	GERD	-0.652921527904924	0.458752079980398	24	5	0.168689512429098	0.784619164771072
g__Klebsiella	group	GERD	-0.920959043871163	0.749244663087039	24	5	0.231988479394483	0.850624424446436
g__Campylobacter	group	GERD	-0.924757452621363	0.740146372115072	24	23	0.224639592007291	0.850624424446436
g__Granulicatella	group	GERD	0.621430609629573	0.49839130166651	24	24	0.225556267204892	0.850624424446436
g__Neisseria	group	GERD	-2.22244555826769	1.86294806301951	24	21	0.245587894060873	0.871380256101052
Unclassified_f__Micrococcaceae	group	GERD	0.427783377096232	0.366313161438803	24	3	0.255385169787888	0.871380256101052
g__Peptoanaerobacter	group	GERD	-0.471169865811407	0.408761217408285	24	4	0.261414076830316	0.871380256101052
Unclassified_f__Veillonellaceae	group	GERD	0.780916613595174	0.703145705018641	24	3	0.278730179189734	0.876009134596308
g__Alloprevotella	group	GERD	-1.44586131583271	1.29683349450048	24	20	0.276917778449672	0.876009134596308
g__Odoribacteraceae..G5.	group	GERD	-0.389849592530949	0.361887481061085	24	3	0.293032192902396	0.895376144979543
g__Moraxella	group	GERD	0.838305334236793	1.00065220990484	24	6	0.411175497485207	0.907989218887133
g__Serratia	group	GERD	-0.71493184633382	0.843072794292676	24	5	0.405566011429708	0.907989218887133
g__Yersinia	group	GERD	-0.401379319801502	0.453187375159263	24	4	0.385368357606215	0.907989218887133
Unclassified_f__Pasteurellaceae	group	GERD	0.849253748042774	0.958465444457476	24	6	0.385170688333561	0.907989218887133
g__Kingella	group	GERD	-0.542596280374223	0.601634661356754	24	8	0.376894127231206	0.907989218887133
Unclassified_NA.4	group	GERD	-0.530060175367351	0.51262965976984	24	3	0.312368390028965	0.907989218887133
g__Paenacidovorax	group	GERD	0.78501982937584	0.934082860129443	24	10	0.409715458042283	0.907989218887133
g__Helicobacter	group	GERD	-0.732462868352724	0.733904454999374	24	3	0.329113565873107	0.907989218887133
g__Metamycoplasma	group	GERD	-0.529961198304393	0.575669375776754	24	6	0.367244556848333	0.907989218887133
g__Scardovia	group	GERD	0.656140810474995	0.761507475329132	24	6	0.398183386611673	0.907989218887133
g__Corynebacterium	group	GERD	0.738161358255416	0.884080092951073	24	12	0.412722372221424	0.907989218887133
g__Anaeroglobus	group	GERD	0.956372506966556	0.987039979852465	24	11	0.343112594454404	0.907989218887133
g__Enterococcus	group	GERD	0.921614036444495	1.03620294629664	24	12	0.383402897698878	0.907989218887133
Unclassified_NA.19	group	GERD	-0.1669474115893	0.183135888180954	24	3	0.371858517068994	0.907989218887133
g__Enterobacter	group	GERD	-0.893861389605419	1.21433710354417	24	7	0.469452387367244	0.948933057327572
g__Lautropia	group	GERD	-0.498688416575974	0.719391054501674	24	16	0.495432308618628	0.948933057327572
Unclassified_NA.9	group	GERD	-0.345742952616487	0.495362668432717	24	3	0.492514445206676	0.948933057327572
g__Sneathia	group	GERD	0.357991908151556	0.516784476083695	24	3	0.495727384110267	0.948933057327572
g__Selenomonadaceae..G1.	group	GERD	-0.21099125096562	0.318706795324527	24	4	0.514831891481612	0.948933057327572
g__Selenomonas	group	GERD	0.536049962509775	0.77273904507727	24	12	0.495129594594733	0.948933057327572
g__Anoxybacillus	group	GERD	0.52039164353609	0.791316842553183	24	7	0.517599849451403	0.948933057327572
g__Anaerovoracaceae..G1.	group	GERD	0.486375095742564	0.705982283055968	24	11	0.498066863392051	0.948933057327572
g__Prevotella	group	GERD	0.827284817706572	1.15584909966561	24	18	0.481681615974418	0.948933057327572
g__Lachnospiraceae..G3.	group	GERD	0.534397038254435	0.782514879006832	24	9	0.501784711504424	0.948933057327572
g__Cloacibacterium	group	GERD	0.806149186399869	1.34749105317998	24	11	0.555776621163358	0.95060680102306
g__Weeksellaceae..G1.	group	GERD	-0.272760064705646	0.48130637800854	24	6	0.576649416220496	0.95060680102306
Unclassified_f__Weeksellaceae	group	GERD	0.264512351854724	0.77399083222652	24	5	0.735781014179288	0.95060680102306
g__Tannerella	group	GERD	-0.158995400152369	0.572001595807221	24	9	0.783636178336519	0.95060680102306
g__Porphyromonas	group	GERD	0.185513006764064	1.00714390840783	24	22	0.855546120920754	0.95060680102306
g__Alistipes	group	GERD	0.106929100414462	0.242518696770632	24	3	0.663580046522606	0.95060680102306
g__Pseudomonas	group	GERD	0.360355363545008	1.44721736328136	24	11	0.80567161702689	0.95060680102306
g__Acinetobacter	group	GERD	0.310417784198256	1.07104377476159	24	6	0.774662361562169	0.95060680102306
g__Kluyvera	group	GERD	-0.124835838893839	0.580555914176295	24	4	0.83172624450331	0.95060680102306
g__Oryzomicrobium	group	GERD	0.253475643310253	1.13529059414052	24	6	0.825385948077582	0.95060680102306
g__Cupriavidus	group	GERD	-0.178379070777976	0.349968497800127	24	3	0.615336618682436	0.95060680102306
g__Acidovorax	group	GERD	0.557892584515052	1.49017106720828	24	9	0.711704771375832	0.95060680102306
g__Comamonas	group	GERD	-0.202874492388826	0.359334799297541	24	3	0.578068825912021	0.95060680102306
g__Bordetella	group	GERD	0.241068093558066	0.676269538801743	24	5	0.724886526042564	0.95060680102306
g__Achromobacter	group	GERD	0.192647655364097	0.326436202166085	24	3	0.561100850955164	0.95060680102306
g__Novosphingobium	group	GERD	0.233186657777289	1.08863671509113	24	6	0.832363513594247	0.95060680102306
g__Afipia	group	GERD	-0.104932449572416	0.517304528297363	24	4	0.841120759981013	0.95060680102306
g__Bifidobacterium	group	GERD	-0.159785733536918	0.667643365276013	24	6	0.813066857551612	0.95060680102306
g__Peptidiphaga	group	GERD	0.0863992392589559	0.443394607798999	24	4	0.847291961908704	0.95060680102306
g__Fusobacterium	group	GERD	-0.219672015126986	0.908100385122626	24	23	0.811096130907944	0.95060680102306
g__Pseudoleptotrichia	group	GERD	0.199129112751115	0.685331470588824	24	19	0.774110122415404	0.95060680102306
g__Dialister	group	GERD	0.272410040279383	0.863053079677174	24	16	0.755254078640602	0.95060680102306
g__Abiotrophia	group	GERD	0.347194165805798	0.770832345663643	24	12	0.656818914691257	0.95060680102306
g__Limosilactobacillus	group	GERD	0.367765964923793	0.624531843961224	24	6	0.561948970760761	0.95060680102306
Unclassified_NA.16	group	GERD	0.423275144421474	1.01719763012964	24	6	0.681354389011016	0.95060680102306
g__Parvimonas	group	GERD	0.528049158833793	0.966925495789329	24	14	0.590484972780471	0.95060680102306
g__Peptostreptococcus	group	GERD	0.217180343072716	0.721390908437272	24	12	0.766197415368942	0.95060680102306
g__Gallibacter	group	GERD	-0.10201302964192	0.304314968441504	24	5	0.740633199742412	0.95060680102306
g__Hornefia	group	GERD	-0.151684469291273	0.376138187866843	24	3	0.690643613318001	0.95060680102306
g__Ruminococcaceae..G1.	group	GERD	-0.222033241281707	0.709564514210827	24	6	0.757292465307735	0.95060680102306
Unclassified_f__Lachnospiraceae	group	GERD	-0.300034005992686	1.1594193001437	24	5	0.798211154586764	0.95060680102306
g__Hoylesella	group	GERD	-0.360791714565944	1.10448366639503	24	20	0.74701175167648	0.95060680102306
g__Bacteroides	group	GERD	0.223445865613982	1.15203124388117	24	6	0.847988383190535	0.95060680102306
g__Butyrivibrio	group	GERD	-0.136526432274482	0.652536252972033	24	8	0.836198381338892	0.95060680102306
g__Agathobacter	group	GERD	0.47115167530248	1.43054850417216	24	5	0.745005915852093	0.95060680102306
g__Lachnospiraceae..G2.	group	GERD	0.298041249924284	0.954808866538134	24	5	0.757867666964327	0.95060680102306
g__Johnsonella	group	GERD	0.0917302233405664	0.243010440339189	24	3	0.709438122166027	0.95060680102306
g__Moryella	group	GERD	0.515794986884599	1.19158438752434	24	11	0.669326985040596	0.95060680102306
g__Catonella	group	GERD	-0.448162329086951	0.740977340468338	24	10	0.551482590969771	0.95060680102306
g__Stenotrophomonas	group	GERD	0.132348161517018	0.85540863995973	24	4	0.87845334016263	0.966298674178894
g__Cardiobacterium	group	GERD	0.0340036390018738	0.450509399224814	24	9	0.940516401437509	0.990556396025427
g__Solobacterium	group	GERD	0.0266907814095768	0.344635078547715	24	4	0.938968401226675	0.990556396025427
g__Gemella	group	GERD	-0.0617152723576918	0.703024362247808	24	24	0.930841416745265	0.990556396025427
Unclassified_NA.17	group	GERD	-0.0743185288033019	0.949914884813372	24	4	0.938346740047545	0.990556396025427
g__Phocaeicola	group	GERD	0.0610868738659545	0.883984622437745	24	4	0.945531105296998	0.990556396025427
g__Capnocytophaga	group	GERD	0.00323369452286806	0.939226764260068	24	20	0.99728397210254	0.998161948718977
g__Leptothrix	group	GERD	0.00177793520701382	0.763070189428967	24	5	0.998161948718977	0.998161948718977
g__Microbacterium	group	GERD	-0.0262184777374494	0.54567659822559	24	3	0.962111791252124	0.998161948718977
g__Peptococcus	group	GERD	0.00198491469490445	0.35861054208602	24	4	0.995633604523444	0.998161948718977
g__Faecalibacterium	group	GERD	-0.0178820925705746	0.777690092674715	24	4	0.981862461095401	0.998161948718977
