feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
g__Peptoanaerobacter	group	GERD	-0.687856223251875	0.34421409116067	128	38	0.0478327676591526	0.643296285533034
g__Nanogingivalis	group	GERD	-0.99518648988447	0.533423675261442	128	71	0.0644146496356432	0.643296285533034
g__Nanosynbacter	group	GERD	-1.23823532230248	0.600231272785204	128	102	0.0411734445810935	0.643296285533034
g__Brucella	group	GERD	0.827471027823037	0.448587872918929	128	47	0.06744235251556	0.643296285533034
g__Achromobacter	group	GERD	0.545575250594382	0.280060951591594	128	28	0.0536313560707629	0.643296285533034
g__Riemerella	group	GERD	-0.812615844095259	0.413661543253027	128	115	0.0516794282157315	0.643296285533034
g__Weeksellaceae..G1.	group	GERD	-0.752915892472825	0.347221088977039	128	44	0.0320065920005682	0.643296285533034
g__Alloprevotella	group	GERD	-1.138893294563	0.586587556794552	128	115	0.054422880795051	0.643296285533034
g__Ruminococcaceae..G2.	group	GERD	-0.963198659683808	0.482713476963358	128	87	0.0481581230006292	0.643296285533034
Unclassified_f__Neisseriaceae	group	GERD	-0.47681304141147	0.218865128105862	128	17	0.0312246712423526	0.643296285533034
g__Solobacterium	group	GERD	-1.03075971529729	0.427203012008627	128	114	0.0172701333785173	0.643296285533034
Unclassified_f__Leptotrichiaceae	group	GERD	-0.734757431714824	0.396258759689374	128	59	0.066043493810188	0.643296285533034
g__Gemella	group	GERD	-0.686099997264489	0.311836630153243	128	128	0.0296166053651511	0.643296285533034
g__Pseudomonas	group	GERD	0.281772600523173	0.158610764445111	128	19	0.0780632814288006	0.691417635512234
g__Catonella	group	GERD	-0.868562170755766	0.499091935898477	128	95	0.0842504656349731	0.696470515915778
g__Ruminococcaceae..G1.	group	GERD	-0.876019848761359	0.515124389577327	128	60	0.0914852606739895	0.709010770223419
g__Pseudoleptotrichia	group	GERD	-0.973553316928264	0.591453202512314	128	102	0.102248506973239	0.743425515742479
g__Neisseria	group	GERD	-1.20537307415767	0.744450688763313	128	114	0.107916607123908	0.743425515742479
g__Porphyromonas	group	GERD	-1.0251113281081	0.655986920179949	128	119	0.120631150240713	0.763116042266612
g__Ligilactobacillus	group	GERD	0.869805115810224	0.560309842253215	128	29	0.123083232623647	0.763116042266612
g__Nanosyncoccus	group	GERD	-0.727720547870921	0.49566488981468	128	86	0.144549920478497	0.823472851185808
g__Arachnia	group	GERD	-0.70666559639626	0.483197314543791	128	58	0.146100021984579	0.823472851185808
g__Mogibacterium	group	GERD	-0.72663263568937	0.521673361401291	128	115	0.166106394514568	0.849036368602314
Unclassified_NA.5	group	GERD	0.647778838428858	0.493524111779815	128	82	0.191717889684394	0.849036368602314
g__Lachnospiraceae..G8.	group	GERD	-0.391305327350112	0.277450148609019	128	15	0.160896565857117	0.849036368602314
Unclassified_f__Veillonellaceae	group	GERD	-0.27650425316106	0.203163159807327	128	20	0.175944181180448	0.849036368602314
g__Moryella	group	GERD	-0.645622163555565	0.481844863272442	128	64	0.182690501597352	0.849036368602314
g__Fretibacterium	group	GERD	-0.596033139757657	0.449741553654292	128	51	0.187476667024119	0.849036368602314
g__Peptostreptococcus	group	GERD	-0.849004222751393	0.678697793302563	128	88	0.213277407819839	0.857050669095134
g__Anaerovoracaceae..G1.	group	GERD	-0.713580881632605	0.555163374062702	128	82	0.201026504294605	0.857050669095134
g__Delftia	group	GERD	0.404183257039155	0.333705176122774	128	42	0.228086065162415	0.857050669095134
g__Hallella	group	GERD	0.519785559235139	0.429068361256759	128	50	0.227998388814616	0.857050669095134
g__Granulicatella	group	GERD	-0.335937466785428	0.269707452900408	128	128	0.215236327100458	0.857050669095134
g__Bradyrhizobium	group	GERD	0.565544460443282	0.477475977036987	128	62	0.238466041057999	0.869699679152701
g__Ottowia	group	GERD	-0.396266904357606	0.345565699308951	128	25	0.253670529100317	0.871292204942796
Unclassified_NA.15	group	GERD	0.399664097402506	0.345242358031207	128	40	0.249203385683113	0.871292204942796
g__Streptococcus	group	GERD	0.105520549610056	0.0932550052530221	128	128	0.259982351474867	0.871292204942796
g__Lactobacillus	group	GERD	0.726188012086571	0.699887649618084	128	51	0.301453670827887	0.892342388069222
g__Aggregatibacter	group	GERD	-0.148943385366744	0.148145392284702	128	14	0.31663762157295	0.892342388069222
g__Phocaeicola	group	GERD	-0.287938644671155	0.279877432487828	128	25	0.305543313845939	0.892342388069222
g__Clostridiales..F1.G1.	group	GERD	-0.235673822112304	0.218209193185351	128	17	0.282189083342284	0.892342388069222
g__Erysipelotrichaceae..G1.	group	GERD	-0.216330200679919	0.210494038612242	128	14	0.306047618360835	0.892342388069222
g__Bulleidia	group	GERD	-0.34600237068687	0.343754089902962	128	19	0.316084764365144	0.892342388069222
Unclassified_NA.22	group	GERD	-0.365326869432675	0.344635650497047	128	40	0.291155116467475	0.892342388069222
g__Absconditicoccaceae..G1.	group	GERD	-0.508109711670372	0.523936768660674	128	40	0.334008086444503	0.92037783820263
g__Agrobacterium	group	GERD	0.178146834435755	0.189027443907201	128	13	0.3477714135673	0.937470767007504
g__Odoribacteraceae..G5.	group	GERD	-0.342465953013742	0.397420019066472	128	31	0.390476986892758	0.988145844381673
g__Lachnoanaerobaculum	group	GERD	-0.342456435840541	0.39322269948347	128	118	0.385466715197059	0.988145844381673
g__Lachnospiraceae..G3.	group	GERD	-0.322364852868404	0.36615088352801	128	44	0.380310544968481	0.988145844381673
g__Peptococcus	group	GERD	-0.327484187424277	0.528694028346002	128	59	0.536757486550335	0.991799301409473
g__Gallibacter	group	GERD	0.431106824884328	0.567414908247349	128	77	0.448809183792402	0.991799301409473
g__Parvimonas	group	GERD	-0.126008061208032	0.594475265822313	128	110	0.832476689308065	0.991799301409473
g__Filifactor	group	GERD	0.0785523351077264	0.540886789856341	128	43	0.884762296849131	0.991799301409473
g__Selenomonadaceae..G1.	group	GERD	0.175314855315042	0.375077376814636	128	29	0.641014033797459	0.991799301409473
g__Megasphaera	group	GERD	-0.368919151388585	0.581475237889905	128	113	0.526935006679879	0.991799301409473
g__Hornefia	group	GERD	0.0889390080355413	0.415381823934519	128	35	0.830804375361649	0.991799301409473
g__Anaerovoracaceae..G5.	group	GERD	0.0598717224838179	0.33665951642795	128	24	0.859133774702993	0.991799301409473
g__Anaerovoracaceae..G4.	group	GERD	-0.153158472322209	0.30999614978274	128	25	0.62211998415387	0.991799301409473
g__Peptidiphaga	group	GERD	-0.181130336183333	0.456910653770513	128	59	0.692462849446942	0.991799301409473
g__Patescibacteria..C1.O1.F1.G1.	group	GERD	-0.0290275419886355	0.16163487012816	128	13	0.857765195343072	0.991799301409473
g__Parvisynbacter	group	GERD	-0.0736520382460929	0.189491468556813	128	16	0.698166960684376	0.991799301409473
g__Haemophilus	group	GERD	-0.0713424365795738	0.401467507695385	128	103	0.859240706192069	0.991799301409473
g__Variovorax	group	GERD	-0.181796143362773	0.397661869772013	128	59	0.648341397754846	0.991799301409473
g__Leptothrix	group	GERD	0.0861999440242576	0.254451677489404	128	29	0.735348823612948	0.991799301409473
g__Cardiobacterium	group	GERD	0.0321578121326194	0.146747839958162	128	19	0.826898278551075	0.991799301409473
Unclassified_NA.8	group	GERD	0.154621634449688	0.271731066490826	128	34	0.570352435195251	0.991799301409473
Unclassified_NA.10	group	GERD	-0.144248043392376	0.224656633744612	128	18	0.52198624038733	0.991799301409473
Unclassified_f__Phyllobacteriaceae	group	GERD	0.355752999321538	0.532376163367336	128	85	0.505205139775051	0.991799301409473
g__Lautropia	group	GERD	-0.446634623502032	0.709591680192232	128	77	0.530210573600514	0.991799301409473
g__Campylobacter	group	GERD	-0.0853120016493831	0.231410903165745	128	121	0.712999683621729	0.991799301409473
g__Capnocytophaga	group	GERD	-0.520146941043984	0.626655473348935	128	111	0.40808801940187	0.991799301409473
g__Tannerella	group	GERD	0.138517249012321	0.51392256932877	128	95	0.787963207987187	0.991799301409473
g__Paludibacteraceae..G1.	group	GERD	-0.273806483350524	0.479259367561614	128	62	0.568806039400899	0.991799301409473
Unclassified_f__Prevotellaceae	group	GERD	-0.363829681049921	0.467044848936137	128	78	0.437438130460674	0.991799301409473
g__Hoylesella	group	GERD	-0.0575309400498926	0.518429674482714	128	115	0.911815486779677	0.991799301409473
g__Prevotella	group	GERD	-0.0845696436237619	0.325010462457706	128	128	0.795129680389356	0.991799301409473
g__Segatella	group	GERD	-0.322347014802767	0.4391799036701	128	120	0.464327655702148	0.991799301409473
g__Odoribacteraceae..G3.	group	GERD	0.0462669622626424	0.364649088309276	128	38	0.899237013598717	0.991799301409473
g__Flavitalea	group	GERD	0.245918699216185	0.397912308699334	128	121	0.537676094092533	0.991799301409473
g__Propionibacterium	group	GERD	0.092926966001191	0.295197430089947	128	26	0.753437258465604	0.991799301409473
g__Schaalia	group	GERD	-0.215734885453525	0.299694688052288	128	128	0.472951206875315	0.991799301409473
g__Actinomyces	group	GERD	0.0849259999470919	0.278816283004457	128	120	0.761177270322889	0.991799301409473
g__Corynebacterium	group	GERD	0.274960677580514	0.558349504833181	128	99	0.623256405649415	0.991799301409473
g__Rothia	group	GERD	0.128418249628814	0.28800502348422	128	128	0.656442735165621	0.991799301409473
g__Fusobacterium	group	GERD	-0.0715050456248096	0.489281702825479	128	124	0.884042135913729	0.991799301409473
g__Sneathia	group	GERD	-0.0635566917572705	0.298453586871829	128	15	0.831707506102697	0.991799301409473
g__Leptotrichia	group	GERD	-0.439380788650602	0.575714140755191	128	113	0.446775102959238	0.991799301409473
Unclassified_f__Atopobiaceae	group	GERD	-0.051941301295698	0.381756479442535	128	28	0.891991994510519	0.991799301409473
g__Slackia	group	GERD	-0.0543900755590553	0.227430904284639	128	24	0.811377920410362	0.991799301409473
Unclassified_NA.17	group	GERD	0.0510786924952066	0.158617688007082	128	13	0.747968213075708	0.991799301409473
g__Kingella	group	GERD	0.0809929472886391	0.547926626523231	128	83	0.882723365886535	0.991799301409473
g__Treponema	group	GERD	0.0703758811702377	0.590593360186327	128	87	0.905337332478819	0.991799301409473
g__Eggerthia	group	GERD	-0.189711064798058	0.269258660178404	128	14	0.482379310281273	0.991799301409473
g__Butyrivibrio	group	GERD	-0.0594745176877839	0.264585850548763	128	25	0.822511880600163	0.991799301409473
g__Shuttleworthia	group	GERD	-0.0828197583519182	0.213220469166932	128	23	0.698358467523467	0.991799301409473
Unclassified_f__Lachnospiraceae	group	GERD	-0.218641636204508	0.436985402339127	128	69	0.617707895733379	0.991799301409473
g__Lachnospiraceae..G2.	group	GERD	-0.206129688412259	0.566179850800958	128	52	0.716415180125071	0.991799301409473
g__Oribacterium	group	GERD	-0.27869798434187	0.413287331672426	128	115	0.501327759022379	0.991799301409473
g__Stomatobaculum	group	GERD	0.132916847937148	0.552864932153497	128	75	0.810399518725639	0.991799301409473
Unclassified_NA.18	group	GERD	-0.0423749269786421	0.247917952859229	128	17	0.864558338550186	0.991799301409473
g__Metamycoplasma	group	GERD	0.203750232061876	0.418298228786279	128	55	0.627038583123267	0.991799301409473
g__Lancefieldella	group	GERD	-0.12690536176849	0.380769966669418	128	123	0.739472240277705	0.991799301409473
g__Abiotrophia	group	GERD	-0.208792565406355	0.55426972679004	128	57	0.707031313669956	0.991799301409473
g__Limosilactobacillus	group	GERD	0.394822073341405	0.681684102068079	128	47	0.563497527632882	0.991799301409473
Unclassified_NA.19	group	GERD	0.224211090864439	0.397076398479017	128	51	0.573312461175291	0.991799301409473
g__Desulfobulbus	group	GERD	-0.221133687012908	0.269636674624958	128	19	0.413698022013398	0.991799301409473
g__Pseudoramibacter	group	GERD	0.198228396899823	0.299417536563346	128	25	0.509150325658127	0.991799301409473
g__Staphylococcus	group	GERD	0.169764194423729	0.363008434571619	128	36	0.64083623862885	0.991799301409473
g__Selenomonas	group	GERD	0.280001253291607	0.533331939431838	128	102	0.600503163814584	0.991799301409473
g__Mitsuokella	group	GERD	-0.162865159895746	0.301138357361175	128	22	0.589578449510919	0.991799301409473
g__Veillonella	group	GERD	0.178202524954183	0.252548908104212	128	128	0.481729547679255	0.991799301409473
Unclassified_NA.23	group	GERD	-0.0680305808178459	0.240621924731224	128	18	0.777849204347236	0.991799301409473
g__Anaeroglobus	group	GERD	0.222011167037762	0.40335533695782	128	50	0.583012074920982	0.991799301409473
g__Dialister	group	GERD	0.146879768081932	0.57199560646807	128	91	0.797763745142801	0.991799301409473
g__Saccharimonas	group	GERD	-0.0539789833456174	0.537183433999818	128	70	0.920118848559505	0.992128149751119
Unclassified_NA	group	GERD	-0.0270365878939447	0.336658254798901	128	125	0.936119153077252	0.992704911589684
