feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
g__Mogibacterium	group	GERD	-0.73051072439046	0.521033663309826	128	115	0.16336168442687	0.917829643193681
g__.Eubacterium._yurii_group	group	GERD	-0.560549520546026	0.328919182336628	128	32	0.0908054432914153	0.917829643193681
g__Peptostreptococcus	group	GERD	-0.847063541507992	0.679074698027855	128	88	0.214572026408985	0.917829643193681
g__.Eubacterium._nodatum_group	group	GERD	-0.726573062930781	0.558498020146805	128	87	0.195652683401434	0.917829643193681
g__Saccharimonadales	group	GERD	-0.641923007401163	0.590417236916995	128	89	0.279007878204257	0.917829643193681
g__Candidatus_Saccharimonas	group	GERD	-0.742359931043498	0.496525363460685	128	86	0.13738615864895	0.917829643193681
g__TM7x	group	GERD	-1.2887682795441	0.597448912190879	128	101	0.0328945613146087	0.917829643193681
g__Delftia	group	GERD	0.404253125386224	0.333810149607289	128	42	0.228151583518021	0.917829643193681
g__Comamonas	group	GERD	-0.349124452293752	0.322297082947202	128	25	0.280771350453687	0.917829643193681
g__Rhodanobacter	group	GERD	0.5929294588222	0.486200225251078	128	86	0.224925926645861	0.917829643193681
Unclassified_f__Xanthobacteraceae	group	GERD	0.60422926632176	0.519863922058651	128	67	0.247317094375075	0.917829643193681
Unclassified_f__Rhizobiaceae	group	GERD	0.562443569400933	0.498587828468772	128	105	0.261432440305294	0.917829643193681
Unclassified_NA.4	group	GERD	0.345552234421783	0.308242821130451	128	27	0.264403297212483	0.917829643193681
g__Achromobacter	group	GERD	0.411397602203932	0.279044567587891	128	26	0.142892882078692	0.917829643193681
g__Bergeyella	group	GERD	-0.888629295378459	0.4167607395277	128	116	0.0349285891903261	0.917829643193681
g__Porphyromonas	group	GERD	-1.03710512908311	0.652105693747498	128	120	0.114251937015658	0.917829643193681
g__Alloprevotella	group	GERD	-1.14223665759598	0.586683678095419	128	115	0.0537671438710189	0.917829643193681
g__Pseudopropionibacterium	group	GERD	-0.703032428177998	0.482702372884019	128	58	0.147755358567703	0.917829643193681
Unclassified_NA.13	group	GERD	-0.773911986326585	0.665701035922584	128	115	0.247208544936662	0.917829643193681
g__Rhodococcus	group	GERD	0.409395029677138	0.229559226018414	128	24	0.0769293189512784	0.917829643193681
Unclassified_f__Micrococcaceae	group	GERD	0.551512568939251	0.45521826383075	128	43	0.22795791016853	0.917829643193681
g__Leptotrichia	group	GERD	-0.784384760665099	0.503730698890871	128	121	0.121942886005715	0.917829643193681
Unclassified_f__Atopobiaceae	group	GERD	-0.320743870926069	0.227652741864627	128	14	0.161322705274643	0.917829643193681
