feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
g__Riemerella	group	IBS-D	-2.53096329515513	0.646370136022819	35	28	0.000427196388093586	0.0359966743282201
g__Streptococcus	group	IBS-D	-1.00126598582845	0.271822823003122	35	35	0.000818106234732274	0.0359966743282201
g__Prevotella	group	IBS-D	1.19708628940178	0.347619121843464	35	35	0.00157987411400385	0.0463429740107796
g__Granulicatella	group	IBS-D	-1.22585728609662	0.368249178019926	35	35	0.00215291816011916	0.0473641995226216
g__Segatella	group	IBS-D	2.04716764602734	0.651795071758569	35	34	0.00354376302671644	0.0623702292702093
g__Gemella	group	IBS-D	-1.42137945767089	0.482785329821127	35	35	0.00589247994289135	0.0864230391624064
g__Lancefieldella	group	IBS-D	1.30469763187487	0.496035057795798	35	34	0.0128632560233208	0.151012391071692
g__Veillonella	group	IBS-D	1.02217816534684	0.392645810359077	35	35	0.0137283991883356	0.151012391071692
g__Porphyromonas	group	IBS-D	-2.25456347282899	0.91210052361252	35	34	0.0187720178351936	0.151889191103341
g__Nanosynbacter	group	IBS-D	1.47283915483195	0.594699370259482	35	35	0.0185625040454016	0.151889191103341
g__Haemophilus	group	IBS-D	-1.37546885706258	0.557545616794383	35	35	0.0189861488879176	0.151889191103341
g__Enterobacter	group	IBS-D	-0.825213039891159	0.346354369347421	35	4	0.0231086269664123	0.169463264420357
g__Catonella	group	IBS-D	-1.39078626671455	0.592630620401186	35	32	0.0250881346071592	0.169827372725385
g__Parvimonas	group	IBS-D	-2.32953136457356	1.03195345376558	35	29	0.0307235853954129	0.193119679628309
g__Rothia	group	IBS-D	-0.980218601614359	0.483278647744206	35	35	0.0506674906393446	0.266355752862657
g__Acinetobacter	group	IBS-D	-0.715281321806499	0.363441903852624	35	4	0.0575086284589828	0.266355752862657
g__Megasphaera	group	IBS-D	1.99344223919001	0.998049922405657	35	27	0.0540884768849326	0.266355752862657
g__Dialister	group	IBS-D	1.31470285223684	0.648640400460048	35	17	0.0508190689769157	0.266355752862657
g__Abiotrophia	group	IBS-D	-1.41210274520329	0.71226243703171	35	11	0.0557929058964241	0.266355752862657
g__Hallella	group	IBS-D	0.842053491122257	0.466180652964594	35	16	0.0800021189460988	0.270776402586796
g__Shuttleworthia	group	IBS-D	0.619888252324037	0.342249360810923	35	6	0.0792183453534023	0.270776402586796
g__Moryella	group	IBS-D	-1.14272919557058	0.598114309159737	35	33	0.0647831470235519	0.270776402586796
g__Stomatobaculum	group	IBS-D	1.79552713398835	0.985620835083364	35	18	0.0775723995794332	0.270776402586796
g__Peptococcus	group	IBS-D	-1.02156829341287	0.556426665199273	35	28	0.0753902842467032	0.270776402586796
g__Neisseria	group	IBS-D	-1.18929759113841	0.651823779591698	35	35	0.0771312909890269	0.270776402586796
g__Anaerovoracaceae..G5.	group	IBS-D	-1.28460195486399	0.700127556650725	35	26	0.0755621593342967	0.270776402586796
g__Fusobacterium	group	IBS-D	-1.27625760590745	0.726282828417854	35	35	0.0881511494525305	0.287307450067507
g__Hornefia	group	IBS-D	-0.385399992198403	0.223381272509692	35	5	0.093828073166056	0.294888229950462
g__Nanogingivalis	group	IBS-D	-1.42161397077595	0.866840044245097	35	25	0.110505543612135	0.335327166823029
g__Oribacterium	group	IBS-D	-0.608707373444126	0.379577888747787	35	35	0.118322418916556	0.347079095488563
