feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
g__Riemerella	group	IBS-D	-2.53096329515513	0.646370136022819	35	28	0.000427196388093586	0.0359966743282201
g__Streptococcus	group	IBS-D	-1.00126598582845	0.271822823003122	35	35	0.000818106234732274	0.0359966743282201
g__Prevotella	group	IBS-D	1.19708628940178	0.347619121843464	35	35	0.00157987411400385	0.0463429740107796
g__Granulicatella	group	IBS-D	-1.22585728609662	0.368249178019926	35	35	0.00215291816011916	0.0473641995226216
g__Segatella	group	IBS-D	2.04716764602734	0.651795071758569	35	34	0.00354376302671644	0.0623702292702093
g__Gemella	group	IBS-D	-1.42137945767089	0.482785329821127	35	35	0.00589247994289135	0.0864230391624064
g__Lancefieldella	group	IBS-D	1.30469763187487	0.496035057795798	35	34	0.0128632560233208	0.151012391071692
g__Veillonella	group	IBS-D	1.02217816534684	0.392645810359077	35	35	0.0137283991883356	0.151012391071692
g__Porphyromonas	group	IBS-D	-2.25456347282899	0.91210052361252	35	34	0.0187720178351936	0.151889191103341
g__Nanosynbacter	group	IBS-D	1.47283915483195	0.594699370259482	35	35	0.0185625040454016	0.151889191103341
g__Haemophilus	group	IBS-D	-1.37546885706258	0.557545616794383	35	35	0.0189861488879176	0.151889191103341
g__Enterobacter	group	IBS-D	-0.825213039891159	0.346354369347421	35	4	0.0231086269664123	0.169463264420357
g__Catonella	group	IBS-D	-1.39078626671455	0.592630620401186	35	32	0.0250881346071592	0.169827372725385
g__Parvimonas	group	IBS-D	-2.32953136457356	1.03195345376558	35	29	0.0307235853954129	0.193119679628309
