feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
g__Prevotella	group	IBS-D	1.16723936663474	0.316812527474432	35	35	0.000816298246553179	0.024022545134659
g__Bergeyella	group	IBS-D	-2.40409414923646	0.630098627451335	35	29	0.000566342116687145	0.024022545134659
g__Streptococcus	group	IBS-D	-1.00127570146795	0.271852904078204	35	35	0.000818950402317921	0.024022545134659
g__Granulicatella	group	IBS-D	-1.21081592841194	0.366523725134154	35	35	0.00230410228336843	0.0506902502341054
g__Gemella	group	IBS-D	-1.42194897904964	0.483072834509183	35	35	0.00590109821027443	0.10385932850083
g__Porphyromonas	group	IBS-D	-2.2356637320605	0.903879211412606	35	34	0.0187027464022883	0.164584168340137
g__TM7x	group	IBS-D	1.47214621257355	0.594132948237902	35	35	0.0185104116840112	0.164584168340137
g__Atopobium	group	IBS-D	1.30832834918409	0.494961549434331	35	34	0.0124629247872781	0.164584168340137
g__Haemophilus	group	IBS-D	-1.38014876393249	0.55754595183842	35	35	0.018615489271004	0.164584168340137
g__Veillonella	group	IBS-D	1.0231955708979	0.392539624327326	35	35	0.013619754568383	0.164584168340137
g__Enterobacter	group	IBS-D	-0.799033646698485	0.329395459683446	35	4	0.0209079296882489	0.167263437505991
g__Catonella	group	IBS-D	-1.39037427945487	0.592668169814943	35	32	0.0251366359385467	0.184335330216009
g__Parvimonas	group	IBS-D	-2.33364001327838	1.0313394890821	35	29	0.0303582667415331	0.201174772460054
g__Amnipila	group	IBS-D	-1.42608560525956	0.636887064002378	35	21	0.0320050774368267	0.201174772460054
g__Perlucidibaca	group	IBS-D	-0.663554836863122	0.307612488367516	35	4	0.0383763450126605	0.225141224074275
Unclassified_f__Micrococcaceae	group	IBS-D	0.63332851372374	0.319013279230144	35	9	0.055476460927307	0.241003885149162
g__Rothia	group	IBS-D	-0.978170766374656	0.483283956091219	35	35	0.051127069453033	0.241003885149162
g__Acinetobacter	group	IBS-D	-0.715306729814044	0.363460448750507	35	4	0.0575122907742317	0.241003885149162
g__Megasphaera	group	IBS-D	1.99510914365584	0.998378561543716	35	27	0.0539734179128649	0.241003885149162
g__Dialister	group	IBS-D	1.31469021431228	0.648588638674175	35	17	0.0508037415494064	0.241003885149162
g__Abiotrophia	group	IBS-D	-1.41204872656933	0.712181382843031	35	11	0.0557753974352789	0.241003885149162
