feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
g__Rothia	group	GERD	-1.29760425186791	0.364748307944902	60	60	0.000753895906563861	0.117607761423962
g__Arachnia	group	GERD	-0.539282665247981	0.197906026655038	60	9	0.00848719126870819	0.662000918959239
g__Absconditicoccaceae..G1.	group	GERD	1.68691054825913	0.671990286924949	60	56	0.0148734353983339	0.674841514224555
g__Streptococcus	group	GERD	-0.532528670599529	0.237410395171564	60	60	0.0287274931295731	0.674841514224555
g__Catonella	group	GERD	0.586496390347743	0.255873627385584	60	60	0.0255455346860385	0.674841514224555
g__Campylobacter	group	GERD	1.0588392914054	0.459463682670767	60	59	0.0247938345064452	0.674841514224555
g__Prevotella	group	GERD	0.561084255638625	0.252645122843674	60	60	0.0302813499972557	0.674841514224555
g__Scardovia	group	GERD	-0.433526211896258	0.207422036585367	60	10	0.0410059698752306	0.799616412566997
g__Mesorhizobium	group	GERD	0.562618142104204	0.283113795605625	60	9	0.0516239388335822	0.894814939782092
g__Segatella	group	GERD	0.572778409983995	0.296676271247154	60	60	0.0584196088727293	0.911345898414578
g__Arthrospira	group	GERD	0.30958484443441	0.178334826134007	60	7	0.0878781588769217	0.983409926458838
g__Dialister	group	GERD	0.617505431995173	0.38443670527619	60	60	0.113648031933384	0.983409926458838
g__Mitsuokella	group	GERD	1.17373618899561	0.702751778005661	60	44	0.100268475513716	0.983409926458838
g__Bulleidia	group	GERD	-0.37838518972849	0.221702682609158	60	9	0.0932226775555288	0.983409926458838
g__Abiotrophia	group	GERD	-0.57139583359644	0.335454335773923	60	57	0.093856089668538	0.983409926458838
g__Butyrivibrio	group	GERD	0.896619227027818	0.57340017459973	60	51	0.123331056901532	0.983409926458838
g__Agathobacter	group	GERD	0.604157255962503	0.401899309043095	60	17	0.138199060370933	0.983409926458838
g__Shuttleworthia	group	GERD	-0.710742487479587	0.402695852857684	60	18	0.0828348529342947	0.983409926458838
g__Moraxella	group	GERD	0.888004207875806	0.5628659895606	60	23	0.120085666869764	0.983409926458838
g__Schaalia	group	GERD	-0.626521997200604	0.407248370577865	60	60	0.129382347207999	0.983409926458838
g__Nanoperiomorbus	group	GERD	-0.805533979990373	0.518737311225189	60	46	0.125893177686262	0.983409926458838
g__Nanosyncoccus	group	GERD	0.691515805590166	0.460591369066834	60	58	0.138686015269836	0.983409926458838
g__Patescibacteria..C1.O1.F1.G2.	group	GERD	0.00802894272794187	0.629553112061768	60	29	0.989868302740959	0.997600273240037
g__Patescibacteria..C1.O1.F1.G1.	group	GERD	0.0921386211531339	0.227121537831004	60	9	0.686470593999989	0.997600273240037
g__Metamycoplasma	group	GERD	-0.337401120586331	0.442591326103681	60	49	0.448951619374509	0.997600273240037
g__Pyramidobacter	group	GERD	-0.19986025010766	0.246871670721914	60	14	0.421495475482519	0.997600273240037
g__Fretibacterium	group	GERD	-0.0535634694051275	0.598030246061297	60	42	0.928940292360689	0.997600273240037
g__Anaeroglobus	group	GERD	0.150547765077073	0.403751523834023	60	50	0.710602704794715	0.997600273240037
g__Megasphaera	group	GERD	0.399519605441575	0.413741016163452	60	59	0.338239891530805	0.997600273240037
g__Veillonella	group	GERD	0.111577140405822	0.40773424041898	60	60	0.785324517385181	0.997600273240037
Unclassified_f__Selenomonadaceae	group	GERD	0.0850975008452643	0.445417890411382	60	14	0.849152905342353	0.997600273240037
g__Selenomonas	group	GERD	0.435902680323478	0.333811764421905	60	59	0.196764795267722	0.997600273240037
g__Selenomonadaceae..G1.	group	GERD	-0.053869791130774	0.674604423762573	60	39	0.936628351340321	0.997600273240037
g__Peptococcus	group	GERD	-0.251984451385334	0.298635344624371	60	58	0.402255501814884	0.997600273240037
g__Mollicutes..O1.F1.G1.	group	GERD	0.285076043513705	0.507195854968376	60	22	0.57623887222299	0.997600273240037
g__Mollicutes..O2.F2.G2.	group	GERD	-0.199030618969377	0.289593550295047	60	20	0.494648097838252	0.997600273240037
Unclassified_NA	group	GERD	0.549218478014134	0.615501148089686	60	42	0.375913452104558	0.997600273240037
g__Erysipelothrix	group	GERD	0.149274811137201	0.48152191597185	60	14	0.757667353577115	0.997600273240037
g__Eggerthia	group	GERD	-0.317241228848899	0.26501610250273	60	16	0.236151499831856	0.997600273240037
Unclassified_f__Erysipelotrichaceae	group	GERD	-0.177857805055393	0.647227505909548	60	20	0.784446777718091	0.997600273240037
g__Solobacterium	group	GERD	0.0144958520954175	0.288662857224853	60	60	0.960121814104166	0.997600273240037
g__Erysipelotrichaceae..G1.	group	GERD	0.354968311169818	0.519804302047336	60	24	0.497396095587695	0.997600273240037
g__Ligilactobacillus	group	GERD	-0.538084629728447	0.536313383507491	60	54	0.319882398557216	0.997600273240037
g__Lactobacillus	group	GERD	-0.0305689677024176	0.769135812618471	60	35	0.968433266817526	0.997600273240037
g__Lentilactobacillus	group	GERD	0.16379219474742	0.349294661084725	60	7	0.640882735177114	0.997600273240037
g__Limosilactobacillus	group	GERD	-0.732403137875963	0.737444093834114	60	25	0.324755364244352	0.997600273240037
Unclassified_NA.2	group	GERD	0.293256127861709	0.366911444082039	60	8	0.427403152784047	0.997600273240037
g__Enterococcus	group	GERD	0.618051339467137	0.72104096524285	60	19	0.394881483247943	0.997600273240037
g__Granulicatella	group	GERD	-0.324667508584866	0.294587177313471	60	60	0.274966201543307	0.997600273240037
g__Gemella	group	GERD	-0.248999570295491	0.267575342541835	60	60	0.355929455600573	0.997600273240037
g__Pseudoramibacter	group	GERD	-0.0536506120653204	0.197332610094054	60	7	0.786680452037577	0.997600273240037
g__Parvimonas	group	GERD	0.0324908382234971	0.406218578736193	60	59	0.936525614250964	0.997600273240037
g__Peptoniphilaceae..G2.	group	GERD	0.288221514586085	0.486265354744006	60	27	0.555669416108676	0.997600273240037
Unclassified_f__Anaerovoracaceae	group	GERD	-0.353540668096917	0.577636419591939	60	18	0.542898623473174	0.997600273240037
g__Peptostreptococcus	group	GERD	-0.382529944755857	0.36615878941237	60	60	0.30049146411959	0.997600273240037
g__Anaerovoracaceae..G5.	group	GERD	0.0574332825463695	0.516192009313402	60	54	0.911791615352228	0.997600273240037
g__Hornefia	group	GERD	-0.255374336240653	0.448087757447391	60	38	0.570932778183737	0.997600273240037
g__Gallibacter	group	GERD	-0.514732380269488	0.356550296936821	60	22	0.154218555164122	0.997600273240037
g__Anaerovoracaceae..G2.	group	GERD	0.071849035347978	0.399967088533639	60	37	0.858063384083702	0.997600273240037
g__Mogibacterium	group	GERD	-0.0297665633482534	0.37915886899039	60	32	0.937695119258908	0.997600273240037
g__Anaerovoracaceae..G1.	group	GERD	-0.242681614104917	0.291678556318408	60	60	0.408811799590475	0.997600273240037
g__Anaerovoracaceae..G4.	group	GERD	-0.258078298378406	0.416243634130956	60	25	0.537674771201831	0.997600273240037
g__Filifactor	group	GERD	-0.304810629227034	0.341842059837965	60	60	0.376253681224012	0.997600273240037
g__Peptoanaerobacter	group	GERD	0.444376532883944	0.506090587323996	60	51	0.383535576884234	0.997600273240037
g__Clostridiales..F3.G1.	group	GERD	-0.113729479008144	0.652529707917549	60	20	0.862244408771813	0.997600273240037
g__Lachnospiraceae..G8.	group	GERD	-0.110666352870102	0.337549988474743	60	56	0.744204325065336	0.997600273240037
g__Lachnoanaerobaculum	group	GERD	0.149734550143446	0.20429929954215	60	60	0.466560583651805	0.997600273240037
g__Moryella	group	GERD	0.348054227730021	0.396020470047855	60	57	0.38309334665302	0.997600273240037
g__Stomatobaculum	group	GERD	0.0495294876903277	0.433223476719467	60	54	0.90937280175472	0.997600273240037
Unclassified_f__Lachnospiraceae	group	GERD	0.454175239505777	0.687921215413232	60	50	0.511730028270539	0.997600273240037
g__Lachnospiraceae..G10.	group	GERD	-0.149619464620805	0.298134466380863	60	10	0.617671256599677	0.997600273240037
g__Oribacterium	group	GERD	0.391022295805429	0.295373361288084	60	60	0.190755626870021	0.997600273240037
g__Lachnospiraceae..G2.	group	GERD	-0.017787968092259	0.772910012234006	60	50	0.981717877843628	0.997600273240037
g__Lachnospiraceae..G3.	group	GERD	0.164758945791445	0.467293427965958	60	47	0.725680385697278	0.997600273240037
g__Johnsonella	group	GERD	0.111130482625386	0.259216017772909	60	15	0.66971682414454	0.997600273240037
g__Ruminococcaceae..G1.	group	GERD	0.0629107029944711	0.442915057376136	60	60	0.887542351190429	0.997600273240037
g__Ruminococcaceae..G2.	group	GERD	0.0819603507050155	0.27404918486222	60	60	0.765954375812135	0.997600273240037
g__Ruminococcaceae..G3.	group	GERD	0.00158190906651434	0.523705631670798	60	18	0.997600273240037	0.997600273240037
g__Fastidiosipila	group	GERD	0.17155467191861	0.443492960085857	60	19	0.700300580148496	0.997600273240037
Unclassified_NA.4	group	GERD	0.401295515515902	0.617249659273679	60	25	0.518172065710128	0.997600273240037
Unclassified_NA.5	group	GERD	0.0118370434022406	0.498375893558039	60	32	0.981132564536377	0.997600273240037
g__Hominimerdicola	group	GERD	-0.223942570625301	0.578592903043829	60	23	0.700138067874439	0.997600273240037
g__Clostridiales..F1.G2.	group	GERD	-0.0674709858311346	0.364850790912439	60	15	0.85393094946641	0.997600273240037
g__Anaerovoracaceae..G3.	group	GERD	0.00791897324679474	0.47616029415658	60	14	0.986788153222458	0.997600273240037
g__Clostridiales..F1.G1.	group	GERD	0.337838105310389	0.377042832641319	60	50	0.373945687471621	0.997600273240037
g__Brevundimonas	group	GERD	0.612200684153364	0.42234306264681	60	15	0.152574357246964	0.997600273240037
g__Afipia	group	GERD	-0.0238468131258853	0.29380263506748	60	13	0.935589300148812	0.997600273240037
g__Agrobacterium	group	GERD	0.10808783150085	0.250390104882455	60	7	0.667576125422734	0.997600273240037
g__Cardiobacterium	group	GERD	0.408267616808523	0.417312478335956	60	52	0.331976305216809	0.997600273240037
g__Serratia	group	GERD	-0.338248357019099	0.3354035839625	60	29	0.317412152940009	0.997600273240037
g__Enterobacter	group	GERD	-0.565476509594702	0.549985787833589	60	26	0.308140737811287	0.997600273240037
g__Klebsiella	group	GERD	0.419826526272559	0.469982263741152	60	10	0.375397949201389	0.997600273240037
g__Escherichia	group	GERD	0.500367788843398	0.976098246261669	60	26	0.61016375330817	0.997600273240037
g__Haemophilus	group	GERD	0.0278329323825932	0.489968938188704	60	60	0.954895375485945	0.997600273240037
g__Aggregatibacter	group	GERD	0.453145116690309	0.533739328477675	60	58	0.399371492441269	0.997600273240037
g__Neisseria	group	GERD	0.0280792311145764	0.411127511695735	60	60	0.945783244404902	0.997600273240037
g__Eikenella	group	GERD	-0.31017552588918	0.501206577836902	60	43	0.538433273181414	0.997600273240037
g__Kingella	group	GERD	0.269520343818826	0.421951007857227	60	51	0.525501355961393	0.997600273240037
g__Simonsiella	group	GERD	-0.134811692465261	0.223117151365388	60	8	0.548054135421864	0.997600273240037
Unclassified_f__Neisseriaceae	group	GERD	-0.111692563252591	0.365152845784696	60	44	0.760792048318871	0.997600273240037
g__Ralstonia	group	GERD	0.312728546999684	0.386902317763148	60	7	0.422227731998679	0.997600273240037
g__Lautropia	group	GERD	0.0899844067104989	0.362074877890108	60	60	0.804606652236941	0.997600273240037
g__Leptothrix	group	GERD	-0.272139920622583	0.364000752464305	60	12	0.457700589498168	0.997600273240037
g__Ottowia	group	GERD	0.156338521855649	0.509676803745978	60	52	0.760139440363572	0.997600273240037
g__Pseudomonas	group	GERD	-0.153668436514209	0.389648364736788	60	11	0.694748972935935	0.997600273240037
g__Acinetobacter	group	GERD	-0.624641082325817	0.536103932469204	60	25	0.248728264076171	0.997600273240037
Unclassified_NA.14	group	GERD	0.0812841480288158	0.233173772172832	60	7	0.728652620947196	0.997600273240037
g__Stenotrophomonas	group	GERD	0.0492305740915203	0.387768556602305	60	12	0.899412251037043	0.997600273240037
g__Desulfovibrio	group	GERD	-0.128974833162514	0.497086499072798	60	29	0.796197894721791	0.997600273240037
g__Mobiluncus	group	GERD	-0.0425421132805826	0.29028582955372	60	9	0.883993455922161	0.997600273240037
