feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
g__Rothia	group	GERD	-1.29661097005223	0.364666946335918	60	60	0.00075844693271473	0.133486660157793
g__Absconditabacteriales_.SR1.	group	GERD	1.68764353648458	0.671539427102231	60	56	0.0147685293733214	0.642930357394957
g__Streptococcus	group	GERD	-0.531256900564495	0.237608090444925	60	60	0.0292241071543162	0.642930357394957
g__Catonella	group	GERD	0.590345986998783	0.256007756005407	60	60	0.0247066158992186	0.642930357394957
g__Pseudopropionibacterium	group	GERD	-0.538606835285098	0.197592835848865	60	9	0.00846677964579723	0.642930357394957
g__Campylobacter	group	GERD	1.05965597560036	0.45940543594091	60	59	0.0246700733004861	0.642930357394957
g__Prevotella	group	GERD	0.436596854862642	0.193542043574122	60	60	0.0278683991278135	0.642930357394957
g__uncultured.28	group	GERD	1.3098119604046	0.572297413021675	60	26	0.0257581187051693	0.642930357394957
g__Scardovia	group	GERD	-0.432753130722432	0.206969430407678	60	10	0.0409281191055993	0.800372106953941
g__JGI_0000069.P22	group	GERD	0.0925613466291186	0.227350421257742	60	9	0.685410641801271	0.968936839785773
g__Chloroplast	group	GERD	0.309767351028741	0.178405488449894	60	7	0.0878183788124511	0.968936839785773
g__Mycoplasma	group	GERD	-0.362290710240476	0.443829530129836	60	49	0.417678035331806	0.968936839785773
g__Pyramidobacter	group	GERD	-0.200009031425073	0.246816458481273	60	14	0.421048556255859	0.968936839785773
g__uncultured.1	group	GERD	0.219293694564274	0.225083937035659	60	7	0.333965918487062	0.968936839785773
g__Anaeroglobus	group	GERD	0.116346265167079	0.392415614988848	60	49	0.767917033829594	0.968936839785773
g__Megasphaera	group	GERD	0.400897210229026	0.413866447399281	60	59	0.33673536909683	0.968936839785773
g__Dialister	group	GERD	0.618810921316706	0.38756818289093	60	60	0.115778353938146	0.968936839785773
Unclassified_f__Veillonellaceae	group	GERD	0.0681632605370997	0.261886481129941	60	8	0.795571236609303	0.968936839785773
g__Veillonella	group	GERD	0.112668752212276	0.407517901231668	60	60	0.783165657087735	0.968936839785773
g__Anaerovibrio	group	GERD	0.198078804161653	0.247067892843124	60	9	0.425988561147239	0.968936839785773
g__uncultured.3	group	GERD	0.535167597686273	0.701620099429067	60	36	0.448697853842983	0.968936839785773
g__Selenomonas	group	GERD	0.499206152229266	0.400634547617991	60	60	0.217759851754246	0.968936839785773
Unclassified_f__Selenomonadaceae	group	GERD	0.274668806545601	0.446553511122504	60	57	0.540903818693242	0.968936839785773
g__Centipeda	group	GERD	0.591904364144418	0.530655858067963	60	37	0.269270607312918	0.968936839785773
g__Peptococcus	group	GERD	-0.250777526046441	0.298314342179675	60	58	0.40399717599159	0.968936839785773
g__Acholeplasma	group	GERD	0.28474699237968	0.506676114884054	60	22	0.576288197243312	0.968936839785773
g__Izemoplasmatales	group	GERD	-0.198070625163897	0.288282355471957	60	20	0.494775756160581	0.968936839785773
g__RF39	group	GERD	0.658121139572271	0.494480266990378	60	38	0.188418869362936	0.968936839785773
g__Eggerthia	group	GERD	-0.297486914079494	0.208224425613001	60	11	0.158458586054737	0.968936839785773
g__uncultured.4	group	GERD	-0.264246212423607	0.351066075403522	60	10	0.454676530753017	0.968936839785773
g__Bulleidia	group	GERD	-0.378623338052887	0.221746188452862	60	9	0.0930844114347863	0.968936839785773
g__Lactobacillus	group	GERD	-0.167156914778159	0.574273922309437	60	57	0.772032172827128	0.968936839785773
Unclassified_NA	group	GERD	-0.314052987214829	0.353283663861423	60	58	0.377699835667986	0.968936839785773
g__Enterococcus	group	GERD	0.819934494686667	0.704093371280822	60	18	0.248978867897241	0.968936839785773
g__Granulicatella	group	GERD	-0.300896002661884	0.304009108191992	60	60	0.326402769641657	0.968936839785773
g__Gemella	group	GERD	-0.323266370959811	0.288280813809283	60	60	0.266756277585538	0.968936839785773
g__Turicibacter	group	GERD	0.109324694566546	0.337677152015216	60	8	0.747288026615097	0.968936839785773
g__Abiotrophia	group	GERD	-0.541999514009013	0.330213506659588	60	57	0.10613472373834	0.968936839785773
g__Pseudoramibacter	group	GERD	-0.0536722888635129	0.197530799101268	60	7	0.786805210846417	0.968936839785773
g__uncultured.7	group	GERD	0.157829388406598	0.470086398747507	60	26	0.738274316237015	0.968936839785773
g__Romboutsia	group	GERD	-0.251944698819993	0.409966096848583	60	12	0.541255320815122	0.968936839785773
g__Peptostreptococcus	group	GERD	-0.506683839073333	0.365839929477863	60	60	0.17136054021075	0.968936839785773
g__Amnipila	group	GERD	0.165507083833381	0.420624682717532	60	48	0.695408292681484	0.968936839785773
g__.Eubacterium._brachy_group	group	GERD	-0.288856970429622	0.376305949336566	60	24	0.445831535823021	0.968936839785773
g__Family_XIII_UCG.001	group	GERD	0.126792094020733	0.395212668635937	60	38	0.749499990857634	0.968936839785773
g__Family_XIII_AD3011_group	group	GERD	0.174152579467913	0.237960560264486	60	8	0.467204121535727	0.968936839785773
g__.Eubacterium._saphenum_group	group	GERD	-0.761601011840983	0.531558700874327	60	38	0.157291966282224	0.968936839785773
g__Mogibacterium	group	GERD	-0.140731758888602	0.366541703314067	60	31	0.702423370488203	0.968936839785773
g__.Eubacterium._nodatum_group	group	GERD	-0.279743794141012	0.29869312236138	60	60	0.352868802713626	0.968936839785773
g__uncultured.8	group	GERD	-0.238268117469449	0.427603085013266	60	26	0.57952264108015	0.968936839785773
g__Filifactor	group	GERD	-0.303588347765789	0.341629210225488	60	60	0.377862669893615	0.968936839785773
g__Peptoanaerobacter	group	GERD	0.294506123652122	0.212372394572089	60	13	0.170826907158819	0.968936839785773
g__.Eubacterium._yurii_group	group	GERD	0.276625103379993	0.428937032266477	60	42	0.521529366199408	0.968936839785773
Unclassified_f__Peptostreptococcaceae	group	GERD	0.524721501351302	0.53328137499203	60	42	0.329227616940701	0.968936839785773
g__Clostridium_sensu_stricto_1	group	GERD	0.212816772898173	0.290705376002274	60	9	0.467073591900306	0.968936839785773
g__Candidatus_Arthromitus	group	GERD	-0.309561181641381	0.337658627754046	60	13	0.363050483317817	0.968936839785773
g__Monoglobus	group	GERD	0.368509155885268	0.336733219840842	60	10	0.278318854629501	0.968936839785773
g__Saccharofermentans	group	GERD	-0.456411072117595	0.254171513322487	60	7	0.0777548126694337	0.968936839785773
g__Defluviitaleaceae_UCG.011	group	GERD	-0.120390946889283	0.337695724309362	60	56	0.722754465942292	0.968936839785773
g__Lachnoanaerobaculum	group	GERD	0.159846634741139	0.22569536345476	60	60	0.481632559151643	0.968936839785773
g__Stomatobaculum	group	GERD	0.143347945945121	0.292795062445794	60	60	0.626274524311495	0.968936839785773
g__Lachnospiraceae_NK3A20_group	group	GERD	0.505178983205214	0.428734971056879	60	15	0.243488305605547	0.968936839785773
g__Blautia	group	GERD	0.351605590159819	0.586082303477854	60	12	0.550892784435252	0.968936839785773
g__Lachnoclostridium	group	GERD	0.460883606451147	0.498862752682998	60	17	0.35938249514208	0.968936839785773
g__Lachnospiraceae_NK4A136_group	group	GERD	-0.196469443333716	0.663148084588208	60	14	0.768083817217598	0.968936839785773
g__.Eubacterium._xylanophilum_group	group	GERD	0.101868788697974	0.216440531120722	60	10	0.639652468630767	0.968936839785773
g__Lachnospiraceae_UCG.001	group	GERD	-0.0637450038851808	0.212090652705053	60	7	0.764828223357014	0.968936839785773
g__.Ruminococcus._torques_group	group	GERD	0.378984221578973	0.301914258959816	60	8	0.214414416890429	0.968936839785773
g__Shuttleworthia	group	GERD	-0.71107777273466	0.403002822068485	60	18	0.0829218738980273	0.968936839785773
g__Roseburia	group	GERD	0.553210006215041	0.58660292658137	60	38	0.349554895489936	0.968936839785773
g__.Ruminococcus._gnavus_group	group	GERD	0.509795258706708	0.448397888554653	60	10	0.260244622689066	0.968936839785773
g__Oribacterium	group	GERD	0.389129220937281	0.294507516662353	60	60	0.191594205215839	0.968936839785773
g__Butyrivibrio	group	GERD	0.801418619667072	0.535711575473235	60	47	0.140078444167886	0.968936839785773
Unclassified_f__Lachnospiraceae	group	GERD	0.256487988429834	0.656151486018032	60	33	0.69730520799923	0.968936839785773
g__uncultured.10	group	GERD	-0.433864598990132	0.735942058609484	60	42	0.55779112409855	0.968936839785773
g__Johnsonella	group	GERD	0.211109728071625	0.491076264070144	60	50	0.668867259333761	0.968936839785773
g__Lachnospiraceae_ND3007_group	group	GERD	0.121996261789301	0.307314622606926	60	7	0.692842823712019	0.968936839785773
g__uncultured.11	group	GERD	0.272973575824773	0.525078840068263	60	15	0.605131672158098	0.968936839785773
g__Colidextribacter	group	GERD	-0.179192538960147	0.307311657035526	60	13	0.562088384787915	0.968936839785773
g__Oscillibacter	group	GERD	0.0713448711132443	0.210985245629312	60	11	0.736470382957278	0.968936839785773
g__UCG.002	group	GERD	0.550739059474615	0.384999740700712	60	9	0.157941462306496	0.968936839785773
g__UCG.005	group	GERD	0.497516089048594	0.441592416552608	60	14	0.264534178244193	0.968936839785773
g__.Eubacterium._coprostanoligenes_group	group	GERD	-0.287119627512415	0.495763450724716	60	28	0.564732995648741	0.968936839785773
g__uncultured.12	group	GERD	0.201258112188531	0.39965981813371	60	16	0.616468406514925	0.968936839785773
g__Anaerotruncus	group	GERD	-0.226212998586048	0.202024045020398	60	7	0.267443125108108	0.968936839785773
g__Clostridia_vadinBB60_group	group	GERD	0.281749036447916	0.395781302650509	60	50	0.479392424729213	0.968936839785773
g__Brevundimonas	group	GERD	0.551665259384786	0.423253915364552	60	14	0.197591671175688	0.968936839785773
g__Methylobacterium.Methylorubrum	group	GERD	0.0672102611941642	0.12332706621498	60	7	0.587859731164124	0.968936839785773
g__Devosia	group	GERD	0.509519373923945	0.273763507440162	60	8	0.0677913215727222	0.968936839785773
g__Cardiobacterium	group	GERD	0.367554102739623	0.41099263027967	60	52	0.374853172486476	0.968936839785773
