feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Unclassified_NA.1	group	GERD	-0.496375992268885	0.259944157374155	26	3	0.0682156290093536	0.871643985471175
Unclassified_f__Saccharimonadaceae	group	GERD	-1.28163481950465	0.646002008549876	26	6	0.0588119146523396	0.871643985471175
g__Scardovia	group	GERD	-1.0881470917117	0.50432047051003	26	7	0.0411806962336346	0.871643985471175
g__F0332	group	GERD	-1.21248927852342	0.704431826363986	26	8	0.0980770284756013	0.871643985471175
g__Actinomyces	group	GERD	0.538197113432923	0.346462572590721	26	26	0.133414895735384	0.871643985471175
g__Mobiluncus	group	GERD	1.05139650612764	0.656621178357486	26	11	0.122409791598061	0.871643985471175
g__Centipeda	group	GERD	-0.688129606340283	0.435312347971329	26	8	0.127020761742596	0.871643985471175
g__Stomatobaculum	group	GERD	0.970822536214388	0.359308429284383	26	25	0.0124517503004797	0.871643985471175
g__Butyrivibrio	group	GERD	1.73924512746378	0.86514537343315	26	20	0.0557608414827297	0.871643985471175
g__Leptotrichia	group	GERD	0.748702460429615	0.471612428990036	26	26	0.125479660671324	0.871643985471175
g__Peptostreptococcus	group	GERD	-1.03892240437667	0.55849100361162	26	26	0.0751512122732541	0.871643985471175
g__Family_XIII_UCG.001	group	GERD	-0.707828123930933	0.44844726642278	26	6	0.127565321461516	0.871643985471175
g__Capnocytophaga	group	GERD	-1.02617722314297	0.642343197323786	26	25	0.123226771877245	0.871643985471175
g__Bergeyella	group	GERD	-1.33522061565323	0.846632843523411	26	23	0.127864852607293	0.871643985471175
g__Porphyromonas	group	GERD	-1.13718662879893	0.61858546631201	26	26	0.078417103226934	0.871643985471175
g__Gemella	group	GERD	-0.881710314686796	0.58709523398695	26	26	0.146187887113938	0.890463468874023
g__.Eubacterium._yurii_group	group	GERD	-0.720473211242225	0.490015540576327	26	11	0.154468152763861	0.890463468874023
g__JGI_0000069.P22	group	GERD	-0.313093450011739	0.605058378209652	26	12	0.609572035600882	0.938732399765978
g__Treponema	group	GERD	-0.470090790744221	1.04749475322094	26	19	0.657619004701246	0.938732399765978
g__Candidatus_Saccharimonas	group	GERD	0.348744479672203	0.592458680125483	26	25	0.561602894877381	0.938732399765978
g__Saccharimonadales	group	GERD	-0.658693475955031	1.04015634480123	26	26	0.532549974159233	0.938732399765978
g__Saccharimonadaceae	group	GERD	-0.438911995134398	1.13293520371476	26	21	0.701866078839168	0.938732399765978
g__TM7x	group	GERD	0.486337927363847	0.781878403568178	26	26	0.53979854099021	0.938732399765978
g__Pseudopropionibacterium	group	GERD	-0.889931268332538	0.803183000410519	26	10	0.27884044344076	0.938732399765978
g__Corynebacterium	group	GERD	-0.289153662830881	0.74828333363772	26	24	0.702588382060459	0.938732399765978
g__Alloscardovia	group	GERD	0.591595056611617	0.644284888557692	26	4	0.367640227377522	0.938732399765978
g__Bifidobacterium	group	GERD	0.20680868117173	0.258024192956198	26	3	0.430701633018612	0.938732399765978
g__Atopobium	group	GERD	0.657302144997657	0.467741389680405	26	26	0.172754459363337	0.938732399765978
g__Slackia	group	GERD	0.431267235958681	0.56216539709532	26	12	0.450471650417616	0.938732399765978
g__Olsenella	group	GERD	-0.224911923415365	0.343140574519497	26	6	0.518411397471389	0.938732399765978
g__Selenomonas	group	GERD	0.498926122752046	0.663926870718346	26	26	0.459671511488236	0.938732399765978
Unclassified_f__Selenomonadaceae	group	GERD	-0.313141337231424	0.703754821535362	26	10	0.660337334881868	0.938732399765978
g__uncultured	group	GERD	0.454059069252099	0.560165391500603	26	6	0.425571968027576	0.938732399765978
g__Megasphaera	group	GERD	0.785412868282777	0.655840808509665	26	25	0.242780275217779	0.938732399765978
g__Veillonella	group	GERD	0.279882911622618	0.352354424884521	26	26	0.434792507452324	0.938732399765978
Unclassified_f__Veillonellaceae	group	GERD	-0.100770326376253	0.193158544080636	26	4	0.606662578482474	0.938732399765978
Unclassified_NA.3	group	GERD	-1.18599216386142	0.930839153147832	26	19	0.214824277947713	0.938732399765978
g__Absconditabacteriales_.SR1.	group	GERD	-0.670650596205688	1.25885540818412	26	22	0.599107826267868	0.938732399765978
g__Streptococcus	group	GERD	-0.248733430992522	0.342192730825903	26	26	0.474329721156519	0.938732399765978
g__Eggerthia	group	GERD	-0.098012904568824	0.142367538530136	26	3	0.497770910538713	0.938732399765978
g__Erysipelotrichaceae_UCG.006	group	GERD	0.429505715014029	0.655386144092783	26	9	0.518476994230836	0.938732399765978
g__Bulleidia	group	GERD	0.199187613296663	0.498988526734462	26	6	0.69328847279168	0.938732399765978
g__Solobacterium	group	GERD	0.582657254109587	0.479481517460837	26	26	0.236116483307997	0.938732399765978
g__Defluviitaleaceae_UCG.011	group	GERD	-0.180880732810987	0.543663944519966	26	8	0.742244285292375	0.938732399765978
g__Clostridia_UCG.014	group	GERD	0.247510132503218	0.417904429338723	26	26	0.559212311002426	0.938732399765978
g__Oribacterium	group	GERD	0.317492598092765	0.428448097399598	26	26	0.465864943729989	0.938732399765978
g__uncultured.1	group	GERD	-0.37856823341913	0.397073241111425	26	4	0.349893673201605	0.938732399765978
g__Streptobacillus	group	GERD	-0.316097952810713	0.655850740249226	26	7	0.634196033755563	0.938732399765978
g__Lachnoanaerobaculum	group	GERD	0.253235595927312	0.422717327287191	26	26	0.554742108739596	0.938732399765978
g__Johnsonella	group	GERD	0.225679830269069	0.659144177612067	26	8	0.735042981340948	0.938732399765978
Unclassified_f__Lachnospiraceae	group	GERD	1.28179363552831	0.981609774852026	26	18	0.20399658102318	0.938732399765978
Unclassified_f__Peptostreptococcaceae	group	GERD	0.36624833748208	0.578189348678394	26	10	0.532436867397983	0.938732399765978
g__.Eubacterium._brachy_group	group	GERD	-0.246019598760847	0.636222345842086	26	11	0.702394471227511	0.938732399765978
g__uncultured.3	group	GERD	-0.109506996083055	0.349488819519844	26	6	0.756733261035839	0.938732399765978
g__.Eubacterium._nodatum_group	group	GERD	-0.34771488249102	0.569965401601801	26	25	0.547553521775322	0.938732399765978
g__Mogibacterium	group	GERD	-0.84891809609754	0.679595201122882	26	25	0.223655806319007	0.938732399765978
g__.Eubacterium._saphenum_group	group	GERD	-0.560725432003129	0.803202448754735	26	6	0.491816239818962	0.938732399765978
g__Comamonas	group	GERD	0.173424272266774	0.17208322380589	26	4	0.323607128435443	0.938732399765978
g__Eikenella	group	GERD	0.302395648658854	0.826300329238467	26	15	0.717598527874648	0.938732399765978
Unclassified_f__Neisseriaceae	group	GERD	-0.33285287655514	1.04788022763236	26	15	0.753502155703702	0.938732399765978
g__Simonsiella	group	GERD	-0.259813857400162	0.48919399710774	26	3	0.600226560213916	0.938732399765978
g__Alysiella	group	GERD	-0.215463016601211	0.32589671887627	26	3	0.514820479357977	0.938732399765978
g__Kingella	group	GERD	0.467390774613488	0.726562951987281	26	16	0.526135285270283	0.938732399765978
g__Neisseria	group	GERD	-0.813017327472551	0.846418689208857	26	26	0.346362519635037	0.938732399765978
g__Ralstonia	group	GERD	-0.208071843037299	0.196882526339653	26	3	0.301110448549011	0.938732399765978
g__Lautropia	group	GERD	0.279699217676674	0.701369066924799	26	21	0.693573742934362	0.938732399765978
g__Actinobacillus	group	GERD	0.371423279608677	0.89055372098034	26	11	0.680334270730541	0.938732399765978
g__Haemophilus	group	GERD	-0.274015453557965	0.42510690882753	26	26	0.525313031014556	0.938732399765978
g__Aggregatibacter	group	GERD	0.424794106560297	0.839523708614821	26	21	0.617477105605175	0.938732399765978
g__Cardiobacterium	group	GERD	-0.887102683077326	0.714504336746172	26	23	0.226395185524556	0.938732399765978
g__uncultured.6	group	GERD	-0.227707015080944	0.208561956085595	26	3	0.285762426427243	0.938732399765978
g__Peptococcus	group	GERD	0.248087756260727	0.609338579839505	26	11	0.687511703386627	0.938732399765978
g__Campylobacter	group	GERD	-0.168057975563362	0.478085184358609	26	26	0.72826343677427	0.938732399765978
g__Fusobacterium	group	GERD	-0.340740821587477	0.485306651597355	26	26	0.489361708480578	0.938732399765978
g__Lentimicrobium	group	GERD	-0.623462358401065	0.933820227586899	26	14	0.510728493632648	0.938732399765978
g__F0058	group	GERD	0.656752540560719	0.752817948808118	26	19	0.3916389579846	0.938732399765978
g__Tannerella	group	GERD	0.199986568997561	0.620727491881993	26	21	0.750105284020614	0.938732399765978
g__Phocaeicola	group	GERD	-0.191421439730169	0.209017349390515	26	3	0.368874270173007	0.938732399765978
g__Prevotella	group	GERD	0.168219181568806	0.290545489825334	26	26	0.567999389271581	0.938732399765978
g__Filifactor	group	GERD	0.288804281313215	0.981475231005732	26	15	0.771092843272392	0.94458873300868
g__Cryptobacterium	group	GERD	0.11538121913994	0.42129005722331	26	5	0.786523290378369	0.951271225979133
g__Granulicatella	group	GERD	0.0893569132381789	0.341749482173986	26	26	0.795961638064172	0.951271225979133
g__Gracilibacteria	group	GERD	-0.162461158595892	0.879030255943252	26	9	0.854924213980513	0.952074692841934
g__Dialister	group	GERD	-0.135692290377732	0.689895706526945	26	25	0.845729946067728	0.952074692841934
g__Anaeroglobus	group	GERD	-0.0775756711402216	0.366546625756047	26	5	0.834175398569678	0.952074692841934
g__Mycoplasma	group	GERD	0.132950245718556	0.599884842199792	26	11	0.826479754878755	0.952074692841934
g__Catonella	group	GERD	-0.0857721046260168	0.451799368951301	26	26	0.851026691034027	0.952074692841934
g__Clostridia_vadinBB60_group	group	GERD	0.0613266144454793	0.26317929651059	26	3	0.817720087682578	0.952074692841934
Unclassified_NA	group	GERD	0.0304573096641897	0.648093548800562	26	9	0.962905901892002	0.992561992048827
g__Rothia	group	GERD	0.016712119895532	0.462730882003177	26	26	0.971488360781474	0.992561992048827
g__Abiotrophia	group	GERD	0.0524985796700458	0.737341218432374	26	18	0.943828704337747	0.992561992048827
g__Lactobacillus	group	GERD	-0.0305986941877594	0.6296841993936	26	5	0.961645214614314	0.992561992048827
g__RF39	group	GERD	-0.0644198464405662	0.683792875285988	26	12	0.925724792598007	0.992561992048827
g__Fretibacterium	group	GERD	0.0266971699889639	0.761023983326322	26	15	0.972305624864157	0.992561992048827
g__Rikenellaceae_RC9_gut_group	group	GERD	0.0486231854088265	0.910036607755632	26	10	0.957831629654863	0.992561992048827
g__Alloprevotella	group	GERD	0.0621995777289023	0.702664157483313	26	25	0.930198190595209	0.992561992048827
g__Shuttleworthia	group	GERD	-0.0140521353127519	0.684688662942831	26	11	0.983795527589777	0.993937749523693
g__Parvimonas	group	GERD	-0.000275587651930393	1.02727536312261	26	22	0.99978816859665	0.99978816859665
