feature	metadata	value	coef	stderr	N	N.not.0	pval	qval	study	disease
g__Patescibacteria..C1.O1.F1.G1.	group	GERD	-0.312777208352347	0.604955282102788	26	12	0.60987077516714	0.906914482027349	Ziganshina_2020	GERD
g__Treponema	group	GERD	-0.46987647862241	1.04759072486434	26	19	0.657793773117918	0.906914482027349	Ziganshina_2020	GERD
g__Nanosyncoccus	group	GERD	0.385364410042707	0.595455612276465	26	25	0.523660655048063	0.906914482027349	Ziganshina_2020	GERD
g__Nanogingivalis	group	GERD	-0.851472073466539	1.08556497753783	26	23	0.440503363276054	0.906914482027349	Ziganshina_2020	GERD
g__Saccharimonadales..F1.G1.	group	GERD	-0.850609553170403	0.563730432360744	26	5	0.14437905203709	0.906914482027349	Ziganshina_2020	GERD
g__Saccharimonas	group	GERD	-0.475698696912948	1.13707877405731	26	21	0.679409950296781	0.906914482027349	Ziganshina_2020	GERD
Unclassified_NA.1	group	GERD	-0.283008288735344	0.618526175276099	26	5	0.651389146756851	0.906914482027349	Ziganshina_2020	GERD
g__Parvisynbacter	group	GERD	-0.129606813447202	0.358852900386076	26	4	0.721132501924032	0.906914482027349	Ziganshina_2020	GERD
g__Nanosynbacter	group	GERD	0.575899981214463	0.700386829763321	26	25	0.419023673979292	0.906914482027349	Ziganshina_2020	GERD
g__Nanoperiomorbus	group	GERD	1.00906914127513	0.850836340549554	26	18	0.24724193273277	0.906914482027349	Ziganshina_2020	GERD
g__Arachnia	group	GERD	-0.808364618496417	0.597583595317353	26	9	0.188752147088012	0.906914482027349	Ziganshina_2020	GERD
g__Corynebacterium	group	GERD	-0.288684106726416	0.74834692174214	26	24	0.703070929375254	0.906914482027349	Ziganshina_2020	GERD
g__Alloscardovia	group	GERD	0.591761492718411	0.644446397928604	26	4	0.367625796079441	0.906914482027349	Ziganshina_2020	GERD
g__Scardovia	group	GERD	-1.08798983946527	0.504265761304942	26	7	0.0411873908257547	0.906914482027349	Ziganshina_2020	GERD
g__Bifidobacterium	group	GERD	0.206935491005301	0.258141229910954	26	3	0.43062907270045	0.906914482027349	Ziganshina_2020	GERD
g__Peptidiphaga	group	GERD	-1.1689045453929	0.731006582474372	26	10	0.122896417310517	0.906914482027349	Ziganshina_2020	GERD
g__Actinomyces	group	GERD	0.257156581014143	0.493335544063041	26	26	0.606961953551728	0.906914482027349	Ziganshina_2020	GERD
g__Schaalia	group	GERD	0.611710349349524	0.381979781821313	26	26	0.12236574743402	0.906914482027349	Ziganshina_2020	GERD
g__Mobiluncus	group	GERD	1.05275450049629	0.657121354326699	26	11	0.122221678676483	0.906914482027349	Ziganshina_2020	GERD
g__Lancefieldella	group	GERD	0.657607853540928	0.467729489926771	26	26	0.172551971432365	0.906914482027349	Ziganshina_2020	GERD
g__Slackia	group	GERD	0.431646331299522	0.56267049855916	26	12	0.450480353555126	0.906914482027349	Ziganshina_2020	GERD
g__Olsenella	group	GERD	-0.224578868189034	0.34272959354023	26	6	0.518528930377966	0.906914482027349	Ziganshina_2020	GERD
g__Selenomonas	group	GERD	0.387279613200986	0.668481262442193	26	26	0.567756802398327	0.906914482027349	Ziganshina_2020	GERD
g__Selenomonadaceae..G1.	group	GERD	0.15842948179018	0.388038461019658	26	6	0.68668577938469	0.906914482027349	Ziganshina_2020	GERD
g__Mitsuokella	group	GERD	0.454135520266386	0.560231043852084	26	6	0.425548603606989	0.906914482027349	Ziganshina_2020	GERD
g__Megasphaera	group	GERD	0.785736043079192	0.655893556274576	26	25	0.242628783869295	0.906914482027349	Ziganshina_2020	GERD
g__Veillonella	group	GERD	0.280218417744092	0.352308088613155	26	26	0.434189471257318	0.906914482027349	Ziganshina_2020	GERD
