feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
K00003	group	GERD	0.796504060808096	0.27638124071238	24	24	0.00865729369141041	0.229394886673746
K00004	group	GERD	1.13795693776136	0.387641665640284	24	24	0.0076528184210792	0.229394886673746
K00016	group	GERD	0.834083504921198	0.318124147823662	24	24	0.015571082352175	0.229394886673746
K00052	group	GERD	0.258320437369896	0.0939377797539494	24	24	0.0116888482044986	0.229394886673746
K00053	group	GERD	0.23960491408288	0.0915260554361766	24	24	0.0157097925785035	0.229394886673746
K00054	group	GERD	1.11467328271115	0.367089261594486	24	24	0.00605862657551656	0.229394886673746
K00111	group	GERD	-0.538246641617453	0.218363966055564	24	24	0.0219850419684666	0.229394886673746
K00123	group	GERD	-1.5666507450193	0.576446059254155	24	24	0.0125666374843	0.229394886673746
K00124	group	GERD	-1.53094433219027	0.572710626525661	24	24	0.0138892891412707	0.229394886673746
K00127	group	GERD	-1.49334512471316	0.506700343773836	24	23	0.00745083448150223	0.229394886673746
K00131	group	GERD	1.20772695864628	0.441534786881571	24	24	0.0120806725689185	0.229394886673746
K00153	group	GERD	1.90038592061365	0.688189184134761	24	24	0.0113885738201877	0.229394886673746
K00156	group	GERD	1.09186612036904	0.392396823093967	24	24	0.0108567963894984	0.229394886673746
K00161	group	GERD	0.794902846108339	0.283266376401065	24	24	0.0102895657883397	0.229394886673746
K00162	group	GERD	0.795263033007392	0.283296458751293	24	24	0.0102668298347806	0.229394886673746
K00198	group	GERD	1.79008197439955	0.619437692928501	24	24	0.00850105260244717	0.229394886673746
K00226	group	GERD	1.13639888213192	0.359732547350239	24	24	0.00455033490492108	0.229394886673746
K00231	group	GERD	1.30452556223301	0.394451856147132	24	24	0.0032069285348763	0.229394886673746
K00284	group	GERD	1.69603323568322	0.655571658335321	24	24	0.0168187106696062	0.229394886673746
K00313	group	GERD	1.00049060870906	0.373680305215774	24	24	0.0137581020680603	0.229394886673746
K00364	group	GERD	0.67038035935676	0.263870716275279	24	24	0.0186355969648229	0.229394886673746
K00510	group	GERD	1.86510404151636	0.68346195671461	24	24	0.0122557303921574	0.229394886673746
K00517	group	GERD	1.85634513576146	0.673501804518814	24	24	0.0115224457160979	0.229394886673746
K00609	group	GERD	0.50363912328046	0.154158687731342	24	24	0.00352724770551139	0.229394886673746
K00631	group	GERD	-1.78804010261052	0.707828598526893	24	23	0.0192369393735223	0.229394886673746
K00640	group	GERD	0.223257193595542	0.0768906890780592	24	24	0.00823768656675411	0.229394886673746
K00651	group	GERD	0.652474483488963	0.238209579964906	24	24	0.0119780476088989	0.229394886673746
K00687	group	GERD	1.23317083414132	0.499045601997753	24	24	0.0216930258546574	0.229394886673746
K00690	group	GERD	1.1698102848423	0.469970687905031	24	24	0.0208567774636707	0.229394886673746
K00756	group	GERD	1.1231468589864	0.37908805961267	24	24	0.00718797047600488	0.229394886673746
K00763	group	GERD	0.514561016322525	0.156804294796072	24	24	0.00340792830380212	0.229394886673746
K00784	group	GERD	0.608382615771269	0.169863807699088	24	24	0.00166364623481101	0.229394886673746
K00786	group	GERD	2.52228720019998	0.76831699026217	24	24	0.00339725517271935	0.229394886673746
K00790	group	GERD	0.363465393238776	0.141904800254122	24	24	0.0178032396143131	0.229394886673746
K00824	group	GERD	1.15636413786063	0.368968187468917	24	24	0.00482481422528744	0.229394886673746
K00836	group	GERD	-1.77133287610394	0.70089146836299	24	23	0.0191878637286466	0.229394886673746
K00869	group	GERD	1.12427653280132	0.363515211782268	24	24	0.00531389412308145	0.229394886673746
K00886	group	GERD	2.13528674346709	0.715094534512685	24	24	0.00681162882846689	0.229394886673746
K00887	group	GERD	1.19557729512504	0.469147845438178	24	24	0.0183172751384702	0.229394886673746
K00917	group	GERD	1.20101307286104	0.45023155730031	24	24	0.014064584245787	0.229394886673746
K00938	group	GERD	1.24081316870919	0.445600206634636	24	24	0.0108068992905556	0.229394886673746
K00948	group	GERD	0.356005337766241	0.130249667496228	24	24	0.0121363232993157	0.229394886673746
K00968	group	GERD	1.24762586292723	0.478299116823012	24	23	0.0160417747682833	0.229394886673746
K00969	group	GERD	0.529219635317859	0.178968724594683	24	24	0.00728333941108368	0.229394886673746
K00997	group	GERD	0.594114023330944	0.186091999156171	24	24	0.00420490254077307	0.229394886673746
K00998	group	GERD	-1.82497248028249	0.739788205298099	24	23	0.021890710363735	0.229394886673746
K01004	group	GERD	2.18544687298164	0.777244320126372	24	24	0.0101597400775869	0.229394886673746
K01060	group	GERD	1.19745630499336	0.464281589682006	24	24	0.0171166760053097	0.229394886673746
K01082	group	GERD	-1.55574517495414	0.603400688284545	24	23	0.0171493798340411	0.229394886673746
K01090	group	GERD	0.528792245404004	0.192077907046309	24	24	0.0116073323703419	0.229394886673746
K01104	group	GERD	0.829930904434688	0.260250499954418	24	24	0.00424082048225583	0.229394886673746
K01141	group	GERD	-1.60945902874126	0.57075037923305	24	23	0.00997400070585791	0.229394886673746
K01181	group	GERD	3.25771628251124	0.947700717475906	24	21	0.00235100416359392	0.229394886673746
K01182	group	GERD	2.00972353530531	0.579756216531858	24	24	0.00219335425340605	0.229394886673746
K01185	group	GERD	-1.35271053562075	0.474714614377344	24	24	0.00932273444274471	0.229394886673746
K01200	group	GERD	1.12645132235932	0.426304736988411	24	24	0.0148775274040267	0.229394886673746
K01210	group	GERD	1.73718082904082	0.538707762684418	24	22	0.0038981206286534	0.229394886673746
K01215	group	GERD	1.23352802932323	0.480827325585878	24	24	0.0176432592263047	0.229394886673746
K01218	group	GERD	1.51241271324912	0.560923502201811	24	22	0.0131879015432394	0.229394886673746
K01255	group	GERD	-0.619791071828184	0.191437797233215	24	24	0.00378171265732507	0.229394886673746
K01267	group	GERD	1.1752866600715	0.40154700871616	24	24	0.00780753036909413	0.229394886673746
K01281	group	GERD	1.37609310463687	0.505705397121996	24	24	0.0124719940846978	0.229394886673746
K01286	group	GERD	1.97070701980211	0.511621355344978	24	24	8.6494296289021e-4	0.229394886673746
K01308	group	GERD	2.34555840489267	0.850120059426577	24	23	0.0114489387820339	0.229394886673746
K01358	group	GERD	0.241548741106546	0.0945203427384192	24	24	0.0180325686898181	0.229394886673746
K01361	group	GERD	1.87039761783794	0.611146232590697	24	24	0.00573004569801338	0.229394886673746
K01372	group	GERD	0.902621494880392	0.338796123901252	24	24	0.0141700282415227	0.229394886673746
K01419	group	GERD	-1.22887263377794	0.370168382283227	24	24	0.00311255680382772	0.229394886673746
K01421	group	GERD	1.05594478545251	0.408178658358162	24	24	0.0168238671013604	0.229394886673746
K01438	group	GERD	-0.975460651349155	0.36870273103702	24	24	0.0147687198671284	0.229394886673746
K01460	group	GERD	-2.86191733535156	1.10054228541122	24	23	0.0163288530995081	0.229394886673746
K01462	group	GERD	0.363820866663372	0.130092371280708	24	24	0.0105155957822905	0.229394886673746
K01465	group	GERD	0.372101315883896	0.119316842582938	24	24	0.00500264391387315	0.229394886673746
K01467	group	GERD	1.7331637573318	0.623183613140073	24	24	0.0108915737838212	0.229394886673746
K01478	group	GERD	1.10193811287397	0.430178593666483	24	24	0.0177934260212321	0.229394886673746
K01488	group	GERD	0.98102162063493	0.371697032448866	24	24	0.0149791781235389	0.229394886673746
K01597	group	GERD	1.12694255456606	0.363652995099297	24	24	0.00523795387160283	0.229394886673746
K01598	group	GERD	1.23267679650262	0.499009299832105	24	24	0.0217312767510279	0.229394886673746
K01601	group	GERD	1.31365143115672	0.442846098468876	24	24	0.00712805439270909	0.229394886673746
K01609	group	GERD	0.763161841700859	0.297055490577506	24	24	0.0175014297552933	0.229394886673746
K01621	group	GERD	1.38790935358957	0.470030300918197	24	24	0.00735499970419686	0.229394886673746
K01635	group	GERD	1.2849849593571	0.495481416334358	24	24	0.01658589635019	0.229394886673746
K01641	group	GERD	1.08808507738659	0.398739881072621	24	24	0.0122584253637407	0.229394886673746
K01653	group	GERD	0.27661252701972	0.0957606107988486	24	24	0.00852576981506395	0.229394886673746
K01687	group	GERD	0.257823919854492	0.0961286383090846	24	24	0.0136148920178379	0.229394886673746
K01696	group	GERD	0.295023235381792	0.10074771993717101	24	24	0.00778170098968686	0.229394886673746
K01704	group	GERD	0.17779759580605	0.069229528247153	24	24	0.0175344628310675	0.229394886673746
K01716	group	GERD	-1.61690606634273	0.569642878941159	24	23	0.00956117330260632	0.229394886673746
K01719	group	GERD	-0.626651314623651	0.242109556139306	24	24	0.0167744835342655	0.229394886673746
K01734	group	GERD	-1.11024125959179	0.396280506008581	24	24	0.0103964178721119	0.229394886673746
K01738	group	GERD	0.132307319347863	0.0509268189026308	24	24	0.016418500335613002	0.229394886673746
K01752	group	GERD	0.36530254192134	0.138118971850497	24	24	0.0147956151840228	0.229394886673746
K01817	group	GERD	0.819948608600163	0.295876866007784	24	24	0.0111383913160568	0.229394886673746
K01821	group	GERD	0.737754806544349	0.177027248055005	24	24	4.0082004781668e-4	0.229394886673746
K01835	group	GERD	0.523909028600011	0.181595875794972	24	24	0.00859555301246205	0.229394886673746
K01838	group	GERD	1.92223608271079	0.512108388165975	24	24	0.00109800271605585	0.229394886673746
K01839	group	GERD	0.720894103353878	0.279162699523179	24	24	0.0169966802571132	0.229394886673746
K01847	group	GERD	1.28138505246332	0.514541666242104	24	24	0.0208009431160949	0.229394886673746
K01848	group	GERD	1.8284751558611	0.622891639782488	24	24	0.00765506051558046	0.229394886673746
K01849	group	GERD	1.82004376473414	0.623371649449628	24	24	0.00793829701297222	0.229394886673746
K01906	group	GERD	1.86981059732487	0.647940807523135	24	24	0.0085808573285162	0.229394886673746
K01915	group	GERD	0.243311353114694	0.0967890628116966	24	24	0.0197605418392598	0.229394886673746
