feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
HEME-BIOSYNTHESIS-II	group	GERD	0.450496393093197	0.161623092017559	24	24	0.0107400124776928	0.330255383689055
P122-PWY	group	GERD	1.19982853133565	0.420508753948261	24	24	0.00924314208167756	0.330255383689055
P124-PWY	group	GERD	1.19909654300055	0.414223456893757	24	24	0.00840497536131449	0.330255383689055
P125-PWY	group	GERD	1.09598808312107	0.351091247226175	24	24	0.0049668900287457	0.330255383689055
PWY-5304	group	GERD	3.11597032810682	1.01397918916075	24	23	0.00556499624285032	0.330255383689055
PWY-5686	group	GERD	0.293955725291015	0.104299591834597	24	24	0.0100085952500051	0.330255383689055
PWY-5910	group	GERD	0.934568623552997	0.331067691055637	24	24	0.00990628808046347	0.330255383689055
PWY-6383	group	GERD	1.93959364724078	0.654775224962406	24	24	0.00719679981474799	0.330255383689055
PWY-6478	group	GERD	1.95496929709847	0.695616034956733	24	24	0.0101915373448533	0.330255383689055
PWY-6572	group	GERD	2.0052076677612	0.679968649790899	24	22	0.00742039772518548	0.330255383689055
PWY-7111	group	GERD	0.217438485894841	0.0758054784776793	24	24	0.00892962724826797	0.330255383689055
PWY-922	group	GERD	0.998919823488406	0.353298205969153	24	24	0.00980485565624287	0.330255383689055
NAD-BIOSYNTHESIS-II	group	GERD	-1.10020340153427	0.402762791321188	24	24	0.0121804855805377	0.345738398401417
PWY-5154	group	GERD	-0.763715457952662	0.283244775023672	24	24	0.0131873521880985	0.34758092552916803
BRANCHED-CHAIN-AA-SYN-PWY	group	GERD	0.164264355285417	0.0689050895024089	24	24	0.0261847107191989	0.377917133304886
ILEUSYN-PWY	group	GERD	0.174541607437935	0.0694765849963931	24	24	0.0198296105030928	0.377917133304886
LACTOSECAT-PWY	group	GERD	1.05170225385323	0.461257863404899	24	24	0.0326534208940864	0.377917133304886
OANTIGEN-PWY	group	GERD	0.313693719215602	0.132685091788505	24	24	0.0273142729333304	0.377917133304886
PWY-2941	group	GERD	0.667681991058865	0.28364438729788	24	24	0.0279192364667269	0.377917133304886
PWY-5101	group	GERD	0.163013487903845	0.0695670884340804	24	24	0.0285625401452031	0.377917133304886
PWY-5103	group	GERD	0.173828300546064	0.0744173426514264	24	24	0.0290159560861643	0.377917133304886
PWY-5913	group	GERD	-0.187833661016016	0.0782666205760561	24	24	0.0253003937889319	0.377917133304886
PWY-5973	group	GERD	0.145642370074084	0.0637105880571986	24	24	0.0322481283798181	0.377917133304886
PWY-6396	group	GERD	1.55480967680979	0.682432496564446	24	24	0.0327733015332151	0.377917133304886
PWY-6749	group	GERD	2.2689766325277	0.943538312562503	24	23	0.0250387504069046	0.377917133304886
PWY-7003	group	GERD	2.14847597313455	0.831335635053179	24	23	0.0169208739274471	0.377917133304886
PWY-7392	group	GERD	0.281989391613675	0.123695436549147	24	24	0.0326786845292799	0.377917133304886
PWY-7456	group	GERD	1.28154256127888	0.55196306480376	24	22	0.0298963583095021	0.377917133304886
PWY0-162	group	GERD	0.21234035902509	0.0836725491302903	24	24	0.0187509489280124	0.377917133304886
PWY1G-0	group	GERD	1.72680349534781	0.659566490228114	24	24	0.0157027789085221	0.377917133304886
TEICHOICACID-PWY	group	GERD	2.14587133265574	0.908206108676434	24	23	0.0273984179140546	0.377917133304886
VALSYN-PWY	group	GERD	0.174541607437935	0.0694765849963931	24	24	0.0198296105030928	0.377917133304886
PWY0-1479	group	GERD	-0.626620529118112	0.283567956079984	24	23	0.0378306591811514	0.423015552661966
ANAEROFRUCAT-PWY	group	GERD	0.206466697669894	0.0965714532947892	24	24	0.0438785323084701	0.458641387820342
PWY-5097	group	GERD	-0.0798614121409982	0.0380938243387606	24	24	0.0477623725944984	0.458641387820342
PWY-7221	group	GERD	0.185431258285011	0.0887588074766441	24	24	0.0484742930216621	0.458641387820342
PWY0-1296	group	GERD	0.533593621275331	0.249100233125842	24	24	0.0435095616737488	0.458641387820342
PWY0-1297	group	GERD	0.401917333839956	0.191519299261598	24	24	0.0475555310087829	0.458641387820342
PWY0-1298	group	GERD	0.387180505347295	0.18257074065895	24	24	0.045456157421476	0.458641387820342
PWY0-1261	group	GERD	-0.562354810009169	0.273239490007593	24	23	0.0516190678230669	0.476185900667792
GLYCOL-GLYOXDEG-PWY	group	GERD	-1.9717301697973	0.981885474400541	24	22	0.0570659429908703	0.505666425350183
PWY-5100	group	GERD	0.424605616169637	0.211897752112177	24	24	0.0575555280886388	0.505666425350183
ARGORNPROST-PWY	group	GERD	0.708217794697237	0.372190337294309	24	24	0.0702303796820221	0.546775318399875
COA-PWY	group	GERD	0.134860438624373	0.0870634584945938	24	24	0.135650585266652	0.546775318399875
