feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
K00010	group	GERD	0.296137715701328	0.134687265708793	128	128	0.0297246606024659	0.78192825116457
K00023	group	GERD	0.754002086616212	0.412187784124769	128	125	0.0697238196089323	0.78192825116457
K00042	group	GERD	0.726824209889293	0.339377991189482	128	125	0.0341473790799782	0.78192825116457
K00050	group	GERD	0.820559541721488	0.410222250173983	128	126	0.0476199257905253	0.78192825116457
K00057	group	GERD	-0.0201341089177875	0.0109390504850681	128	128	0.0680370794300994	0.78192825116457
K00060	group	GERD	0.574902260573368	0.284885330276118	128	128	0.0457135349056103	0.78192825116457
K00065	group	GERD	0.766321714404528	0.37820730686167	128	125	0.0448560694115774	0.78192825116457
K00075	group	GERD	-0.0211352742507281	0.0124616381710433	128	128	0.092350215275137	0.78192825116457
K00082	group	GERD	0.606271964368566	0.338644566745462	128	27	0.0758087544629756	0.78192825116457
K00091	group	GERD	1.11344667969021	0.463763084251326	128	116	0.0178165792795871	0.78192825116457
K00102	group	GERD	0.789367384723666	0.424965242098682	128	126	0.0655765030770508	0.78192825116457
K00103	group	GERD	0.612147707644248	0.337364200369242	128	27	0.0719796353209679	0.78192825116457
K00108	group	GERD	0.770646271706841	0.398001439751762	128	127	0.0550712986844583	0.78192825116457
K00114	group	GERD	0.851914162997238	0.507815288593508	128	98	0.095902902022897	0.78192825116457
K00123	group	GERD	0.206764380609292	0.104822180700195	128	128	0.0507394810165889	0.78192825116457
K00124	group	GERD	0.353292056296859	0.187261082889536	128	128	0.0615116444370484	0.78192825116457
K00127	group	GERD	0.378943581286899	0.202031192658416	128	128	0.0630149028158732	0.78192825116457
K00129	group	GERD	0.442193998248004	0.239122124570531	128	24	0.0667668465741033	0.78192825116457
K00134	group	GERD	-0.0300756889277839	0.0118673252746509	128	128	0.0124912875557665	0.78192825116457
K00135	group	GERD	0.283483985668011	0.136148144550075	128	128	0.0393500480736601	0.78192825116457
K00140	group	GERD	0.23702901519412	0.115023190546326	128	128	0.0413887902289666	0.78192825116457
K00219	group	GERD	0.9258039660783	0.504820402456742	128	109	0.0690244282745594	0.78192825116457
K00249	group	GERD	0.647297110973738	0.379481256138322	128	128	0.0905200471700868	0.78192825116457
K00254	group	GERD	0.173866791238173	0.0991589916288794	128	128	0.0819627240756439	0.78192825116457
K00255	group	GERD	0.716243999941387	0.404573215697926	128	26	0.0790840649508514	0.78192825116457
K00299	group	GERD	0.557853416213558	0.275495829855848	128	128	0.0449901286951118	0.78192825116457
K00303	group	GERD	0.744300514543408	0.411098581275453	128	127	0.0725986646751669	0.78192825116457
K00304	group	GERD	0.797407026807663	0.440662809071804	128	124	0.0727473622542363	0.78192825116457
K00305	group	GERD	0.797407026807663	0.440662809071804	128	124	0.0727473622542363	0.78192825116457
K00313	group	GERD	-0.835495510539298	0.414475493774086	128	122	0.0459488992279272	0.78192825116457
K00344	group	GERD	0.574666037105294	0.294785367165463	128	128	0.0534646317452281	0.78192825116457
K00355	group	GERD	0.264119440778261	0.157872794643019	128	128	0.0968105825067722	0.78192825116457
K00360	group	GERD	-0.888142986573725	0.461918064805189	128	55	0.0567709223577509	0.78192825116457
K00375	group	GERD	0.184676233822236	0.102891958191326	128	128	0.075074031169664	0.78192825116457
K00433	group	GERD	0.532915206966642	0.230180356213136	128	128	0.0222185756890561	0.78192825116457
