feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ANAGLYCOLYSIS-PWY	group	GERD	-0.0331874478894611	0.0166674096891334	128	128	0.0486267277929378	0.92306175659866
CALVIN-PWY	group	GERD	-0.0287917630146814	0.0189088542117754	128	128	0.130349523356235	0.92306175659866
CATECHOL-ORTHO-CLEAVAGE-PWY	group	GERD	0.598114154795092	0.509100512995537	128	84	0.242272238402512	0.92306175659866
COA-PWY	group	GERD	-0.0270993857235821	0.0193976812917359	128	128	0.1648563223709	0.92306175659866
DTDPRHAMSYN-PWY	group	GERD	-0.0436038937662914	0.0229289269365971	128	128	0.059493791740526	0.92306175659866
FAO-PWY	group	GERD	0.303285168778436	0.254939679230869	128	128	0.23642674156007	0.92306175659866
FERMENTATION-PWY	group	GERD	-0.0368402462473416	0.0255962451961693	128	128	0.15254998207456	0.92306175659866
FOLSYN-PWY	group	GERD	-0.0243375459290491	0.0133963883238765	128	128	0.0716361835559104	0.92306175659866
FUC-RHAMCAT-PWY	group	GERD	-0.550330199919545	0.279776830622324	128	123	0.0513768958247653	0.92306175659866
GALLATE-DEGRADATION-II-PWY	group	GERD	0.458989007582567	0.334144886449804	128	30	0.171997880051468	0.92306175659866
GLCMANNANAUT-PWY	group	GERD	-0.162052673240945	0.101113346932611	128	128	0.1115085772376	0.92306175659866
GLYCOGENSYNTH-PWY	group	GERD	-0.0572076506238355	0.0242206765703846	128	128	0.0197120036280755	0.92306175659866
GLYCOL-GLYOXDEG-PWY	group	GERD	-0.621925947719319	0.338373734071325	128	123	0.0684200331229847	0.92306175659866
GLYCOLYSIS	group	GERD	-0.0212740955164264	0.012896597938959	128	128	0.101517757449961	0.92306175659866
GOLPDLCAT-PWY	group	GERD	0.754477720251257	0.683962656668919	128	54	0.272087074259109	0.92306175659866
ILEUSYN-PWY	group	GERD	0.0411912697072343	0.0307094893655652	128	128	0.182229100086193	0.92306175659866
LACTOSECAT-PWY	group	GERD	-0.125249729056988	0.0995237113992298	128	128	0.210541020890231	0.92306175659866
LEU-DEG2-PWY	group	GERD	0.503063238420528	0.349745968156295	128	126	0.152809046475036	0.92306175659866
MET-SAM-PWY	group	GERD	-0.024589771190836	0.0220428268558115	128	128	0.266739892225963	0.92306175659866
NONOXIPENT-PWY	group	GERD	-0.0297057993675136	0.0206547501534661	128	128	0.152854586731024	0.92306175659866
OANTIGEN-PWY	group	GERD	-0.0243436747280099	0.0156117497688976	128	128	0.121429485654263	0.92306175659866
P101-PWY	group	GERD	0.94678693357217	0.416543742703585	128	59	0.0247220584368842	0.92306175659866
P281-PWY	group	GERD	0.675243890922555	0.458872032915461	128	104	0.143641084141652	0.92306175659866
P381-PWY	group	GERD	0.762474366390089	0.403253548591002	128	117	0.0609465329598246	0.92306175659866
P4-PWY	group	GERD	0.0283518090175244	0.0226107984734604	128	128	0.21219770021576	0.92306175659866
P562-PWY	group	GERD	0.21465493295004	0.127662381761788	128	128	0.0951571401373902	0.92306175659866
PEPTIDOGLYCANSYN-PWY	group	GERD	-0.0262365585407286	0.0185528423817623	128	128	0.15978316799863	0.92306175659866
POLYAMINSYN3-PWY	group	GERD	-0.139032162796665	0.117037844477484	128	128	0.237097448154365	0.92306175659866
POLYISOPRENSYN-PWY	group	GERD	-0.0421197822290195	0.0299183827923601	128	128	0.161645931823716	0.92306175659866
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	group	GERD	0.822710389460131	0.401717362434401	128	126	0.042639361636932	0.92306175659866
PRPP-PWY	group	GERD	0.0408712174540737	0.0232210090117294	128	128	0.0808180894031493	0.92306175659866
PWY-2942	group	GERD	-0.0146197887076827	0.0131275026261445	128	128	0.267538059260886	0.92306175659866
PWY-3781	group	GERD	0.21385575041086	0.177947767735139	128	128	0.231699028081821	0.92306175659866
PWY-5022	group	GERD	0.516855546458407	0.279309147932334	128	128	0.066586854680898	0.92306175659866
PWY-5101	group	GERD	0.0376635002693085	0.0309824802177947	128	128	0.226395359048116	0.92306175659866
PWY-5177	group	GERD	0.296512268587562	0.234742479032601	128	128	0.208871790619107	0.92306175659866
PWY-5180	group	GERD	0.471234885769006	0.42433999787904497	128	110	0.268892984362385	0.92306175659866
PWY-5181	group	GERD	0.659990285739804	0.497617183663548	128	73	0.187139008697145	0.92306175659866
PWY-5182	group	GERD	0.471234885769006	0.42433999787904497	128	110	0.268892984362385	0.92306175659866
PWY-5189	group	GERD	0.0713909595980363	0.0636617969379225	128	128	0.2642461423201	0.92306175659866
PWY-5345	group	GERD	0.229059658510765	0.197937316408986	128	128	0.249366164724805	0.92306175659866
PWY-5417	group	GERD	0.659136927201617	0.498852498014032	128	81	0.188793612399585	0.92306175659866
PWY-5419	group	GERD	0.751744477260522	0.484805189512254	128	111	0.123502990618732	0.92306175659866
PWY-5420	group	GERD	0.642903142771823	0.542102379898642	128	102	0.237875950082459	0.92306175659866
