feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
K01159	group	IBS-D	0.247561488427135	0.0371599530847696	35	35	1.39360026838237e-7	3.5164316771072e-4
K06168	group	IBS-D	0.221896146561346	0.0346353833724902	35	35	2.92974936647139e-7	3.5164316771072e-4
K06287	group	IBS-D	0.313911972532807	0.0489924418760742	35	35	2.92357119571411e-7	3.5164316771072e-4
K13038	group	IBS-D	0.200179536842142	0.0307361438219885	35	35	2.14978087187445e-7	3.5164316771072e-4
K07460	group	IBS-D	0.23975076398484	0.0385674013168256	35	35	5.11014032634718e-7	4.3682104473035e-4
K14652	group	IBS-D	0.288604719306152	0.0465952114222635	35	35	5.45912574126668e-7	4.3682104473035e-4
K07391	group	IBS-D	0.233850420325176	0.0387244813373856	35	35	8.60607742708626e-7	5.9025396753487e-4
K16868	group	IBS-D	-1.27342983970579	0.217324457160826	35	35	1.45863941080947e-6	8.7536597641203e-4
K03587	group	IBS-D	0.274336320707686	0.047790338782047	35	35	2.07281976771986e-6	0.00110573418942479
K03521	group	IBS-D	0.334534123715143	0.0590940350970645	35	35	2.61997261310718e-6	0.00116792507320275
K03522	group	IBS-D	0.334135492680668	0.0590983518985583	35	35	2.67593747244954e-6	0.00116792507320275
K04072	group	IBS-D	-1.10824185146967	0.201358016027477	35	35	4.16825396226943e-6	0.00153936825175812
K14260	group	IBS-D	-1.20589491536551	0.218497464809256	35	35	3.98525697367516e-6	0.00153936825175812
K01918	group	IBS-D	0.364819867233324	0.0674888693313209	35	35	5.57149553416374e-6	0.0016371316155898
K03469	group	IBS-D	0.186415775518892	0.034316712625312	35	35	5.15059784576944e-6	0.0016371316155898
K03527	group	IBS-D	0.196237258525462	0.0363927778737755	35	35	5.79696677047002e-6	0.0016371316155898
K09952	group	IBS-D	-1.29256345566583	0.238485054405844	35	35	5.3415819813532504e-06	0.0016371316155898
K00919	group	IBS-D	0.173920403995556	0.0331743194421308	35	35	9.01778327878039e-6	0.00227865144849603
K03526	group	IBS-D	0.194950851242188	0.0370859159008538	35	35	8.64964352229272e-6	0.00227865144849603
K00099	group	IBS-D	0.194070989058808	0.0375801656938555	35	35	1.13674748303319e-5	0.00269056715027025
K00355	group	IBS-D	-1.07321764246237	0.20996634119687901	35	35	1.32841118127562e-5	0.00269056715027025
K01579	group	IBS-D	0.386874882411694	0.0754630290545956	35	35	1.26977921578315e-5	0.00269056715027025
K02342	group	IBS-D	0.269306745347483	0.0527310965692977	35	35	1.34500336610052e-5	0.00269056715027025
K08234	group	IBS-D	-1.1511931165412	0.224638487842924	35	35	1.27741934703769e-5	0.00269056715027025
K01626	group	IBS-D	-0.675733710858025	0.133253103507298	35	35	1.49617125197699e-5	0.00287324727229662
K00240	group	IBS-D	0.355716361272426	0.070830493881843	35	35	1.72852068370853e-5	0.00319177992403257
K00226	group	IBS-D	-0.94075710838496	0.196636336344858	35	35	3.4786953174518e-5	0.00357141430447614
K00383	group	IBS-D	-1.14747799675682	0.238269457675715	35	35	3.17026501844008e-5	0.00357141430447614
K00564	group	IBS-D	-0.674794406358416	0.142444469616697	35	35	3.9927255436984e-5	0.00357141430447614
K00812	group	IBS-D	0.850709934437857	0.177274663375349	35	35	3.33305547088134e-5	0.00357141430447614
K00897	group	IBS-D	-1.29859776647897	0.266970528796605	35	35	2.75081606821788e-5	0.00357141430447614
K01191	group	IBS-D	-1.49687254862324	0.315768686644388	35	35	3.95588660924569e-5	0.00357141430447614
K01426	group	IBS-D	-1.16730852686166	0.23667231245781	35	35	2.25243167613326e-5	0.00357141430447614
K01885	group	IBS-D	0.239153624555539	0.0501945358470107	35	35	3.68576419817604e-5	0.00357141430447614
K02531	group	IBS-D	-1.24696825866158	0.260251890670776	35	35	3.40656728826255e-5	0.00357141430447614
K02795	group	IBS-D	-0.859738032952247	0.180460137067668	35	35	3.68999565868718e-5	0.00357141430447614
K02796	group	IBS-D	-0.869618853609498	0.183123567640297	35	35	3.85967603243814e-5	0.00357141430447614
K03151	group	IBS-D	-0.573897661540297	0.120985753279799	35	35	3.92004082061013e-5	0.00357141430447614
K03427	group	IBS-D	0.488790454225945	0.100588385190068	35	35	2.79059685284728e-5	0.00357141430447614
K03711	group	IBS-D	0.436023493066572	0.091990939197009	35	35	3.96233572716368e-5	0.00357141430447614
K03828	group	IBS-D	-1.77349062152333	0.374846762472721	35	35	4.06358643890881e-5	0.00357141430447614
K04750	group	IBS-D	-1.25947144294317	0.25642594452314	35	35	2.39269462332722e-5	0.00357141430447614
K04759	group	IBS-D	0.241388122635794	0.0510778852994744	35	35	4.12788300710263e-5	0.00357141430447614
K05810	group	IBS-D	0.295406119991897	0.0610543674772842	35	35	2.96733196891158e-5	0.00357141430447614
K08643	group	IBS-D	-1.46048058327985	0.307985030361328	35	35	3.93689469792387e-5	0.00357141430447614
K09962	group	IBS-D	-1.2452725453753	0.259745692536574	35	35	3.37860219839679e-5	0.00357141430447614
K12268	group	IBS-D	-1.46041036954935	0.307890425197968	35	35	3.92273936133423e-5	0.00357141430447614
K12269	group	IBS-D	-1.46041036954935	0.307890425197968	35	35	3.92273936133423e-5	0.00357141430447614
K12270	group	IBS-D	-1.46041036954935	0.307890425197968	35	35	3.92273936133423e-5	0.00357141430447614
K12292	group	IBS-D	-1.25085401515684	0.259360681950704	35	35	3.10620948311391e-5	0.00357141430447614
K12293	group	IBS-D	-1.25091302350676	0.259383831026721	35	35	3.10806084996898e-5	0.00357141430447614
K12294	group	IBS-D	-1.67636406832457	0.354954065796408	35	35	4.16578215060745e-5	0.00357141430447614
K12295	group	IBS-D	-1.24860952858988	0.260496977675555	35	35	3.38869608011223e-5	0.00357141430447614
K18986	group	IBS-D	-1.2986821138716	0.266966532819372	35	35	2.74767513050064e-5	0.00357141430447614
K18987	group	IBS-D	-1.28050682587719	0.264118914311247	35	35	2.88304289430076e-5	0.00357141430447614
K19137	group	IBS-D	-1.30158712975443	0.266132377292303	35	35	2.54427873463282e-5	0.00357141430447614
K18830	group	IBS-D	-1.77868398589763	0.377561733518495	35	35	4.31212024278482e-5	0.00363201566414209
K03367	group	IBS-D	-1.10670236988181	0.236154295552074	35	35	4.63441531835709e-5	0.00383617723162628
K01635	group	IBS-D	-0.921579799024229	0.19706222784235	35	35	4.76867608160812e-5	0.00388040913013569
K02794	group	IBS-D	-0.87864522998008	0.188142770434935	35	35	4.86014287159633e-5	0.003888924321089
K00241	group	IBS-D	0.329646743796958	0.0708031903347726	35	35	5.06742186455339e-5	0.0039088230359933
K02530	group	IBS-D	-0.95039286992581	0.203981934285995	35	35	5.01753331081404e-5	0.0039088230359933
K17759	group	IBS-D	0.378393485240143	0.0813457448788288	35	35	5.12926163856651e-5	0.0039088230359933
K02793	group	IBS-D	-1.14764943098316	0.249381772407643	35	35	5.93063460846717e-5	0.00436963681185675
K18891	group	IBS-D	-1.21661568639775	0.264620020704601	35	35	6.00699915814508e-5	0.00436963681185675
K18892	group	IBS-D	-1.21661568639775	0.264620020704601	35	35	6.00699915814508e-5	0.00436963681185675
K11069	group	IBS-D	-0.674813628141682	0.148406130166004	35	35	6.96061754062526e-5	0.00498774997202117
K01060	group	IBS-D	-0.94865993818385	0.209748784435641	35	35	7.4697424021427e-5	0.00519742511198364
K03296	group	IBS-D	0.698046542571169	0.154253999649254	35	35	7.41627424245684e-5	0.00519742511198364
K06940	group	IBS-D	-1.07031316812727	0.237454209325756	35	35	7.8119303110428e-5	0.00535786820333092
K00687	group	IBS-D	-1.16154409900517	0.2633445000083	35	35	1.0345764644853e-4	0.00557859596194107
K01215	group	IBS-D	-1.16093098131305	0.263404720286979	35	35	1.0446311647277e-4	0.00557859596194107
K01281	group	IBS-D	-1.15836388106597	0.263072214959275	35	35	1.0573885285078e-4	0.00557859596194107
K01467	group	IBS-D	-1.16489799515084	0.263101604842902	35	35	9.85318870126276e-5	0.00557859596194107
K01598	group	IBS-D	-1.16164844836518	0.263327318483551	35	35	1.0325265553492e-4	0.00557859596194107
K01922	group	IBS-D	-1.16164844836518	0.263327318483551	35	35	1.0325265553492e-4	0.00557859596194107
K02082	group	IBS-D	-1.07657727174722	0.240708489982784	35	35	8.6468249456039e-5	0.00557859596194107
K02355	group	IBS-D	0.264578631369028	0.059952335499206	35	35	1.027372944632e-4	0.00557859596194107
K03832	group	IBS-D	0.52081533634921	0.117904715205758	35	35	1.0152111706333e-4	0.00557859596194107
K03930	group	IBS-D	-1.16164844836518	0.263327318483551	35	35	1.0325265553492e-4	0.00557859596194107
K04767	group	IBS-D	-1.09088151668147	0.246050654311969	35	35	9.68298071190388e-5	0.00557859596194107
K05362	group	IBS-D	-1.15904164943207	0.263065205949127	35	35	1.0491644340459e-4	0.00557859596194107
K08986	group	IBS-D	-1.16149399391563	0.263393708026777	35	35	1.0376232407479e-4	0.00557859596194107
K11050	group	IBS-D	-1.1467508377677	0.260112466237368	35	35	1.0407943868385e-4	0.00557859596194107
K11051	group	IBS-D	-1.14937750128011	0.260412738202098	35	35	1.0258057182149e-4	0.00557859596194107
K12296	group	IBS-D	-1.16472982674411	0.262936386088649	35	35	9.7921277023155e-5	0.00557859596194107
K12556	group	IBS-D	-1.16164844836518	0.263327318483551	35	35	1.0325265553492e-4	0.00557859596194107
K14982	group	IBS-D	-1.16154409900517	0.2633445000083	35	35	1.0345764644853e-4	0.00557859596194107
K14983	group	IBS-D	-1.16178743256099	0.263363321935769	35	35	1.0327521334246e-4	0.00557859596194107
K18887	group	IBS-D	-1.16469892869942	0.264123619661011	35	35	1.0377801497099e-4	0.00557859596194107
K18888	group	IBS-D	-1.16469892869942	0.264123619661011	35	35	1.0377801497099e-4	0.00557859596194107
K00965	group	IBS-D	-0.594595054250767	0.135857913660383	35	35	1.1421599225746e-4	0.00596033672639251
K05593	group	IBS-D	-1.15288376927381	0.264973519940972	35	35	1.2301789832368e-4	0.00635063365432268
K02779	group	IBS-D	-0.933067520457347	0.215061708176444	35	35	1.2748474138302e-4	0.00644267624610407
K08659	group	IBS-D	-1.13155545793924	0.260726226981526	35	35	1.2696611042592e-4	0.00644267624610407
