feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
NONMEVIPP-PWY	group	IBS-D	0.227238874283962	0.0444170552584124	35	35	1.31032149241122e-5	0.00137583756703178
P161-PWY	group	IBS-D	-0.985842942667504	0.180031226807846	35	35	4.52617327829075e-6	0.00137583756703178
PWY-7560	group	IBS-D	0.227238874283962	0.0444170552584124	35	35	1.31032149241122e-5	0.00137583756703178
ASPASN-PWY	group	IBS-D	0.253458432048872	0.0530021394143489	35	35	3.50129163207869e-5	0.00275726716026197
RIBOSYN2-PWY	group	IBS-D	0.1692336448145	0.0370516904758003	35	35	6.5582353267129e-5	0.00413168825582913
P42-PWY	group	IBS-D	0.31855671469459	0.0754281175483541	35	35	1.7774626874405e-4	0.00933167910906262
PWY-5121	group	IBS-D	0.202802753632149	0.0487416690541466	35	35	2.1270029527699e-4	0.00957151328746467
FERMENTATION-PWY	group	IBS-D	-0.311859691541386	0.0786465378877217	35	35	3.7121124677716e-4	0.0120942664208923
P441-PWY	group	IBS-D	-0.283747204764044	0.0717725883695832	35	35	3.8394496574261e-4	0.0120942664208923
PWY0-1061	group	IBS-D	-0.641601690456725	0.161412927765704	35	35	3.6127485274709e-4	0.0120942664208923
GLUCONEO-PWY	group	IBS-D	0.140590615627128	0.0360688071303981	35	35	4.4921197185345e-4	0.0128637973758035
ALL-CHORISMATE-PWY	group	IBS-D	-1.99222216278026	0.549020904942493	35	32	9.5217019204227e-4	0.0156519571335807
LACTOSECAT-PWY	group	IBS-D	-0.754111760265234	0.20140188955715	35	35	6.908810859936e-4	0.0156519571335807
PWY-5505	group	IBS-D	0.860965662034209	0.237304384210733	35	35	9.5368255390378e-4	0.0156519571335807
PWY-5845	group	IBS-D	-2.01539924882767	0.557791231581763	35	32	9.9377505610036e-4	0.0156519571335807
PWY-5850	group	IBS-D	-2.01539924882767	0.557791231581763	35	32	9.9377505610036e-4	0.0156519571335807
PWY-5860	group	IBS-D	-2.01990615879117	0.558641271011192	35	32	9.8675929104643e-4	0.0156519571335807
PWY-5862	group	IBS-D	-2.01990615879117	0.558641271011192	35	32	9.8675929104643e-4	0.0156519571335807
PWY-5896	group	IBS-D	-2.01539924882767	0.557791231581763	35	32	9.9377505610036e-4	0.0156519571335807
PWY-7539	group	IBS-D	0.106928078007193	0.0295663874931537	35	35	9.8460213821836e-4	0.0156519571335807
PANTOSYN-PWY	group	IBS-D	0.209389772190134	0.0588795610565574	35	35	0.00116220054523301	0.0166405987158362
TYRFUMCAT-PWY	group	IBS-D	-1.90067164805969	0.532581555625673	35	31	0.00112285573564428	0.0166405987158362
NAGLIPASYN-PWY	group	IBS-D	0.242434494442083	0.070309146691528	35	35	0.00156091751053144	0.0204870423257251
PWY-922	group	IBS-D	-0.558484727097469	0.161555117352772	35	35	0.00152403485445687	0.0204870423257251
PWY-5100	group	IBS-D	0.266720568742392	0.078052779514031	35	35	0.001697398337345	0.0213872190505471
PWY-5913	group	IBS-D	-0.344452214936598	0.101970670762861	35	35	0.00188699754580144	0.0228617010356713
PWY-5910	group	IBS-D	-0.500725715106816	0.151080420570196	35	35	0.00223861532620498	0.0261171788057248
