feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
K00033	group	GERD	-0.312800610543125	0.074656420695958	60	60	9.63194774119193e-5	0.158813033301512
K00036	group	GERD	-0.32215881874569	0.07865506746643	60	60	1.3212070178567e-4	0.158813033301512
K00286	group	GERD	-0.197175634051452	0.0501425380413532	60	60	2.2711191756408e-4	0.158813033301512
K01834	group	GERD	-0.334111660404112	0.0820907030003254	60	60	1.4401317502755e-4	0.158813033301512
K02014	group	GERD	0.227696442639991	0.0583112674116439	60	60	2.4848051389077e-4	0.158813033301512
K03711	group	GERD	0.201393166523953	0.0499810243595908	60	60	1.648576304606e-4	0.158813033301512
K03789	group	GERD	-0.216142853460263	0.0520491734943697	60	60	1.0919178716168e-4	0.158813033301512
K05515	group	GERD	0.168627357670582	0.0415828385771357	60	60	1.5129918551367e-4	0.158813033301512
K06183	group	GERD	-0.236914833642182	0.0599511210154906	60	60	2.1302464896091e-4	0.158813033301512
K06188	group	GERD	0.683808075409086	0.176757502551909	60	60	2.7964448437067e-4	0.158813033301512
K07040	group	GERD	-0.260765264864121	0.0677019024187992	60	60	2.9549109714422e-4	0.158813033301512
K01897	group	GERD	0.158735099931119	0.0416498472936274	60	60	3.3689857549248e-4	0.165978698192629
K00627	group	GERD	-0.336382925597101	0.089111480528287	60	60	3.7874329184842e-4	0.1676660546842
K05516	group	GERD	0.529759724773954	0.140887389775997	60	60	3.9704410784485e-4	0.1676660546842
K10563	group	GERD	-0.291342478197551	0.0783475029126927	60	60	4.5353648463543e-4	0.170290060296276
K15987	group	GERD	0.442967750637362	0.119283624321826	60	60	4.608661983661e-4	0.170290060296276
K04487	group	GERD	-0.184963438818082	0.0507615945362957	60	60	5.7514023590159e-4	0.179308504887892
K04488	group	GERD	-0.193173427115022	0.0527678307087028	60	60	5.4495517543906e-4	0.179308504887892
K04564	group	GERD	-0.191572874618516	0.052584401936577	60	60	5.7626210975472e-4	0.179308504887892
K08483	group	GERD	-0.209682831094193	0.0582995329933926	60	60	6.6708539318811e-4	0.197190442226407
K00788	group	GERD	0.205866836155089	0.0580073629940722	60	60	7.7426956084069e-4	0.217975316366198
K03581	group	GERD	-0.248340276755819	0.0705620610543269	60	60	8.4866263727715e-4	0.228058795981024
K00941	group	GERD	0.194703535494856	0.0556356847238769	60	60	9.024405099047e-4	0.231966447589417
K01902	group	GERD	0.329093848773445	0.0952909977396864	60	60	0.00103999453826885	0.240205423400188
K01903	group	GERD	0.329204507683245	0.0952927134698181	60	60	0.00103649123836673	0.240205423400188
K02557	group	GERD	0.410533891622925	0.119048072603669	60	60	0.00105638379709149	0.240205423400188
K00041	group	GERD	0.569519886572072	0.182481867474509	60	60	0.00280884600668305	0.241983950271311
