feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
K13051	group	IBS-D	-4.09409190245676	0.271960773402635	62	13	4.8468664066619005e-22	2.28578219738175e-18
K06989	group	IBS-D	-4.13482043631985	0.305797920524346	62	16	7.177155236322689e-20	1.69237320472489e-16
K05882	group	IBS-D	-4.51813795007156	0.368471350233069	62	11	5.46145849322075e-18	3.67946260771844e-15
K06605	group	IBS-D	-4.51813795007156	0.368471350233069	62	11	5.46145849322075e-18	3.67946260771844e-15
K07064	group	IBS-D	-4.51813795007156	0.368471350233069	62	11	5.46145849322075e-18	3.67946260771844e-15
K18351	group	IBS-D	-4.51813795007156	0.368471350233069	62	11	5.46145849322075e-18	3.67946260771844e-15
K18352	group	IBS-D	-4.51813795007156	0.368471350233069	62	11	5.46145849322075e-18	3.67946260771844e-15
K01458	group	IBS-D	-2.8344126541842	0.266066815326828	62	8	1.84561836298871e-15	1.08799202498184e-12
K01730	group	IBS-D	-2.39669146573275	0.237989635047379	62	11	1.63692915171292e-14	8.57750875497571e-12
K03275	group	IBS-D	-3.00366137886663	0.304736907680747	62	8	3.68299216094496e-14	1.7368991031016397e-11
K09702	group	IBS-D	-3.30926965667117	0.34084088063866	62	12	6.45626565415633e-14	2.7679771659092e-11
K00146	group	IBS-D	-3.02941918792191	0.33055713818188	62	9	5.22199821352639e-13	1.89438027499927e-10
K07675	group	IBS-D	-2.82766057027665	0.308212299943069	62	9	5.027942559515319e-13	1.89438027499927e-10
K09709	group	IBS-D	-2.92478098713263	0.321580487148844	62	8	6.8327552800694e-13	2.30166242148623e-10
K01457	group	IBS-D	-1.97161943605033	0.219460343900169	62	8	1.05041406101549e-12	3.16862649418395e-10
K05874	group	IBS-D	-3.49260804250101	0.389019811502132	62	9	1.07502171134316e-12	3.16862649418395e-10
K13598	group	IBS-D	-3.06853236357874	0.349840282301821	62	8	2.3992992343511e-12	6.11766979106934e-10
K13889	group	IBS-D	-2.56536277078797	0.293146007881545	62	9	2.5944316331930996e-12	6.11766979106934e-10
K13890	group	IBS-D	-2.56536277078797	0.293146007881545	62	9	2.5944316331930996e-12	6.11766979106934e-10
K13891	group	IBS-D	-2.56536277078797	0.293146007881545	62	9	2.5944316331930996e-12	6.11766979106934e-10
K13892	group	IBS-D	-2.57985115984369	0.295311791904834	62	9	2.75168494197655e-12	6.17949818398163e-10
K07711	group	IBS-D	-3.11157266103805	0.359290074245496	62	10	3.69520093903629e-12	7.57676853412832e-10
K07715	group	IBS-D	-3.11157266103805	0.359290074245496	62	10	3.69520093903629e-12	7.57676853412832e-10
K05875	group	IBS-D	-3.20142996558777	0.372570441063598	62	10	4.8082000740813195e-12	9.44811314556979e-10
K03516	group	IBS-D	-2.65872905642139	0.309833446750051	62	9	5.03204851791027e-12	9.49245632418593e-10
K13641	group	IBS-D	-3.12208079030445	0.373124242792026	62	11	1.16020496146972e-11	2.1044333070350704e-9
K15509	group	IBS-D	-2.96737625980221	0.356259623265585	62	12	1.3470732254145499e-11	2.3164509752917703e-9
K16055	group	IBS-D	-2.74875267656684	0.330222149397553	62	9	1.3753313678577099e-11	2.3164509752917703e-9
K18333	group	IBS-D	-3.2852110786391	0.397125168391863	62	11	1.68249737837242e-11	2.73608884013942e-9
K12973	group	IBS-D	-2.52661526469989	0.307433552907188	62	9	2.0796279622096498e-11	3.26917515659357e-9
K17837	group	IBS-D	-2.04215866138401	0.248865913591882	62	7	2.1845217803842897e-11	3.32329184396526e-9
K00007	group	IBS-D	-1.43784691118203	0.182711929534147	62	7	8.184278135124459e-11	4.37497052914472e-9
K00141	group	IBS-D	-1.66098703494193	0.207419777416492	62	8	4.75142824044571e-11	4.37497052914472e-9
K01003	group	IBS-D	3.6658785749659	0.468030290555639	62	51	9.46240445234857e-11	4.37497052914472e-9
K01545	group	IBS-D	3.6658785749659	0.468030290555639	62	51	9.46240445234857e-11	4.37497052914472e-9
K01795	group	IBS-D	3.6658785749659	0.468030290555639	62	51	9.46240445234857e-11	4.37497052914472e-9
K04058	group	IBS-D	3.6658785749659	0.468030290555639	62	51	9.46240445234857e-11	4.37497052914472e-9
K05599	group	IBS-D	3.6658785749659	0.468030290555639	62	51	9.46240445234857e-11	4.37497052914472e-9
K05600	group	IBS-D	3.6658785749659	0.468030290555639	62	51	9.46240445234857e-11	4.37497052914472e-9
K06135	group	IBS-D	3.6658785749659	0.468030290555639	62	51	9.46240445234857e-11	4.37497052914472e-9
K06598	group	IBS-D	3.6658785749659	0.468030290555639	62	51	9.46240445234857e-11	4.37497052914472e-9
K06600	group	IBS-D	3.6658785749659	0.468030290555639	62	51	9.46240445234857e-11	4.37497052914472e-9
K06876	group	IBS-D	-2.30078358795601	0.292335204954358	62	7	8.155812688173769e-11	4.37497052914472e-9
K07051	group	IBS-D	3.6658785749659	0.468030290555639	62	51	9.46240445234857e-11	4.37497052914472e-9
K08985	group	IBS-D	3.6658785749659	0.468030290555639	62	51	9.46240445234857e-11	4.37497052914472e-9
K09938	group	IBS-D	3.6658785749659	0.468030290555639	62	51	9.46240445234857e-11	4.37497052914472e-9
K09992	group	IBS-D	-3.24172926860548	0.406402336657269	62	7	5.3709971385675795e-11	4.37497052914472e-9
K10253	group	IBS-D	3.6658785749659	0.468030290555639	62	51	9.46240445234857e-11	4.37497052914472e-9
K10941	group	IBS-D	3.6658785749659	0.468030290555639	62	51	9.46240445234857e-11	4.37497052914472e-9
K11311	group	IBS-D	3.6658785749659	0.468030290555639	62	51	9.46240445234857e-11	4.37497052914472e-9
K11383	group	IBS-D	3.6658785749659	0.468030290555639	62	51	9.46240445234857e-11	4.37497052914472e-9
K11384	group	IBS-D	3.6658785749659	0.468030290555639	62	51	9.46240445234857e-11	4.37497052914472e-9
K11731	group	IBS-D	3.6658785749659	0.468030290555639	62	51	9.46240445234857e-11	4.37497052914472e-9
K11912	group	IBS-D	3.6658785749659	0.468030290555639	62	51	9.46240445234857e-11	4.37497052914472e-9
K11914	group	IBS-D	3.6658785749659	0.468030290555639	62	51	9.46240445234857e-11	4.37497052914472e-9
K11916	group	IBS-D	3.6658785749659	0.468030290555639	62	51	9.46240445234857e-11	4.37497052914472e-9
K11937	group	IBS-D	3.6658785749659	0.468030290555639	62	51	9.46240445234857e-11	4.37497052914472e-9
K12253	group	IBS-D	3.6658785749659	0.468030290555639	62	51	9.46240445234857e-11	4.37497052914472e-9
K12536	group	IBS-D	3.6658785749659	0.468030290555639	62	51	9.46240445234857e-11	4.37497052914472e-9
K12537	group	IBS-D	3.6658785749659	0.468030290555639	62	51	9.46240445234857e-11	4.37497052914472e-9
K12538	group	IBS-D	3.6658785749659	0.468030290555639	62	51	9.46240445234857e-11	4.37497052914472e-9
K12988	group	IBS-D	3.6658785749659	0.468030290555639	62	51	9.46240445234857e-11	4.37497052914472e-9
K13007	group	IBS-D	3.6658785749659	0.468030290555639	62	51	9.46240445234857e-11	4.37497052914472e-9
K13701	group	IBS-D	3.6658785749659	0.468030290555639	62	51	9.46240445234857e-11	4.37497052914472e-9
K13774	group	IBS-D	3.6658785749659	0.468030290555639	62	51	9.46240445234857e-11	4.37497052914472e-9
K13777	group	IBS-D	3.6658785749659	0.468030290555639	62	51	9.46240445234857e-11	4.37497052914472e-9
K13778	group	IBS-D	3.6658785749659	0.468030290555639	62	51	9.46240445234857e-11	4.37497052914472e-9
K13779	group	IBS-D	3.6658785749659	0.468030290555639	62	51	9.46240445234857e-11	4.37497052914472e-9
K13875	group	IBS-D	-1.51555815188437	0.193034247759568	62	7	8.7925653681715e-11	4.37497052914472e-9
K14268	group	IBS-D	3.6658785749659	0.468030290555639	62	51	9.46240445234857e-11	4.37497052914472e-9
K14475	group	IBS-D	3.6658785749659	0.468030290555639	62	51	9.46240445234857e-11	4.37497052914472e-9
K15658	group	IBS-D	3.6658785749659	0.468030290555639	62	51	9.46240445234857e-11	4.37497052914472e-9
K15659	group	IBS-D	3.6658785749659	0.468030290555639	62	51	9.46240445234857e-11	4.37497052914472e-9
K15660	group	IBS-D	3.6658785749659	0.468030290555639	62	51	9.46240445234857e-11	4.37497052914472e-9
K16081	group	IBS-D	3.6658785749659	0.468030290555639	62	51	9.46240445234857e-11	4.37497052914472e-9
K16422	group	IBS-D	-1.57488333486868	0.199751800881541	62	7	7.72393463583692e-11	4.37497052914472e-9
K16638	group	IBS-D	3.6658785749659	0.468030290555639	62	51	9.46240445234857e-11	4.37497052914472e-9
K17060	group	IBS-D	3.6658785749659	0.468030290555639	62	51	9.46240445234857e-11	4.37497052914472e-9
K17061	group	IBS-D	3.6658785749659	0.468030290555639	62	51	9.46240445234857e-11	4.37497052914472e-9
K17205	group	IBS-D	3.6658785749659	0.468030290555639	62	51	9.46240445234857e-11	4.37497052914472e-9
K17207	group	IBS-D	3.6658785749659	0.468030290555639	62	51	9.46240445234857e-11	4.37497052914472e-9
K17229	group	IBS-D	3.6658785749659	0.468030290555639	62	51	9.46240445234857e-11	4.37497052914472e-9
K17623	group	IBS-D	3.6658785749659	0.468030290555639	62	51	9.46240445234857e-11	4.37497052914472e-9
K17680	group	IBS-D	-2.59052771938883	0.325749483211426	62	15	5.9052296858291e-11	4.37497052914472e-9
K18072	group	IBS-D	3.6658785749659	0.468030290555639	62	51	9.46240445234857e-11	4.37497052914472e-9
K18073	group	IBS-D	3.6658785749659	0.468030290555639	62	51	9.46240445234857e-11	4.37497052914472e-9
K18093	group	IBS-D	3.6658785749659	0.468030290555639	62	51	9.46240445234864e-11	4.37497052914472e-9
K18291	group	IBS-D	3.6658785749659	0.468030290555639	62	51	9.46240445234857e-11	4.37497052914472e-9
K18297	group	IBS-D	4.01431999267026	0.506817066803537	62	53	6.693008914303549e-11	4.37497052914472e-9
K18457	group	IBS-D	3.6658785749659	0.468030290555639	62	51	9.46240445234857e-11	4.37497052914472e-9
K18540	group	IBS-D	3.6658785749659	0.468030290555639	62	51	9.46240445234857e-11	4.37497052914472e-9
K19113	group	IBS-D	3.6658785749659	0.468030290555639	62	51	9.46240445234857e-11	4.37497052914472e-9
K19290	group	IBS-D	3.6658785749659	0.468030290555639	62	51	9.46240445234857e-11	4.37497052914472e-9
K19291	group	IBS-D	3.6658785749659	0.468030290555639	62	51	9.46240445234857e-11	4.37497052914472e-9
K19292	group	IBS-D	3.6658785749659	0.468030290555639	62	51	9.46240445234857e-11	4.37497052914472e-9
K19293	group	IBS-D	3.6658785749659	0.468030290555639	62	51	9.46240445234857e-11	4.37497052914472e-9
K19295	group	IBS-D	3.6658785749659	0.468030290555639	62	51	9.46240445234857e-11	4.37497052914472e-9
K19296	group	IBS-D	3.6658785749659	0.468030290555639	62	51	9.46240445234857e-11	4.37497052914472e-9
K19591	group	IBS-D	3.6658785749659	0.468030290555639	62	51	9.46240445234857e-11	4.37497052914472e-9
K19609	group	IBS-D	3.6658785749659	0.468030290555639	62	51	9.46240445234857e-11	4.37497052914472e-9
K19610	group	IBS-D	3.6658785749659	0.468030290555639	62	51	9.46240445234857e-11	4.37497052914472e-9
K19736	group	IBS-D	3.6658785749659	0.468030290555639	62	51	9.46240445234857e-11	4.37497052914472e-9
K02442	group	IBS-D	3.67144600991196	0.46942256946453	62	51	9.895092518137619e-11	4.53060740927544e-9
K09978	group	IBS-D	-2.96543059255097	0.379364649053074	62	10	1.00662842670371e-10	4.55429317579038e-9
K11935	group	IBS-D	3.66780157092699	0.469329634114668	62	51	1.01399657221796e-10	4.55429317579038e-9
