feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
PWY-3661	group	IBS-D	-2.15120408514216	0.311074611040009	62	7	3.4868124547294505e-9	1.09137229833032e-6
PWY-6143	group	IBS-D	-2.66661173660975	0.457556342828339	62	57	2.3766730507118e-7	3.71949332436397e-5
PWY-7031	group	IBS-D	-2.78520972444945	0.510733496942056	62	57	9.83584330428468e-7	1.0262063180803e-4
PWY-5531	group	IBS-D	-2.96588304775086	0.568750870193779	62	14	2.3976226562855e-6	1.2507598190289e-4
PWY-7159	group	IBS-D	-2.96588304775086	0.568750870193779	62	14	2.3976226562855e-6	1.2507598190289e-4
PWY-722	group	IBS-D	2.46168157495768	0.466569659297273	62	53	1.90858702147828e-6	1.2507598190289e-4
PWY-4984	group	IBS-D	-3.44548114513894	0.69253572546544	62	56	5.79033011547468e-6	2.5891047516336e-4
GALLATE-DEGRADATION-I-PWY	group	IBS-D	-2.18846816704405	0.463202083018902	62	18	1.4331083589717e-5	4.9841425910837e-4
METHYLGALLATE-DEGRADATION-PWY	group	IBS-D	-2.18833428561798	0.463174351215363	62	18	1.43314004216466e-5	4.9841425910837e-4
P184-PWY	group	IBS-D	-2.12085293707083	0.459157595168316	62	18	2.08891109649191e-5	5.9439015745633e-4
PWY-5415	group	IBS-D	-1.71132296117583	0.370127272138248	62	10	2.05507656330131e-5	5.9439015745633e-4
P281-PWY	group	IBS-D	-2.23475526413653	0.507485674385871	62	18	4.45571029730722e-5	0.00110623171807689
PWY-7373	group	IBS-D	-2.44457656971391	0.556247632208548	62	57	4.59457263099029e-5	0.00110623171807689
CENTFERM-PWY	group	IBS-D	-2.2461408615269	0.519853230735249	62	62	5.93847895722048e-5	0.00123916260907334
PWY-6590	group	IBS-D	-2.23549120745129	0.516901353014166	62	62	5.85557123714799e-5	0.00123916260907334
DHGLUCONATE-PYR-CAT-PWY	group	IBS-D	2.07223281560522	0.482289220045768	62	53	6.45218674375386e-5	0.00125702479058374
PWY-1269	group	IBS-D	0.161477269625958	0.0378734787482386	62	62	7.22889655926753e-5	0.00125702479058374
