feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
K00001	group	GERD	0.491616086671672	0.456323985773546	26	26	0.292038632623878	0.907787788614775
K00002	group	GERD	0.632327349094361	0.787683805953832	26	19	0.429987366044808	0.907787788614775
K00003	group	GERD	0.0798161785968852	0.0727551209297789	26	26	0.283504253141969	0.907787788614775
K00004	group	GERD	0.160386778915207	0.253094054586241	26	26	0.532267365748036	0.907787788614775
K00005	group	GERD	0.338752826589454	0.284572714216811	26	26	0.245534548913631	0.907787788614775
K00008	group	GERD	0.810543849390705	0.320019896477128	26	26	0.018267121485402	0.907787788614775
K00009	group	GERD	-0.211112266159098	0.322975073841868	26	26	0.51955225487516	0.907787788614775
K00010	group	GERD	0.386623776965852	0.292414309284666	26	26	0.198572285283178	0.907787788614775
K00012	group	GERD	-0.0702237660627462	0.096005364912703	26	26	0.471582389166874	0.907787788614775
K00013	group	GERD	0.248780506702231	0.15182879201912	26	26	0.114350210370755	0.907787788614775
K00014	group	GERD	-0.0310344192404105	0.0287948043906725	26	26	0.291846841619605	0.907787788614775
K00015	group	GERD	0.565900776316124	0.404343803065448	26	26	0.174440389314998	0.907787788614775
K00016	group	GERD	0.136937633500701	0.151176293142292	26	26	0.374038662050645	0.907787788614775
K00018	group	GERD	0.16087130035092	0.169361912522855	26	26	0.351647756216411	0.907787788614775
K00019	group	GERD	-0.388688473986568	0.717705663217375	26	23	0.593106720850898	0.907787788614775
K00021	group	GERD	-1.04895510716807	0.76586405834801	26	23	0.183480330609669	0.907787788614775
K00024	group	GERD	-0.0363333889272997	0.0668724616967073	26	26	0.5919182453765	0.907787788614775
K00025	group	GERD	-0.585215759567753	0.869481101295138	26	26	0.507336926865433	0.907787788614775
K00027	group	GERD	0.0831112132212711	0.0880523454330972	26	26	0.354634686223296	0.907787788614775
K00030	group	GERD	0.435241552675923	0.392824392843644	26	26	0.27885130137704	0.907787788614775
K00033	group	GERD	-0.101522732463129	0.169797794516596	26	26	0.555504756554507	0.907787788614775
