disease	feature	k	estimate	se	p	I2	padj
GERD	g__Arachnia	3	-0.5843664042215818	0.17510168579408747	8.45973673021243e-4	0	0.11082255116578284
IBS-D	g__Catonella	2	-1.0403243742078072	0.3382500882724449	0.0021007446426490797	0	0.12254373853017461
IBS-D	g__Oribacterium	2	-0.7051441585791205	0.25626204323168067	0.005929535735331029	0	0.12254373853017461
IBS-D	g__Rothia	2	-1.511673043478396	0.527311929265034	0.004147065667163316	58.78693940226528	0.12254373853017461
IBS-D	g__Hallella	2	0.9973033894766017	0.39495832170787576	0.011567026188581528	0	0.1792889059230137
IBS-D	g__Anaerovoracaceae..G5.	2	-1.0258570381012595	0.5141814387482868	0.04602907972372466	0	0.5547091956520397
IBS-D	g__Lachnospiraceae..G8.	2	-0.7915946338798033	0.44742708922437885	0.076858033143151	21.307868019142838	0.5547091956520397
IBS-D	g__Lautropia	2	-1.9128838374126615	1.0500270721121552	0.06849335851618438	80.88169088434046	0.5547091956520397
IBS-D	g__Peptococcus	2	-0.7147335799255042	0.4089652019222511	0.08052230259465092	0	0.5547091956520397
IBS-D	g__Riemerella	2	-1.6463717681298153	0.8691832147934093	0.058203822999427925	74.11461985397459	0.5547091956520397
IBS-D	Unclassified_NA.1	2	-0.698668452988277	0.42759362408204626	0.10226844076352462	0	0.5764221206671388
IBS-D	g__Treponema	2	-0.8065247254640702	0.49331586941771605	0.10206890297541055	0	0.5764221206671388
IBS-D	g__Abiotrophia	2	-0.7333500466205314	0.46093801651274957	0.11161071711668703	33.72280552281711	0.5766553717695497
IBS-D	g__Anaerovoracaceae..G1.	2	0.525656863367986	0.3846368387129544	0.17174080308476303	29.84326140532324	0.5915516550697394
IBS-D	g__Corynebacterium	2	-0.7339355310976261	0.5180329065781603	0.15654902609708754	0	0.5915516550697394
IBS-D	g__Eikenella	2	0.5819169188339693	0.41018925707595527	0.15599970912458477	0	0.5915516550697394
IBS-D	g__Filifactor	2	-0.6959485936502695	0.5073949809171701	0.1701845329586818	0	0.5915516550697394
IBS-D	g__Moryella	2	-0.7265889678305987	0.4968445579034348	0.14362970770478115	12.227799976041451	0.5915516550697394
IBS-D	g__Streptococcus	2	-0.5687131004153622	0.4158673790995948	0.1714577466989288	82.60329466687412	0.5915516550697394
IBS-D	g__Granulicatella	2	-0.6319036034875063	0.574336803500646	0.2712311473230657	82.82530854063093	0.7643786879104579
IBS-D	g__Lachnoanaerobaculum	2	-0.3484738498791279	0.29975331954743606	0.24501804762843976	0	0.7643786879104579
IBS-D	g__Lachnospiraceae..G2.	2	-0.7448043752108324	0.6433841186068736	0.2470127653807083	0	0.7643786879104579
IBS-D	g__Lancefieldella	2	0.7531829223083252	0.6703030057428805	0.2611634668244856	54.3723139603825	0.7643786879104579
IBS-D	g__Gemella	2	-0.6749816629264102	0.7088339026036249	0.3409740863763228	82.02617715501513	0.7829775316789634
IBS-D	g__Kingella	2	-0.6282905916635259	0.6509488034121623	0.3344486422617692	62.54304284205993	0.7829775316789634
IBS-D	g__Odoribacteraceae..G5.	2	-0.7737890248026359	0.7460343965383063	0.29964131607248634	76.15801453587906	0.7829775316789634
IBS-D	g__Peptostreptococcus	2	0.8793032860701938	0.898540573197091	0.3277823456241156	79.95450857929526	0.7829775316789634
IBS-D	g__Prevotella	2	0.5977694148828164	0.6146201003955455	0.33076030889624547	81.49506193883106	0.7829775316789634
GERD	Unclassified_f__Neisseriaceae	3	-0.3839942364438186	0.1826690138299052	0.0355417829544573	0	0.7994402711558437
GERD	Unclassified_f__Prevotellaceae	3	-0.32356914996306063	0.29159953466787447	0.2671561945086335	0	0.7994402711558437
GERD	g__Abiotrophia	4	-0.3240621871286039	0.25267035844112185	0.1996500282454425	0	0.7994402711558437
GERD	g__Achromobacter	2	0.39594087391209354	0.2125549373636852	0.062494689980325736	0	0.7994402711558437
GERD	g__Agathobacter	2	0.5944273896789224	0.3869199221732199	0.12446335388586771	0	0.7994402711558437
GERD	g__Anaerovoracaceae..G1.	4	-0.2920854835775119	0.22463300142628292	0.1935055014548141	0	0.7994402711558437
GERD	g__Bulleidia	3	-0.2993129315410693	0.17454214100277085	0.08637342407513918	0	0.7994402711558437
GERD	g__Dialister	4	0.3441555006696416	0.2745274096932862	0.20997691377797295	0	0.7994402711558437
GERD	g__Eggerthia	3	-0.15487615837265023	0.11380651457477345	0.17355397884283713	0	0.7994402711558437
GERD	g__Enterobacter	2	-0.6213717041219953	0.5009967685159126	0.21487521849957344	0	0.7994402711558437
GERD	g__Enterococcus	2	0.7170853646898216	0.5918516151314452	0.22566686252772644	0	0.7994402711558437
GERD	g__Filifactor	4	-0.30001063618472784	0.2559766067748835	0.2411875624048661	0	0.7994402711558437
GERD	g__Fretibacterium	4	-0.43270630865784265	0.2652016802397442	0.10276119720704205	0	0.7994402711558437
GERD	g__Gemella	4	-0.4529701583047202	0.18513585529935772	0.0144174541352967	0	0.7994402711558437
GERD	g__Haemophilus	4	-0.34267010764816513	0.3096909725166035	0.2685142895485277	37.40231569766216	0.7994402711558437
GERD	g__Hallella	3	0.43058033560353737	0.30806905963723635	0.16221077006284898	0	0.7994402711558437
GERD	g__Hoylesella	4	-0.2991326489505985	0.2117041535695529	0.15766311307403175	0	0.7994402711558437
GERD	g__Lachnospiraceae..G8.	3	-0.2650161619334334	0.19940208978174823	0.18383012699659296	0	0.7994402711558437
GERD	g__Lancefieldella	4	0.41341860997333	0.3638873815878955	0.25590763602895117	66.392110820844	0.7994402711558437
GERD	g__Leptotrichia	4	0.5807868827461049	0.43245701276768594	0.1792741343137092	55.790427463973245	0.7994402711558437
GERD	g__Megasphaera	4	0.36962273815321517	0.2842022468311118	0.19340830601236364	0	0.7994402711558437
GERD	g__Moraxella	2	0.8760588096000081	0.49058041121800283	0.07413814748809548	0	0.7994402711558437
GERD	g__Nanogingivalis	4	-0.42949756400697053	0.2429778898141202	0.07712101912598952	0.973490855687586	0.7994402711558437
GERD	g__Neisseria	4	-0.487426410943204	0.3784260981142518	0.19773345646732793	12.992152375777119	0.7994402711558437
GERD	g__Odoribacteraceae..G5.	4	-0.3983165863168725	0.21113364938519444	0.05921934703595372	0	0.7994402711558437
GERD	g__Oribacterium	4	0.2826475924790003	0.24891656552441266	0.25616111709221107	25.46050148156	0.7994402711558437
GERD	g__Peptidiphaga	4	-0.28008984358611294	0.23509134919039704	0.23349323783630493	0	0.7994402711558437
GERD	g__Peptoanaerobacter	4	-0.3640821437081032	0.24964767747939742	0.1447347666995655	14.697442708550808	0.7994402711558437
GERD	g__Peptostreptococcus	4	-0.5156156766985548	0.2603100363515397	0.04761648382712701	0	0.7994402711558437
GERD	g__Phocaeicola	4	-0.17881623415212378	0.15975755952760856	0.26301324957532807	0	0.7994402711558437
GERD	g__Porphyromonas	4	-0.4277491759227997	0.30356765874619335	0.15881340410780345	24.497347765077805	0.7994402711558437
GERD	g__Prevotella	4	0.29342325147191994	0.17170714679053425	0.08747712648336885	0	0.7994402711558437
GERD	g__Pseudomonas	3	0.22130935049549458	0.1461549074100693	0.12997236391539155	0	0.7994402711558437
GERD	g__Riemerella	4	-0.47237428111917246	0.32984798523797154	0.15211608808092378	48.57725844698827	0.7994402711558437
GERD	g__Ruminococcaceae..G1.	4	-0.3538088332722914	0.28204708468177814	0.20968509865691298	0	0.7994402711558437
GERD	g__Scardovia	3	-0.44266062357455654	0.3508759630160053	0.20709736457232397	46.16856226390378	0.7994402711558437
GERD	g__Segatella	4	0.4267199867688804	0.32133852748930064	0.1841961785976309	52.34629242595277	0.7994402711558437
GERD	g__Selenomonas	4	0.40607848718392886	0.24691467631740469	0.10005014516980593	0	0.7994402711558437
GERD	g__Serratia	2	-0.3897203656841957	0.3116465625023334	0.21110952944509692	0	0.7994402711558437
GERD	g__Shuttleworthia	3	-0.20576531679327698	0.18167882918120803	0.2573918081829441	0	0.7994402711558437
GERD	g__Stomatobaculum	4	1.0669635855779405	0.65038963211882	0.10090144201447102	74.90979578551264	0.7994402711558437
GERD	g__Veillonella	4	0.3744465401578745	0.24480493539329642	0.12612294181020134	41.02789889150222	0.7994402711558437
GERD	g__Weeksellaceae..G1.	4	-0.33327730732952565	0.20880975569071708	0.11047068481527304	6.470663288296305	0.7994402711558437
IBS-D	g__Fretibacterium	2	-0.8158121317052934	0.9121057943180159	0.37109342335289636	94.26561661641732	0.8054558592078628
IBS-D	g__Gallibacter	2	-0.34089481038397235	0.41663331382865576	0.41323555033597476	56.220993940372956	0.8054558592078628
IBS-D	g__Haemophilus	2	-0.6089377524734988	0.7168444985350431	0.395619928092598	76.58015566155869	0.8054558592078628
IBS-D	g__Peptoanaerobacter	2	-0.44331605835554033	0.5447009922119055	0.41571915313954205	0	0.8054558592078628
IBS-D	g__Veillonella	2	0.45916887241624393	0.5413242192105813	0.39630842201323707	77.66016337293324	0.8054558592078628
GERD	g__Butyrivibrio	4	0.40409132907911355	0.3781792294524288	0.28528689720114137	48.85739224536944	0.812447468116294
GERD	g__Lactobacillus	4	0.16421733310599923	0.15281158957350732	0.28253626874505555	0	0.812447468116294
IBS-D	g__Paludibacteraceae..G1.	2	-0.585568416989951	0.75193175282049185	0.4361257704910443	69.9626045563572	0.8193878112255985
GERD	g__Granulicatella	4	-0.17242566840569318	0.166827322741389	0.3013429706106574	6.45684564378211	0.8399133861701302
GERD	g__Agrobacterium	2	0.15271361816934875	0.15086407283693176	0.3114139075498814	0	0.8499004560215513
IBS-D	g__Alloprevotella	2	0.46806743716728133	0.6833054042469404	0.4933409332345903	71.33042864915049	0.868165366241036
IBS-D	g__Megasphaera	2	0.8264270906568767	1.2164415313916475	0.49689657568859236	62.253885418049656	0.868165366241036
IBS-D	g__Porphyromonas	2	-0.8364937685252509	1.338815261581069	0.5321013535025705	82.61466766218415	0.868165366241036
IBS-D	g__Segatella	2	0.8055368573224284	1.272805669336664	0.526810159389802	84.41679949983906	0.868165366241036
IBS-D	g__Solobacterium	2	0.19121904463303985	0.2884000723329705	0.5073087986624456	0	0.868165366241036
GERD	g__Pseudoleptotrichia	4	-0.3096183042888438	0.31540784986203957	0.3262751363488114	21.31642757997536	0.8722865890141692
IBS-D	g__Fusobacterium	2	-0.40897998542205294	0.7374560267746318	0.5791804672038943	68.83136576127183	0.9207484350420883
IBS-D	g__Tannerella	2	0.3322509520083864	0.630479168419347	0.5982063319327833	0	0.9272198144958141
GERD	g__Acinetobacter	2	-0.43730406043970244	0.4794016792141139	0.3616701973478053	0	0.94757591705125
GERD	g__Gallibacter	4	-0.1822712844363773	0.20310873728595577	0.36950156374345167	0	0.9491118598116112
IBS-D	g__Actinomyces	2	-0.22564771281140822	0.9101236066796927	0.8041879157085223	74.86199182799137	0.9608667263392582
IBS-D	g__Anaerovoracaceae..G2.	2	-0.1450250673446104	0.3622989601289939	0.6889420856663231	0	0.9608667263392582
IBS-D	g__Butyrivibrio	2	-0.244146200901594	0.518635452664772	0.6378212548958675	0	0.9608667263392582
IBS-D	g__Campylobacter	2	-0.8087107257747874	1.931202581839579	0.6753914149360076	94.62309853882984	0.9608667263392582
IBS-D	g__Capnocytophaga	2	0.2158803964588826	0.7067344994954295	0.7600144552489293	12.15937128646534	0.9608667263392582
IBS-D	g__Leptotrichia	2	-0.1518324893860452	0.6178735797868944	0.8058882220909908	19.858875384612638	0.9608667263392582
IBS-D	g__Neisseria	2	-0.23355000462882847	0.8870361753249876	0.7923251117687364	80.59772226048067	0.9608667263392582
IBS-D	g__Pseudoleptotrichia	2	-0.2009303229153239	0.5201590849501017	0.6992846533470968	0	0.9608667263392582
IBS-D	g__Ruminococcaceae..G1.	2	0.1865578279692519	0.5263844419486554	0.7230289112352953	0	0.9608667263392582
IBS-D	g__Ruminococcaceae..G2.	2	0.14797992888717315	0.4760091575621319	0.7558947209816085	0	0.9608667263392582
IBS-D	g__Selenomonas	2	-0.21353073495973346	0.6577906840124419	0.7454701578559828	26.579408952588206	0.9608667263392582
IBS-D	g__Stomatobaculum	2	0.5304594593519982	1.2124660216552083	0.6617454422623964	71.26309691020057	0.9608667263392582
IBS-D	g__Absconditicoccaceae..G1.	2	0.0389423394036845	0.3744386605776068	0.9171678253587742	0	0.979433392071405
IBS-D	g__Aggregatibacter	2	-0.07805543939349865	0.49420598655787934	0.8745032077937364	0	0.979433392071405
IBS-D	g__Dialister	2	-0.2570982801760726	1.5974444090178814	0.8721379077608217	90.14022523362297	0.979433392071405
IBS-D	g__Hoylesella	2	-0.04034447124832835	0.6896488789407125	0.9533503488327242	59.193847457536584	0.979433392071405
IBS-D	g__Lachnospiraceae..G3.	2	-0.05493435304050806	0.6763550389525899	0.9352660575119622	0	0.979433392071405
IBS-D	g__Mogibacterium	2	-0.1418127006307891	0.7921186303955563	0.8579144408078087	68.7269820050121	0.979433392071405
IBS-D	g__Moraxella	2	0.061797079486505674	0.5124250359771914	0.9040100018104666	0	0.979433392071405
IBS-D	g__Ottowia	2	-0.010579092816298999	0.1842785271899894	0.9542200558828992	0	0.979433392071405
IBS-D	g__Parvimonas	2	-0.10026772796526529	2.1992778654470975	0.9636360792960598	90.34761445728473	0.979433392071405
GERD	g__Saccharimonadales..F1.G1.	2	-0.3114443709260276	0.3635421544021113	0.3916140376370088	34.16292661651995	0.986566133277849
GERD	Unclassified_NA	3	0.08542591343527599	0.27119855472152915	0.7527662209705283	0	0.9903035257113897
GERD	Unclassified_NA.17	2	0.04767713177540013	0.15645154286671709	0.7605637507393681	0	0.9903035257113897
GERD	Unclassified_NA.18	2	-0.06352925772654573	0.22855359795649943	0.7810413864065021	0	0.9903035257113897
GERD	Unclassified_NA.19	3	-0.09054917432459911	0.1563920218127892	0.5625969664736551	0	0.9903035257113897
GERD	Unclassified_NA.4	3	-0.12849754811657213	0.3416079293402619	0.7068016295899309	0	0.9903035257113897
GERD	Unclassified_NA.5	3	-0.006775940664564328	0.24321875723855782	0.9777742505567659	26.165562562398264	0.9903035257113897
GERD	Unclassified_NA.9	2	-0.06966939322398638	0.23354692363025054	0.7654665385630264	0	0.9903035257113897
GERD	Unclassified_f__Lachnospiraceae	3	-0.05046530196608323	0.3514982623087576	0.8858384670246732	0	0.9903035257113897
GERD	Unclassified_f__Leptotrichiaceae	3	-0.05826297754704565	0.27774431373397673	0.8338456349908069	54.26360915578554	0.9903035257113897
GERD	Unclassified_f__Odoribacteraceae	2	-0.19771238515103748	0.3738852751067966	0.5969407618183652	15.42760388120715	0.9903035257113897
GERD	Unclassified_f__Pasteurellaceae	2	-0.013337314499261926	0.5252375000687198	0.9797415572790371	14.488512860389688	0.9903035257113897
GERD	Unclassified_f__Veillonellaceae	3	0.025050174213759463	0.22559634665227524	0.911584782509569	47.6374219930699	0.9903035257113897
GERD	g__Absconditicoccaceae..G1.	4	-0.03241733312311429	0.5493199073500291	0.9529412933913222	69.83914535338262	0.9903035257113897
GERD	g__Actinomyces	4	0.10261442362904158	0.29952493089580196	0.7319064801298794	34.66392914308718	0.9903035257113897
GERD	g__Afipia	2	-0.04362312645774242	0.2554741614437288	0.8644175344085403	0	0.9903035257113897
GERD	g__Aggregatibacter	4	-0.105197796689438	0.23422921084791354	0.6533427114677117	19.430729749085284	0.9903035257113897
GERD	g__Alistipes	2	0.08801646040304884	0.21929410417098333	0.6881531519277806	0	0.9903035257113897
GERD	g__Alloprevotella	4	-0.3377763565939849	0.4445453933422683	0.44735966368734387	39.00003433918578	0.9903035257113897
GERD	g__Anaeroglobus	4	0.12986440178110037	0.21951931678400047	0.5541283171086504	0	0.9903035257113897
GERD	g__Anaerovoracaceae..G2.	2	-0.291414804267531	0.3887543497783064	0.453488609498824	40.54536263948191	0.9903035257113897
GERD	g__Anaerovoracaceae..G4.	3	-0.16328315915573188	0.20255982204012526	0.42018608360258086	0	0.9903035257113897
GERD	g__Anaerovoracaceae..G5.	3	-0.011719355423285095	0.2667494869910981	0.9649570627959473	0	0.9903035257113897
GERD	g__Bacteroides	2	0.27787996303503526	0.5431847885185391	0.6089482218803062	0	0.9903035257113897
GERD	g__Bifidobacterium	3	0.1441869647836675	0.2120798761030977	0.496586123550736	0	0.9903035257113897
GERD	g__Campylobacter	4	0.05734127944832074	0.3374298556489812	0.8650609362651416	57.72884941117699	0.9903035257113897
GERD	g__Capnocytophaga	4	-0.23088104181812255	0.28204768424997445	0.41302112711142724	0	0.9903035257113897
GERD	g__Cardiobacterium	4	0.0371285200140651	0.13029888958598154	0.7756833222738247	0	0.9903035257113897
GERD	g__Catonella	4	-0.09337448441440352	0.36916317997669257	0.8003180333423131	62.47228467136082	0.9903035257113897
GERD	g__Cloacibacterium	3	-0.2613315158550458	0.4077166528960111	0.5215463609276833	0	0.9903035257113897
GERD	g__Clostridiales..F1.G1.	3	-0.039605376713049575	0.15340996043834434	0.7962780881113902	0	0.9903035257113897
GERD	g__Corynebacterium	4	0.14814606691813637	0.2774567765632917	0.5933810623729321	0	0.9903035257113897
GERD	g__Cryptobacterium	2	0.06369050772677158	0.27255794087585017	0.8152357853070296	0	0.9903035257113897
GERD	g__Eikenella	3	-0.06274115309137605	0.28945391325696485	0.8283977479037696	0	0.9903035257113897
GERD	g__Erysipelotrichaceae..G1.	3	-0.08979595627960898	0.1869962551012939	0.6310838386653732	0	0.9903035257113897
GERD	g__Faecalibacterium	2	-0.03356945869895508	0.3786917796207663	0.929363360051301	0	0.9903035257113897
GERD	g__Fusobacterium	4	0.11041358614988496	0.232347655944565	0.6346383535786753	0	0.9903035257113897
GERD	g__Helicobacter	2	-0.006741514038108576	0.5547189011157487	0.9903035257113897	44.749650790619825	0.9903035257113897
GERD	g__Hornefia	4	0.11644875770626104	0.19456557074298214	0.5495020267476823	0	0.9903035257113897
GERD	g__Johnsonella	2	0.10080500679232096	0.1772867189125827	0.5696284732133342	0	0.9903035257113897
GERD	g__Kingella	4	-0.018692034469858045	0.2746543352377306	0.9457405950957288	0	0.9903035257113897
GERD	g__Klebsiella	2	-0.12359433856277396	0.6582587771901375	0.8510651857364404	56.48615973455511	0.9903035257113897
GERD	g__Lachnoanaerobaculum	4	0.17641681379325042	0.26142680540859603	0.49978824361893626	42.981105663067616	0.9903035257113897
GERD	g__Lachnospiraceae..G2.	4	0.1370716125734185	0.379948784996669	0.7182763311077248	0	0.9903035257113897
GERD	g__Lachnospiraceae..G3.	4	0.018120198278020277	0.24839023917830455	0.9418454881198677	0	0.9903035257113897
GERD	g__Lautropia	4	-0.043832925387205277	0.27137753826934785	0.8716837867174367	0	0.9903035257113897
GERD	g__Leptothrix	3	-0.029118941732814797	0.2011709382089166	0.8849104254003319	0	0.9903035257113897
GERD	g__Ligilactobacillus	2	0.15651466961088206	0.7038828341105502	0.8240344410552919	69.65022366569002	0.9903035257113897
GERD	g__Limosilactobacillus	3	0.06800807811904691	0.3905943740765096	0.8617756107494036	0	0.9903035257113897
GERD	g__Metamycoplasma	4	-0.1075314277110579	0.2453154405168266	0.6611402547408387	0	0.9903035257113897
GERD	g__Mitsuokella	3	0.2900871477699293	0.3770784155999363	0.4417140998086173	42.6274525035232	0.9903035257113897
GERD	g__Mobiluncus	2	0.3464539129831356	0.5241642127142472	0.5086351092296344	56.98214281489363	0.9903035257113897
GERD	g__Mogibacterium	4	-0.11890080798013367	0.4064023122820265	0.7698514427595756	54.86546355875756	0.9903035257113897
