disease	feature	k	estimate	se	p	I2	padj
IBS-D	g__Catonella	2	-1.0409666240777462	0.3382594248965964	0.002088002452197058	0	0.11403030852920236
IBS-D	g__Oribacterium	2	-0.7055694810031585	0.2562546249393905	0.005898119406682881	0	0.11403030852920236
IBS-D	g__Rothia	2	-1.511213461356247	0.5289183990513998	0.004274274732805081	59.03491683806797	0.11403030852920236
GERD	g__Pseudopropionibacterium	3	-0.5783555227352009	0.1783021624589147	0.0011799538221580021	0	0.14041450483680226
IBS-D	g__Bergeyella	2	-1.6979252889324568	0.6871571519867675	0.013475777071604458	60.71857409874274	0.19539876753826463
IBS-D	g__Amnipila	2	-1.1166403850652666	0.48840542446075164	0.022236826033528386	0	0.2579471819889293
IBS-D	g__Defluviitaleaceae_UCG.011	2	-0.7916642051391893	0.44765921012027543	0.0769852282558665	21.38163974106083	0.4558682853026236
IBS-D	g__Lautropia	2	-1.9132077531162828	1.0504540359754082	0.06855897882387256	80.88915733204709	0.4558682853026236
IBS-D	g__Lentimicrobium	2	-0.9643016291463438	0.5121007332934231	0.05969614758418372	47.122375805625886	0.4558682853026236
IBS-D	g__Peptococcus	2	-0.7180731726811751	0.4082560394103052	0.07859798022459027	0	0.4558682853026236
IBS-D	g__Treponema	2	-0.8370699905116612	0.47244375913891234	0.07642982297512967	0	0.4558682853026236
IBS-D	Unclassified_f__Peptostreptococcaceae	2	-0.7727220692801691	0.46316681848774655	0.095247249621429525	0	0.5022127707311739
GERD	g__Gemella	4	-0.5006669260831718	0.19150900849785776	0.00894037598449805	0	0.5319523710776339
IBS-D	g__Abiotrophia	2	-0.733454826300042	0.4607357480074617	0.11140249850306991	33.68901970340578	0.5384454094315045
GERD	g__Oribacterium	4	0.4503254103007131	0.18330673181570434	0.014022875005843724	3.735726592689333	0.5562407085651343
IBS-D	g__Corynebacterium	2	-0.7343783136522042	0.5180859998206957	0.1563416391615384	0	0.6594182307751569
IBS-D	g__Filifactor	2	-0.6959212952184959	0.5073039994357668	0.17012468295510896	0	0.6594182307751569
IBS-D	g__Streptococcus	2	-0.5692229842001597	0.4153477306216878	0.17053919761426473	82.55463732035543	0.6594182307751569
IBS-D	g__.Eubacterium._nodatum_group	2	0.4142994031925806	0.3178051952836891	0.1923608225377903	1.1880810943386868	0.6973079816994898
IBS-D	g__uncultured	2	-0.6505721033932804	0.5235930188286577	0.21404666341189346	0	0.7302768516405777
IBS-D	g__Atopobium	2	0.7545753206396403	0.6725580801843306	0.2618844693831939	54.721725315606136	0.7762723873942442
IBS-D	g__Granulicatella	2	-0.6263546646993843	0.5650874420393558	0.26768013358422216	82.35859387827803	0.7762723873942442
IBS-D	g__Lachnoanaerobaculum	2	-0.349461947055893	0.2998122041494642	0.24377507197134382	0	0.7762723873942442
GERD	g__Peptostreptococcus	4	-0.5743509339253605	0.25943868934793946	0.02684106431055701	0	0.798521663239071
IBS-D	g__Gemella	2	-0.6757432413330736	0.708530440789182	0.3402228286657761	81.99622332657522	0.8222051692756255
IBS-D	g__Peptostreptococcus	2	0.8790106591230303	0.8977465376142001	0.3275156997503073	79.9167288573066	0.8222051692756255
IBS-D	g__Prevotella	2	0.5863808485001409	0.5866246584569276	0.31751168294347676	84.43041556810827	0.8222051692756255
IBS-D	g__Stomatobaculum	2	-0.44425625719427475	0.44816334447974504	0.32154789899124403	0	0.8222051692756255
IBS-D	g__Fretibacterium	2	-0.8158172825199663	0.9120820554138388	0.3710779524471494	94.26499672754647	0.8609008496773866
IBS-D	g__Haemophilus	2	-0.6060298207048619	0.724902092542372	0.403145845414286	77.10846574689309	0.8660170012603181
IBS-D	g__Veillonella	2	0.4591691255332096	0.5424190178176214	0.3972621267175227	77.7582828524418	0.8660170012603181
