disease	feature	k	estimate	se	p	I2	padj
IBS-D	NAGLIPASYN-PWY	2	0.18787320573957048	0.03599786363370712	1.7988217458356337e-7	0	2.7671785538348938e-5
IBS-D	PWY-1269	2	0.17376855558713744	0.033333094327168834	1.8571668146542912e-7	0	2.7671785538348938e-5
IBS-D	ALL-CHORISMATE-PWY	2	-1.8278600412163437	0.3655859687883266	5.738711449086091e-7	0	5.7004533727588504e-5
IBS-D	PWY-5845	2	-1.8933133740721169	0.3978786422697195	1.950178217906056e-6	0	6.457256765955608e-5
IBS-D	PWY-5850	2	-1.8933133740721169	0.3978786422697195	1.950178217906056e-6	0	6.457256765955608e-5
IBS-D	PWY-5860	2	-1.9094044588680679	0.3995917957254182	1.7670654812625915e-6	0	6.457256765955608e-5
IBS-D	PWY-5862	2	-1.9094044588680679	0.3995917957254182	1.7670654812625915e-6	0	6.457256765955608e-5
IBS-D	PWY-5896	2	-1.8933133740721169	0.3978786422697195	1.950178217906056e-6	0	6.457256765955608e-5
IBS-D	TYRFUMCAT-PWY	2	-1.6708590145649893	0.34980368274021384	1.7831749970600483e-6	0	6.457256765955608e-5
IBS-D	PWY-7539	2	0.0933066058396487	0.019914619035254114	2.7950621078441196e-6	0	8.329285081375476e-5
IBS-D	PWY-6467	2	0.15128666517641728	0.03724278837404097	4.861793605690169e-5	0	0.0013171040859051547
IBS-D	PYRIDNUCSYN-PWY	2	0.20889552062601585	0.05459641331143185	1.3014892207942482e-4	0	0.003232031564972383
IBS-D	PWY-5910	2	-0.39601169332321473	0.10437166936610591	1.4809334104297437e-4	0	0.0033947550485235664
IBS-D	POLYISOPRENSYN-PWY	2	0.09000683079715563	0.024989182981728628	3.1598294497549024e-4	8.87099175073179	0.006088176127582577
IBS-D	PWY-4984	2	-2.6968679410961545	0.7539075080583977	3.4731206096947584e-4	57.10653532671225	0.006088176127582577
IBS-D	PWY-5022	2	-1.1356212594443245	0.31323025280266625	2.883851598972035e-4	0	0.006088176127582577
IBS-D	PWY-922	2	-0.43091169841069715	0.12019396110414232	3.36902579923621e-4	15.938166403592442	0.006088176127582577
IBS-D	ARGORNPROST-PWY	2	-0.5195919525970407	0.148562258632556	4.696946044143902e-4	0	0.007776055117527127
IBS-D	LACTOSECAT-PWY	2	-0.5988503587577052	0.17824563448578346	7.802952698029438e-4	23.648042270709382	0.01223831528427775
IBS-D	FAO-PWY	2	-1.7030536171683344	0.5100918166769779	8.416543312533349e-4	42.59860903735295	0.012540649535674691
IBS-D	PWY-6471	2	-0.32752694083327916	0.0997312961764983	0.0010231083029629314	22.59517974462589	0.01451839401347398
IBS-D	PWY-7234	2	-0.17737065163352647	0.05611480632033271	0.0015730788735454006	0	0.021308068378024063
IBS-D	P281-PWY	2	-1.7168524090636552	0.5704560057187134	0.0026157985099608803	51.1618230564204	0.03247949816534759
IBS-D	PWY-2941	2	-0.3344598169490571	0.11067783535530953	0.0025117502606737292	0	0.03247949816534759
IBS-D	FUC-RHAMCAT-PWY	2	-0.39038154293172384	0.1331794251938295	0.0033760625565337544	0	0.03469195316713996
IBS-D	PANTO-PWY	2	0.1536194706117932	0.052388484043621134	0.0033644669012381253	20.28730086748327	0.03469195316713996
IBS-D	PENTOSE-P-PWY	2	-0.17765787665431587	0.060119255185309015	0.003125767254154983	0	0.03469195316713996
IBS-D	PWY-7111	2	-0.13247858518871186	0.04505432874653053	0.0032776913475393316	0	0.03469195316713996
IBS-D	PWY0-1261	2	-0.4185749640085893	0.14262496915171985	0.0033376873820010235	0	0.03469195316713996
IBS-D	PWY-5677	2	-1.092357766827829	0.3788419694696627	0.003933916026505851	0	0.03907689919662479
IBS-D	PWY-5177	2	-1.6620767965719099	0.6102416194555619	0.00645673843047783	61.51387544531527	0.058306304614617985
IBS-D	PWY-6700	2	0.11833229893290792	0.04335303679922432	0.006342962821768912	20.82858501306432	0.058306304614617985
IBS-D	RIBOSYN2-PWY	2	0.12156520450683975	0.04435492704179014	0.006130149156757923	72.48250267607425	0.058306304614617985
IBS-D	TRNA-CHARGING-PWY	2	0.05524462804767813	0.020572422133749147	0.007244889090973418	1.0548764578085463	0.06349932203264938
IBS-D	RHAMCAT-PWY	2	-0.4045901801090475	0.15642418793853613	0.009695793658901138	0	0.08255275743864397
IBS-D	KETOGLUCONMET-PWY	2	-0.960948442957994	0.3763641960761871	0.010672566441210325	0	0.0883451333189077
IBS-D	PWY-7392	2	-0.15546526092796256	0.06118818501168752	0.011060784768696296	0	0.08908415840733774
IBS-D	ENTBACSYN-PWY	2	-1.3461628495359683	0.5476872152673956	0.013975034647560067	66.07320003801058	0.10959369276244474
IBS-D	PRPP-PWY	2	-0.06891344540144582	0.028522848961068287	0.01568867367567352	0	0.11987755782950538
IBS-D	GLUCOSE1PMETAB-PWY	2	0.15218968678140893	0.06448055779008743	0.01826304281370357	0	0.13486626507722815
IBS-D	PWY-6703	2	0.1167880481198133	0.04960534378538797	0.01855542573210186	0	0.13486626507722815
IBS-D	CALVIN-PWY	2	0.06191733276485723	0.02700210572397781	0.02184479769983822	30.99354711653072	0.15433197167227208
IBS-D	PWY-5154	2	-0.49101767216558667	0.21481766200623273	0.022269378462777517	0	0.15433197167227208
IBS-D	COLANSYN-PWY	2	0.21442789834270534	0.09586044202176235	0.02529446175975902	18.756599508305136	0.171312491009277
IBS-D	PWY-621	2	-0.1453918340813116	0.06606052486240895	0.027743934753318863	0	0.18372650125531156
IBS-D	FOLSYN-PWY	2	0.04286996398261485	0.01991517244397978	0.03134790185665302	0	0.20307988594092607
IBS-D	PANTOSYN-PWY	2	0.13736852551917172	0.06519304182006046	0.03510855728114783	69.54538564392409	0.21812139799365796
IBS-D	PWY-6123	2	0.07570421839341396	0.03593302236324446	0.035133647998978466	34.99747421450144	0.21812139799365796
IBS-D	CATECHOL-ORTHO-CLEAVAGE-PWY	2	-0.645016579156749	0.3093964650347116	0.03709132471960711	0	0.22106429532885838
IBS-D	PWY1G-0	2	-1.322992408265827	0.6336373500291781	0.03680386819030147	72.55138355194623	0.22106429532885838
IBS-D	PWY-5103	2	-0.06391808970977308	0.03209699430436591	0.04643646635932245	0	0.2713346465701586
IBS-D	PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	2	-0.984040726935555	0.4986360162471334	0.0484426081209453	6.730787596907995	0.277613408077725
IBS-D	PWY-5101	2	-0.061667938554012106	0.032009495894106774	0.05403556256862658	4.0144586348740345	0.3036959833740111
IBS-D	PWY-7219	2	0.04433127480669449	0.02310578587529587	0.05503215806106242	14.528058833309306	0.3036959833740111
IBS-D	PWY-3781	2	-0.4966503768872856	0.26008161555949644	0.056185466487280296	0	0.304423072967446
IBS-D	LEU-DEG2-PWY	2	-0.9646390689362296	0.5094620406364508	0.058298529294604474	32.97189627311739	0.3102314594605738
IBS-D	ARGSYN-PWY	2	-0.11348792170227145	0.060916640035389574	0.062461755079594	0	0.31534990776404426
IBS-D	PWY-6147	2	0.08498384810849743	0.045347555932925464	0.060922740957215345	64.34977706277189	0.31534990776404426
IBS-D	PWY-7242	2	-0.32414814326468044	0.1746749982940833	0.06349327001960622	5.481899652122221	0.31534990776404426
IBS-D	PWY-7323	2	0.23820746317759073	0.12798777311542328	0.06271966664049637	36.30465430321781	0.31534990776404426
IBS-D	GLCMANNANAUT-PWY	2	-0.18272774052647284	0.10363380369502448	0.07786575862989766	59.54880978545142	0.3613344804955715
IBS-D	PEPTIDOGLYCANSYN-PWY	2	0.03773030820559416	0.021443143891603754	0.07848394266287399	0	0.3613344804955715
IBS-D	PWY-6385	2	0.03771836519815823	0.021454726509950704	0.07873992795096613	0	0.3613344804955715
IBS-D	PWY-7400	2	-0.10755005684186136	0.060320013843360124	0.07458772779957204	0	0.3613344804955715
IBS-D	UDPNAGSYN-PWY	2	-0.04794113990157093	0.027276385768378562	0.07881456789332936	0	0.3613344804955715
IBS-D	COA-PWY	2	0.0591592193388098	0.03492158115913992	0.09025406961738569	48.6720320682113	0.3986119435417569
IBS-D	GLYCOLYSIS-E-D	2	-0.09709640240719619	0.05709104250232919	0.08899385142430545	2.0051197115826316	0.3986119435417569
IBS-D	PWY0-162	2	0.03377536995623506	0.019981128080873302	0.0909584300699311	0	0.3986119435417569
IBS-D	ARGSYNBSUB-PWY	2	-0.1378711721322956	0.08211058609922457	0.09313424825798534	0	0.3989945776305905
IBS-D	GLUCONEO-PWY	2	0.08597562743517746	0.052463263288820075	0.10125955916304596	80.42227281353347	0.3989945776305905
IBS-D	GLYCOGENSYNTH-PWY	2	-0.09143681717112379	0.055527885226150785	0.09962324786413511	0	0.3989945776305905
