Axis1	Axis2	sample_id	study	case
0.07235611247786804	0.18209232615921694	Ziganshina_2020__SRR10802220	Ziganshina_2020	Control
-0.1309311969731919	0.07203329731835702	Ziganshina_2020__SRR10802221	Ziganshina_2020	Control
0.05360570777550166	0.0937271298002539	Ziganshina_2020__SRR10802222	Ziganshina_2020	Control
-0.3949207427917906	0.005964275408761054	Ziganshina_2020__SRR10802223	Ziganshina_2020	Control
-0.1308774101844124	0.1463254678219885	Ziganshina_2020__SRR10802224	Ziganshina_2020	Control
-0.11390569894251946	0.051536682562748584	Ziganshina_2020__SRR10802225	Ziganshina_2020	Control
-0.02502409941339514	-0.025477066690243803	Ziganshina_2020__SRR10802226	Ziganshina_2020	Control
-0.1948891592199356	0.18409904743337585	Ziganshina_2020__SRR10802227	Ziganshina_2020	Case
-0.1375603912249196	0.028999641477090662	Ziganshina_2020__SRR10802228	Ziganshina_2020	Case
-0.15332943120666856	0.1884009246563943	Ziganshina_2020__SRR10802229	Ziganshina_2020	Case
0.06832781602746564	0.15030846459553465	Ziganshina_2020__SRR10802230	Ziganshina_2020	Case
-0.022872933238320514	0.015533643892431193	Ziganshina_2020__SRR10802231	Ziganshina_2020	Case
-0.004731463072550057	0.23836560391022235	Ziganshina_2020__SRR10802232	Ziganshina_2020	Case
-0.16919508852656853	0.011794782064749015	Ziganshina_2020__SRR10802233	Ziganshina_2020	Control
0.051930705896183225	0.20402607820683216	Ziganshina_2020__SRR10802234	Ziganshina_2020	Case
-0.0253881046730042	0.17882530860849452	Ziganshina_2020__SRR10802235	Ziganshina_2020	Case
-0.12510900483947568	-0.04507113387630913	Ziganshina_2020__SRR10802236	Ziganshina_2020	Case
0.015955809706321874	-0.08350149814764758	Ziganshina_2020__SRR10802237	Ziganshina_2020	Case
0.022079347404192904	0.3041317329351085	Ziganshina_2020__SRR10802238	Ziganshina_2020	Case
0.04541970722478362	0.12992938543125238	Ziganshina_2020__SRR10802239	Ziganshina_2020	Case
-0.1052014999983292	-0.0936066738790965	Ziganshina_2020__SRR10802240	Ziganshina_2020	Case
-0.16904936132162046	-0.0597196553750372	Ziganshina_2020__SRR10802241	Ziganshina_2020	Case
-0.017395319676023566	0.21524523095578924	Ziganshina_2020__SRR10802242	Ziganshina_2020	Control
-0.1256192809857917	-0.03045913676382346	Ziganshina_2020__SRR10802243	Ziganshina_2020	Control
0.10631901745632077	0.03522448582053006	Ziganshina_2020__SRR10802244	Ziganshina_2020	Control
-0.050158442129404464	-0.032772680958039875	Ziganshina_2020__SRR10802245	Ziganshina_2020	Control
0.17923196984500944	-0.14417732594942415	Qian_2023__SRR22214972	Qian_2023	Control
0.07262352800536724	0.13730897482909957	Qian_2023__SRR22214973	Qian_2023	Control
0.25716727581044496	-0.03694671739507556	Qian_2023__SRR22214974	Qian_2023	Control
0.19599214577167082	-0.16424093679661161	Qian_2023__SRR22214975	Qian_2023	Control
0.12289963473759528	0.14853130748022184	Qian_2023__SRR22214976	Qian_2023	Case
0.12964962565148383	0.2609453437777394	Qian_2023__SRR22214977	Qian_2023	Case
0.1352734666996577	0.09100908739797563	Qian_2023__SRR22214978	Qian_2023	Case
0.14583507436789137	0.2505085868175621	Qian_2023__SRR22214979	Qian_2023	Case
0.061657434787149315	0.19246970158753107	Qian_2023__SRR22214980	Qian_2023	Case
0.1149265969405028	0.2432266369795474	Qian_2023__SRR22214981	Qian_2023	Case
0.055018234801016634	0.2890470086153515	Qian_2023__SRR22214982	Qian_2023	Case
