study	disease	metric	R2	F	p
Ziganshina_2020	GERD	bray	0.039518164305607756	0.9874584901950827	0.435
Ziganshina_2020	GERD	wunifrac	0.026034830273153495	0.6415382664360803	0.664
Ziganshina_2020	GERD	unifrac	0.027263053267394356	0.6726518208394194	0.909
Qian_2023	GERD	bray	0.027249168452890785	1.624724152385498	0.024
Qian_2023	GERD	wunifrac	0.04930997392161384	3.0083185991243293	0.032
Qian_2023	GERD	unifrac	0.014006833869360684	0.8239371147074269	0.911
Li_2025	IBS-D	bray	0.08921115437751566	3.232327787727729	0.001
Li_2025	IBS-D	wunifrac	0.1317689131902282	5.008314262571726	0.002
Li_2025	IBS-D	unifrac	0.0487209659094719	1.6901369812588214	0.071
Zheng_2024	LPRD	bray	0.028275139461651392	4.335585051772784	0.001
Zheng_2024	LPRD	wunifrac	0.030923194343251033	4.754582846528699	0.004
Zheng_2024	LPRD	unifrac	0.018521602564703678	2.8117977831730956	0.004
Hao_2022	GERD	bray	0.05728940794728178	1.3369606594700456	0.124
Hao_2022	GERD	wunifrac	0.14501674101957607	3.73149797837588	0.017
Hao_2022	GERD	unifrac	0.048175679215305925	1.1135089948772967	0.226
Kawar_2021	GERD	bray	0.009886727497311098	1.2581668171283051	0.179
Kawar_2021	GERD	wunifrac	0.006869467888829758	0.8715399698291223	0.457
Kawar_2021	GERD	unifrac	0.006664965059819459	0.8454202942593527	0.703
Tang_2023	IBS-D	bray	0.029293255407582333	1.810634709448653	0.082
Tang_2023	IBS-D	wunifrac	0.02686239536486822	1.6562341381272592	0.162
Tang_2023	IBS-D	unifrac	0.07441782503599739	4.824066001847429	0.001
