study	disease	metric	F	p
Ziganshina_2020	GERD	bray	1.7153353147561228	0.222
Ziganshina_2020	GERD	wunifrac	0.44402071239250973	0.47
Ziganshina_2020	GERD	unifrac	2.159251368770771	0.183
Qian_2023	GERD	bray	0.026184913792161067	0.889
Qian_2023	GERD	wunifrac	1.0331867809685693	0.302
Qian_2023	GERD	unifrac	0.011029039941094616	0.914
Li_2025	IBS-D	bray	13.553917388176263	0.002
Li_2025	IBS-D	wunifrac	7.020251701042674	0.017
Li_2025	IBS-D	unifrac	0.019371441867192155	0.884
Zheng_2024	LPRD	bray	42.726340621065695	0.001
Zheng_2024	LPRD	wunifrac	59.380595282984736	0.001
Zheng_2024	LPRD	unifrac	6.2002864155909645	0.013
Hao_2022	GERD	bray	0.30632229464837135	0.579
Hao_2022	GERD	wunifrac	0.8849330247621771	0.349
Hao_2022	GERD	unifrac	0.012527356056843087	0.905
Kawar_2021	GERD	bray	0.21260529526499303	0.651
Kawar_2021	GERD	wunifrac	0.471026962139536	0.506
Kawar_2021	GERD	unifrac	0.6220242877733199	0.432
Tang_2023	IBS-D	bray	0.39914039326422424	0.542
Tang_2023	IBS-D	wunifrac	0.12406638399872798	0.728
Tang_2023	IBS-D	unifrac	9.727298217755056	0.006
