feature	metadata	value	coef	stderr	N	N.not.0	pval	qval	study	disease
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	group	GERD	-0.364877151383752	0.308901051595403	26	3	0.249092516302689	0.90197076167089	Ziganshina_2020	GERD
ALL-CHORISMATE-PWY	group	GERD	-0.536284266824848	0.963806315735129	26	17	0.583073008906832	0.90197076167089	Ziganshina_2020	GERD
ANAEROFRUCAT-PWY	group	GERD	0.0217524933449771	0.0517329917799035	26	26	0.677878646970048	0.90197076167089	Ziganshina_2020	GERD
ARG+POLYAMINE-SYN	group	GERD	0.201982180566371	0.166248896980898	26	26	0.236207618272312	0.90197076167089	Ziganshina_2020	GERD
ARGSYN-PWY	group	GERD	0.218461701443492	0.120553542052651	26	26	0.0824933759232181	0.90197076167089	Ziganshina_2020	GERD
ARGSYNBSUB-PWY	group	GERD	0.206345010630379	0.134530398847112	26	26	0.138152805419809	0.90197076167089	Ziganshina_2020	GERD
BIOTIN-BIOSYNTHESIS-PWY	group	GERD	-0.256672666794546	0.175458333164895	26	26	0.156476743189419	0.90197076167089	Ziganshina_2020	GERD
BRANCHED-CHAIN-AA-SYN-PWY	group	GERD	0.0949013941470229	0.0416924589758213	26	26	0.0320430725712273	0.90197076167089	Ziganshina_2020	GERD
CALVIN-PWY	group	GERD	-0.0181705416623712	0.0217786897192266	26	26	0.412324825548766	0.90197076167089	Ziganshina_2020	GERD
CATECHOL-ORTHO-CLEAVAGE-PWY	group	GERD	-0.386621693990434	0.458401129456776	26	4	0.407325129409405	0.90197076167089	Ziganshina_2020	GERD
CENTFERM-PWY	group	GERD	-0.514489102841573	0.432596146734201	26	26	0.245953175800597	0.90197076167089	Ziganshina_2020	GERD
CHLOROPHYLL-SYN	group	GERD	0.337869135780492	0.321555060255933	26	3	0.30384589145582	0.90197076167089	Ziganshina_2020	GERD
COA-PWY	group	GERD	-0.0239233303838231	0.0271696373054238	26	26	0.38731183680175	0.90197076167089	Ziganshina_2020	GERD
CODH-PWY	group	GERD	-0.360384647890834	0.578420110681715	26	26	0.539127795697503	0.90197076167089	Ziganshina_2020	GERD
COLANSYN-PWY	group	GERD	-0.0869551939397698	0.0943733088199684	26	26	0.366013651032457	0.90197076167089	Ziganshina_2020	GERD
COMPLETE-ARO-PWY	group	GERD	0.00849921575807349	0.0190207864898698	26	26	0.658998105236752	0.90197076167089	Ziganshina_2020	GERD
DAPLYSINESYN-PWY	group	GERD	0.035476061958401	0.0521737156475246	26	26	0.503036198970387	0.90197076167089	Ziganshina_2020	GERD
DENITRIFICATION-PWY	group	GERD	-0.403079569393506	0.522889635747984	26	26	0.448307401398524	0.90197076167089	Ziganshina_2020	GERD
FAO-PWY	group	GERD	-0.543045984205582	0.482532671036054	26	26	0.271545334199857	0.90197076167089	Ziganshina_2020	GERD
FASYN-ELONG-PWY	group	GERD	-0.081043502929792	0.0398934366350853	26	26	0.0534186854072099	0.90197076167089	Ziganshina_2020	GERD
FERMENTATION-PWY	group	GERD	-0.0706113731968949	0.0733583579424417	26	26	0.345370142588098	0.90197076167089	Ziganshina_2020	GERD
FOLSYN-PWY	group	GERD	-0.049367698352076	0.0275763538867423	26	26	0.086043982652177	0.90197076167089	Ziganshina_2020	GERD
FUC-RHAMCAT-PWY	group	GERD	0.383239883385113	0.206768038475001	26	26	0.076147179344263	0.90197076167089	Ziganshina_2020	GERD
FUCCAT-PWY	group	GERD	0.440804996621303	0.243833383276712	26	26	0.0831860785027892	0.90197076167089	Ziganshina_2020	GERD
GALACT-GLUCUROCAT-PWY	group	GERD	0.267015875472714	0.218955725406248	26	26	0.234505239440168	0.90197076167089	Ziganshina_2020	GERD
GALACTUROCAT-PWY	group	GERD	0.238662053376689	0.191903268705471	26	26	0.225636647247084	0.90197076167089	Ziganshina_2020	GERD
GALLATE-DEGRADATION-I-PWY	group	GERD	0.583292624380046	0.589942206718204	26	6	0.332660095823417	0.90197076167089	Ziganshina_2020	GERD
