Genus_silva	Genus_ehomd	n_asvs
Prevotella	Segatella	1136
Prevotella	Hoylesella	757
Actinomyces	Schaalia	602
Muribaculaceae	Odoribacteraceae [G7]	405
Leptotrichia	Pseudoleptotrichia	386
Clostridia_UCG-014	Ruminococcaceae [G2]	183
Rikenellaceae_RC9_gut_group	Odoribacteraceae [G3]	163
Actinobacillus	Haemophilus	134
uncultured	Pedobacter	130
Atopobium	Lancefieldella	120
Prevotella	Hallella	111
Absconditabacteriales_(SR1)	Absconditicoccaceae [G1]	109
uncultured	Desulfovibrio	108
Bacteroides	Phocaeicola	106
Lentimicrobium	Odoribacteraceae [G5]	101
Saccharimonadales	Nanogingivalis	101
P5D1-392	Streptococcus	99
Centipeda	Selenomonas	90
Clostridia_UCG-014	Ruminococcaceae [G1]	90
Selenomonas	Selenomonadaceae [G1]	82
Candidatus_Saccharimonas	Nanosyncoccus	80
Bergeyella	Weeksellaceae [G1]	77
Subgroup_7	Anaerovoracaceae [G3]	77
Johnsonella	Lachnospiraceae [G3]	74
uncultured	Caldilinea	72
[Eubacterium]_nodatum_group	Anaerovoracaceae [G1]	70
Lactobacillus	Limosilactobacillus	67
Saccharimonadaceae	Saccharimonas	66
Woeseia	Pseudomonas	64
Bergeyella	Riemerella	63
Ruminococcus	Hominimerdicola	62
TM7x	Nanosynbacter	62
Clostridium_sensu_stricto_1	Clostridiales [F3 G1]	61
Arenimonas	Stenotrophomonas	58
uncultured	Haematobacter	58
Mycoplasma	Metamycoplasma	57
Comamonas	Ottowia	56
Lysobacter	Stenotrophomonas	56
Alysiella	Kingella	55
F0058	Paludibacteraceae [G1]	55
Stomatobaculum	Moryella	53
Ellin6067	Schlegelella	50
TRA3-20	Oryzomicrobium	50
MB-A2-108	Olsenella	48
Clostridia_vadinBB60_group	Clostridiales [F1 G1]	47
[Eubacterium]_yurii_group	Peptoanaerobacter	45
Christensenellaceae_R-7_group	Clostridiales [F1 G2]	42
Granulicatella	Enterococcus	42
uncultured	Roseomonas	42
Saccharimonadales	Nanoperiomorbus	39
Vicinamibacteraceae	Desulfovibrio	39
Nocardioides	Mycobacterium	38
uncultured	Mitsuokella	38
MND1	Ralstonia	37
Roseburia	Agathobacter	36
[Eubacterium]_brachy_group	Gallibacter	36
[Eubacterium]_nodatum_group	Hornefia	36
Defluviitaleaceae_UCG-011	Lachnospiraceae [G8]	35
Luteimonas	Stenotrophomonas	35
Pseudopropionibacterium	Arachnia	35
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	Agrobacterium	32
Family_XIII_UCG-001	Anaerovoracaceae [G2]	32
uncultured	Lancefieldella	32
uncultured	Novosphingobium	32
Acholeplasma	Mollicutes [O1 F1 G1]	31
Aquicella	Moraxella	31
Bacillus	Anoxybacillus	30
Aggregatibacter	Haemophilus	29
Chloroplast	Arthrospira	28
F0332	Peptidiphaga	28
uncultured	Lachnospiraceae [G2]	28
Colidextribacter	Fastidiosipila	27
Lactobacillus	Ligilactobacillus	27
Amnipila	Anaerovoracaceae [G5]	26
JGI_0000069-P22	Patescibacteria [C1 O1 F1 G1]	26
Nitrosomonas	Schlegelella	26
Haliangium	Afipia	25
Lachnospiraceae_NK4A136_group	Lachnospiraceae [G2]	25
[Eubacterium]_saphenum_group	Anaerovoracaceae [G5]	25
uncultured	Pseudomonas	25
Bergeyella	Cloacibacterium	24
Erysipelotrichaceae_UCG-006	Erysipelotrichaceae [G1]	23
Parasutterella	Lautropia	23
uncultured	Afipia	23
uncultured	Enhydrobacter	23
Pseudoxanthomonas	Stenotrophomonas	22
S085	Clostridiales [F3 G1]	22
Chryseolinea	Pedobacter	21
Lachnoclostridium	Lachnospiraceae [G2]	21
Subdoligranulum	Faecalibacterium	21
uncultured	Moraxella	21
SC-I-84	Schlegelella	20
Conexibacter	Anaerovoracaceae [G2]	19
IMCC26256	Lancefieldella	19
Methylobacterium-Methylorubrum	Afipia	19
Streptomyces	Kocuria	19
uncultured	Fastidiosipila	19
Muribaculaceae	Porphyromonas	18
uncultured	Stenotrophomonas	18
Collinsella	Olsenella	17
Haemophilus	Aggregatibacter	17
Nitrosospira	Oryzomicrobium	17
UCG-005	Ruminococcaceae [G3]	17
uncultured	Peptoniphilaceae [G2]	17
Altererythrobacter	Erythrobacter	16
Mycobacterium	Mycolicibacterium	16
Ohtaekwangia	Pedobacter	16
Oscillibacter	Clostridiales [F3 G1]	16
Rokubacteriales	Peptococcus	16
S0134_terrestrial_group	Desulfovibrio	16
Skermanella	Roseomonas	16
Terrimonas	Segetibacter	16
uncultured	Kocuria	16
Agromyces	Microbacterium	15
Blautia	Stomatobaculum	15
Candidatus_Saccharimonas	Saccharimonadales [F3 G1]	15
Devosia	Mesorhizobium	15
Enterorhabdus	Cryptobacterium	15
Gaiella	Kocuria	15
Hydrogenophaga	Paenacidovorax	15
Pedomicrobium	Mesorhizobium	15
Solirubrobacter	Anaerovoracaceae [G2]	15
Subgroup_10	Anaerovoracaceae [G3]	15
uncultured	Flavitalea	15
AKAU4049	Desulfovibrio	14
Blautia	Lachnoanaerobaculum	14
Candidatus_Berkiella	Moraxella	14
Flavobacterium	Capnocytophaga	14
MND1	Oryzomicrobium	14
Reyranella	Enhydrobacter	14
UCG-010	Ruminococcaceae [G3]	14
uncultured	Segatella	14
uncultured	Sneathia	14
uncultured	Stomatobaculum	14
Dokdonella	Stenotrophomonas	13
Gracilibacteria	Patescibacteria [C1 O1 F1 G2]	13
Lachnoclostridium	Stomatobaculum	13
Marinobacter	Pseudomonas	13
Noviherbaspirillum	Ralstonia	13
Saccharimonadales	Saccharimonas	13
Subgroup_10	Selenomonas	13
[Ruminococcus]_torques_group	Agathobacter	13
uncultured	Anaerovoracaceae [G4]	13
Bacillus	Gemella	12
Coprococcus	Lachnospiraceae [G2]	12
MBNT15	Desulfomicrobium	12
Mucilaginibacter	Pedobacter	12
Pseudonocardia	Mycobacterium	12
Streptobacillus	Pseudoleptotrichia	12
uncultured	Pseudoramibacter	12
Acidibacter	Moraxella	11
Azoarcus	Oryzomicrobium	11
Flavisolibacter	Segetibacter	11
Lachnospiraceae_UCG-004	Oribacterium	11
Massilia	Leptothrix	11
Polycyclovorans	Moraxella	11
Prevotellaceae	Segatella	11
TK10	Caldilinea	11
[Eubacterium]_brachy_group	Anaerovoracaceae [G3]	11
uncultured	Propionibacteriaceae [G1]	11
uncultured	Selenomonas	11
Aeromonas	Serratia	10
EF100-94H03	Haematobacter	10
EPR3968-O8a-Bc78	Cardiobacterium	10
Erysipelatoclostridium	Erysipelothrix	10
Hyphomicrobium	Mesorhizobium	10
Lactobacillus	Lentilactobacillus	10
Megasphaera	Anaeroglobus	10
NK4A214_group	Ruminococcaceae [G3]	10
Phenylobacterium	Caulobacter	10
Sphaerochaeta	Treponema	10
Sphingobacterium	Pedobacter	10
UCG-002	Fastidiosipila	10
Veillonellaceae	Dialister	10
Vibrio	Serratia	10
[Ruminococcus]_gnavus_group	Lachnospiraceae [G2]	10
uncultured	Clostridiales [F1 G2]	10
uncultured	Mycobacterium	10
11-24	Selenomonas	9
BD2-11_terrestrial_group	Desulfovibrio	9
Bacteroidales_RF16_group	Porphyromonas	9
Bosea	Afipia	9
Candidatus_Stoquefichus	Eggerthia	9
Cohnella	Paenibacillus	9
Dongia	Enhydrobacter	9
Escherichia-Shigella	Escherichia	9
FCPS473	Fretibacterium	9
Ga0077536	Pseudomonas	9
Howardella	Lachnospiraceae [G7]	9
Johnsonella	Lachnospiraceae [G2]	9
Kingella	Neisseria	9
NK4A214_group	Fastidiosipila	9
Pseudohongiella	Pseudomonas	9
Rothia	Kocuria	9
Selenomonas	Mitsuokella	9
Sphingobium	Novosphingobium	9
Sphingopyxis	Novosphingobium	9
UBA1819	Faecalibacterium	9
uncultured	Clostridiales [F3 G1]	9
uncultured	Hoylesella	9
uncultured	Micavibrio	9
wb1-P19	Pseudomonas	9
AKAU4049	Peptococcus	8
Anaerotruncus	Hominimerdicola	8
Arthrobacter	Kocuria	8
Burkholderia-Caballeronia-Paraburkholderia	Burkholderia	8
Chitinophaga	Segetibacter	8
Colidextribacter	Ruminococcaceae [G3]	8
Family_XIII_AD3011_group	Mogibacterium	8
Halomonas	Moraxella	8
KD4-96	Clostridiales [F3 G1]	8
Lachnospiraceae_UCG-010	Anaerovoracaceae [G3]	8
Marinobacterium	Pseudomonas	8
Monoglobus	Clostridiales [F3 G1]	8
NB1-j	Desulfovibrio	8
NS11-12_marine_group	Pedobacter	8
Niastella	Segetibacter	8
Prevotella	Alloprevotella	8
Prevotellaceae_UCG-001	Hallella	8
Prevotellaceae_UCG-001	Hoylesella	8
Prevotellaceae_UCG-003	Alloprevotella	8
Rhizobacter	Leptothrix	8
Senegalimassilia	Olsenella	8
UCG-005	Clostridiales [F3 G1]	8
[Eubacterium]_hallii_group	Lachnospiraceae [G10]	8
uncultured	Leptothrix	8
uncultured	Mesorhizobium	8
uncultured	Ruminococcaceae [G3]	8
uncultured	Segetibacter	8
AKYG1722	Selenomonas	7
B1-7BS	Oryzomicrobium	7
Bradymonadales	Desulfomicrobium	7
Coriobacteriaceae_UCG-002	Olsenella	7
HOC36	Pseudomonas	7
Harryflintia	Catonella	7
Izemoplasmatales	Mollicutes [O2 F2 G2]	7
KI89A_clade	Pseudomonas	7
Lachnospiraceae_NK3A20_group	Butyrivibrio	7
Lachnospiraceae_NK4A136_group	Lachnoanaerobaculum	7
Lactobacillus	Lacticaseibacillus	7
Lactobacillus	Streptococcus	7
Legionella	Pseudomonas	7
Longimicrobiaceae	Olsenella	7
Microcoleus_SAG_1449-1a	Arthrospira	7
Mycoplasma	Mycoplasmopsis	7
P5D1-392	Granulicatella	7
